              x	              y	              z	           time	in	         Cl_mol/kgw	        Sr_nmol/kgw	
          0.106	              0	              0	             60	 1	   1.0000248567e-03	   1.3773356568e-05	
          0.107	              0	              0	             60	 1	   1.0000173371e-03	   9.5845891769e-06	
          0.108	              0	              0	             60	 1	   1.0000120308e-03	   6.6292295668e-06	
          0.109	              0	              0	             60	 1	   1.0000083096e-03	   4.5568652594e-06	
           0.11	              0	              0	             60	 1	   1.0000057166e-03	   3.1123438599e-06	
          0.111	              0	              0	             60	 1	   1.0000039212e-03	   2.1115236661e-06	
          0.112	              0	              0	             60	 1	   1.0000026847e-03	   1.4222137774e-06	
          0.113	              0	              0	             60	 1	   1.0000018396e-03	   9.5021811189e-07	
          0.114	              0	              0	             60	 1	   1.0000012477e-03	   6.2887345717e-07	
          0.115	              0	              0	             60	 1	   1.0000008410e-03	   4.1131719648e-07	
          0.116	              0	              0	             60	 1	   1.0000005631e-03	   2.6481321923e-07	
          0.117	              0	              0	             60	 1	   1.0000003745e-03	   1.6662378335e-07	
          0.118	              0	              0	             60	 1	   1.0000002483e-03	   1.0119776920e-07	
          0.119	              0	              0	             60	 1	   1.0000001682e-03	   5.9478039907e-08	
           0.12	              0	              0	             60	 1	   1.0000001392e-03	   4.3842664029e-08	
