x	y	p4f	X1	X2	X3	X4	X5	C1	C2	C3	C4	C5	C6	C7	S	CS1	CS2	TOT_{X1}	TOT_{X2}	TOT_{X3}	TOT_{X4}	TOT_{X5}	TOT_S	CC	X5_{DEC}	CP1	CP2	totmolS	solnVol	cellNo	pe	pH	p4f	H*	O*	Charge	[X1]	[X3]	[X4]	
1.09219	0.942092	-99999	0.299026	0.000704197	0.205646	1.85827e-023	0	1.41167e-009	0.000145245	2.63104e-020	0	0.0040574	0.027023	5.59322e-025	0.999927	7.26633e-005	5.28885e-015	0.299026	0.287527	0.299105	0.0040574	0	1	0	0	0	0	0.25	0.25	34	16.826	3.15102	1.52972	-0.106282	-0.207913	-0.589918	0.297926	0.297939	0.00564834	
1.08438	0.9	1	0.299145	0.000706645	0.208972	2.80009e-024	0	1.40678e-009	0.000148107	3.95079e-021	0	0.000650496	0.0293569	1.23518e-026	9.99925	0.000746112	7.88681e-014	0.299145	0.299264	0.299889	0.000650496	0	10	0	0	0	0	3.75	0.375	35	16.8257	3.14951	0.987661	-0.116839	-0.20791	-0.5993	0.299266	0.299264	0.000491004	
1.1	0.8375	1	0.299101	0.000706814	0.208911	2.63259e-024	0	1.40644e-009	0.000148099	3.71357e-021	0	0.000611636	0.0294017	1.08974e-026	9.99925	0.000746432	7.40969e-014	0.299101	0.299558	0.299846	0.000611636	0	10	0	0	0	0	3.75	0.375	36	16.8262	3.14941	0.966703	-0.116179	-0.207913	-0.598257	0.299117	0.299115	0.000560955	
1.1	0.86875	1	0.299103	0.00070684	0.208951	2.4572e-024	0	1.40639e-009	0.000148133	3.46603e-021	0	0.000571296	0.0294293	9.49089e-027	9.99925	0.000746656	6.91527e-014	0.299103	0.299673	0.299847	0.000571296	0	10	0	0	0	0	3.75	0.375	37	16.826	3.14939	0.965383	-0.116412	-0.207914	-0.5985	0.299152	0.29915	0.000469533	
1.07344	0.875	1	0.299086	0.000706919	0.20894	2.32659e-024	0	1.40624e-009	0.000148142	3.28144e-021	0	0.000541087	0.0294574	8.50125e-027	9.99925	0.000746866	6.54553e-014	0.299086	0.299834	0.299831	0.000541087	0	10	0	0	0	0	5	0.5	38	16.8265	3.14934	0.960496	-0.116056	-0.207916	-0.597951	0.299074	0.299071	0.000514605	
1.08231	0.853125	1	0.299099	0.000706829	0.208915	2.59146e-024	0	1.40641e-009	0.000148105	3.65548e-021	0	0.000602161	0.0294092	1.05578e-026	9.99925	0.00074649	7.29348e-014	0.299099	0.299595	0.299844	0.000602161	0	10	0	0	0	0	5	0.5	39	16.8266	3.1494	0.964032	-0.116058	-0.207913	-0.598089	0.299093	0.299091	0.000585724	
1	0.7875	1	0.299113	0.00070612	0.208185	6.3128e-024	0	1.40783e-009	0.00014744	8.91369e-021	0	0.00144573	0.0288116	6.31559e-026	9.99926	0.000741648	1.78205e-013	0.299113	0.296978	0.299846	0.00144573	0	10	0	0	0	0	3.75	0.375	40	16.8344	3.14984	0.996066	-0.11529	-0.207911	-0.598223	0.299113	0.299105	0.00144266	
1.05666	0.80625	1	0.299113	0.000706257	0.208343	5.53733e-024	0	1.40755e-009	0.00014758	7.81719e-021	0	0.00127201	0.0289334	4.85169e-026	9.99926	0.000742642	1.56223e-013	0.299113	0.297503	0.299849	0.00127201	0	10	0	0	0	0	5	0.5	41	16.8317	3.14975	0.98036	-0.115475	-0.207913	-0.598239	0.299115	0.299108	0.00126712	
1.07479	0.826783	1	0.299112	0.000706709	0.20885	3.03859e-024	0	1.40665e-009	0.000148034	4.28692e-021	0	0.000704921	0.029332	1.45351e-026	9.99925	0.000745878	8.55626e-014	0.299112	0.299232	0.299855	0.000704921	0	10	0	0	0	0	5	0.5	42	16.8275	3.14947	0.966733	-0.115962	-0.207912	-0.598155	0.299103	0.2991	0.000719481	
1	0.84375	1	0.299111	0.000706734	0.208876	2.9053e-024	0	1.4066e-009	0.000148058	4.09873e-021	0	0.000674346	0.0293533	1.32841e-026	9.99925	0.00074605	8.18006e-014	0.299111	0.299324	0.299853	0.000674346	0	10	0	0	0	0	3.75	0.375	43	16.8293	3.14946	0.98981	-0.116044	-0.207908	-0.59822	0.299112	0.299108	0.000669286	
1.06229	0.857745	1	0.299123	0.00070669	0.208892	2.94827e-024	0	1.40669e-009	0.00014806	4.15961e-021	0	0.00068431	0.0293419	1.36868e-026	9.99925	0.000745969	8.3026e-014	0.299123	0.299249	0.299865	0.00068431	0	10	0	0	0	0	5	0.5	44	16.8281	3.14949	0.971833	-0.116074	-0.207912	-0.59831	0.299125	0.299122	0.000696366	
1.03125	0.9	1	0.299035	0.000707245	0.209026	1.3853e-024	0	1.40559e-009	0.000148271	1.95293e-021	0	0.000323166	0.0296301	3.00278e-027	9.99925	0.000748207	3.89194e-014	0.299035	0.300693	0.299782	0.000323166	0	10	0	0	0	0	3.92857	0.392857	45	16.8254	3.14914	0.94823	-0.116189	-0.207891	-0.597758	0.299046	0.299044	0.00022184	
1.05904	0.838429	1	0.299113	0.000706559	0.208685	3.85497e-024	0	1.40695e-009	0.000147885	5.43984e-021	0	0.000891434	0.0292005	2.34342e-026	9.99926	0.000744815	1.0862e-013	0.299113	0.298659	0.299853	0.000891434	0	10	0	0	0	0	5	0.5	46	16.8297	3.14957	0.975398	-0.115842	-0.207913	-0.59823	0.299114	0.299109	0.000889135	
1.03183	0.85294	1	0.299117	0.00070659	0.208742	3.61491e-024	0	1.40689e-009	0.000147932	5.10086e-021	0	0.000836754	0.0292372	2.05993e-026	9.99926	0.000745116	1.01842e-013	0.299117	0.298809	0.299857	0.000836754	0	10	0	0	0	0	5	0.5	47	16.8298	3.14955	0.982806	-0.11592	-0.207912	-0.598275	0.29912	0.299115	0.000835835	
