              x	              y	              z	           time	in	          pH	          Ca	          Mg	          Na	          Cl	        C(4)	         SO4	          As	
          18000	          24000	            200	          12000	 1	     6.00667	  1.6331e+03	  6.1391e+02	  1.7494e+04	  2.9876e+04	  1.7040e+03	  7.7249e+01	  1.8626e-01	
          24000	          24000	            200	          12000	 1	     6.51166	  3.0593e+02	  1.2729e+02	  5.2597e+03	  7.7356e+03	  1.3266e+03	  3.6718e+01	  9.1583e-02	
          30000	          24000	            200	          12000	 1	     7.19243	  4.1582e+01	  1.8084e+01	  1.4397e+03	  1.5441e+03	  9.2191e+02	  2.5384e+01	  2.6008e-01	
          36000	          24000	            200	          12000	 1	     7.65344	  1.2228e+01	  5.3489e+00	  7.5166e+02	  5.1316e+02	  8.2163e+02	  2.3497e+01	  1.1438e+00	
          42000	          24000	            200	          12000	 1	     7.94474	  6.1699e+00	  2.6898e+00	  5.2537e+02	  2.2996e+02	  7.4979e+02	  2.2979e+01	  3.4106e+00	
          48000	          24000	            200	          12000	 1	     8.18789	  3.7586e+00	  1.6272e+00	  3.8746e+02	  1.1218e+02	  6.6210e+02	  2.2763e+01	  8.9254e+00	
          54000	          24000	            200	          12000	 1	     8.53708	  1.9378e+00	  8.2140e-01	  2.5394e+02	  2.0297e+01	  5.5947e+02	  2.2595e+01	  3.7276e+01	
          60000	          24000	            200	          12000	 1	     8.55066	  1.8978e+00	  8.0375e-01	  2.4586e+02	  1.6430e+01	  5.5197e+02	  2.2588e+01	  3.9391e+01	
          66000	          24000	            200	          12000	 1	     8.56033	  1.8680e+00	  7.9057e-01	  2.4138e+02	  1.4247e+01	  5.4785e+02	  2.2584e+01	  4.0988e+01	
          72000	          24000	            200	          12000	 1	      8.5877	  1.7813e+00	  7.5207e-01	  2.3348e+02	  1.0618e+01	  5.4026e+02	  2.2578e+01	  4.5924e+01	
          78000	          24000	            200	          12000	 1	     8.60204	  1.7410e+00	  7.3423e-01	  2.2802e+02	  8.6928e+00	  5.3457e+02	  2.2574e+01	  4.8727e+01	
          84000	          24000	            200	          12000	 1	     8.60747	  1.7260e+00	  7.2760e-01	  2.2592e+02	  7.9267e+00	  5.3242e+02	  2.2573e+01	  4.9834e+01	
          90000	          24000	            200	          12000	 1	     8.60782	  1.7260e+00	  7.2759e-01	  2.2531e+02	  7.7531e+00	  5.3175e+02	  2.2572e+01	  4.9898e+01	
              0	          30000	            200	          12000	 1	       5.667	  1.6981e+04	  3.7230e+03	  1.1548e+05	  2.1839e+05	  2.9014e+02	  4.2238e+02	  8.7746e-01	
           6000	          30000	            200	          12000	 1	     5.52518	  1.2715e+04	  3.1389e+03	  9.1589e+04	  1.7208e+05	  5.7644e+02	  3.3759e+02	  1.3288e+00	
          12000	          30000	            200	          12000	 1	     5.57973	  6.4472e+03	  1.9568e+03	  5.2275e+04	  9.6168e+04	  1.3768e+03	  1.9862e+02	  9.5864e-01	
          18000	          30000	            200	          12000	 1	     5.92922	  2.1538e+03	  7.8703e+02	  2.1543e+04	  3.7552e+04	  1.6846e+03	  9.1302e+01	  2.4015e-01	
          24000	          30000	            200	          12000	 1	     6.42728	  4.2220e+02	  1.7357e+02	  6.4274e+03	  9.8607e+03	  1.3361e+03	  4.0608e+01	  9.4632e-02	
          30000	          30000	            200	          12000	 1	     7.24326	  3.6894e+01	  1.6067e+01	  1.3327e+03	  1.4032e+03	  8.8933e+02	  2.5127e+01	  3.0052e-01	
          36000	          30000	            200	          12000	 1	     7.66433	  1.1862e+01	  5.1886e+00	  7.3887e+02	  4.9270e+02	  8.2135e+02	  2.3460e+01	  1.1883e+00	
          42000	          30000	            200	          12000	 1	     7.86468	  7.3305e+00	  3.2003e+00	  5.7566e+02	  2.7964e+02	  7.7670e+02	  2.3070e+01	  2.5019e+00	
          48000	          30000	            200	          12000	 1	     8.10833	  4.4267e+00	  1.9223e+00	  4.2325e+02	  1.4348e+02	  6.8435e+02	  2.2821e+01	  6.4813e+00	
          54000	          30000	            200	          12000	 1	     8.50604	  2.0633e+00	  8.7719e-01	  2.5890e+02	  2.5973e+01	  5.6148e+02	  2.2606e+01	  3.2739e+01	
          60000	          30000	            200	          12000	 1	     8.53905	  1.9431e+00	  8.2389e-01	  2.4786e+02	  1.8898e+01	  5.5262e+02	  2.2593e+01	  3.7527e+01	
          66000	          30000	            200	          12000	 1	     8.58734	  1.7799e+00	  7.5144e-01	  2.3572e+02	  1.1867e+01	  5.4216e+02	  2.2580e+01	  4.5881e+01	
          72000	          30000	            200	          12000	 1	     8.60964	  1.7124e+00	  7.2147e-01	  2.2917e+02	  8.6046e+00	  5.3610e+02	  2.2574e+01	  5.0335e+01	
          78000	          30000	            200	          12000	 1	     8.61097	  1.7099e+00	  7.2037e-01	  2.2806e+02	  8.2694e+00	  5.3492e+02	  2.2573e+01	  5.0604e+01	
          84000	          30000	            200	          12000	 1	     8.61266	  1.7048e+00	  7.1813e-01	  2.2766e+02	  8.0843e+00	  5.3453e+02	  2.2573e+01	  5.0962e+01	
          90000	          30000	            200	          12000	 1	     8.61293	  1.7044e+00	  7.1796e-01	  2.2738e+02	  8.0082e+00	  5.3422e+02	  2.2573e+01	  5.1017e+01	
              0	          36000	            200	          12000	 1	     5.68624	  1.7547e+04	  3.7898e+03	  1.1850e+05	  2.2426e+05	  2.6951e+02	  4.3313e+02	  8.2356e-01	
           6000	          36000	            200	          12000	 1	     5.58031	  1.4389e+04	  3.3851e+03	  1.0130e+05	  1.9086e+05	  4.2546e+02	  3.7197e+02	  1.1457e+00	
          12000	          36000	            200	          12000	 1	     5.50237	  8.8712e+03	  2.4691e+03	  6.8235e+04	  1.2685e+05	  1.0644e+03	  2.5479e+02	  1.3354e+00	
          18000	          36000	            200	          12000	 1	     5.71199	  4.0911e+03	  1.3632e+03	  3.6156e+04	  6.5130e+04	  1.6822e+03	  1.4179e+02	  5.3115e-01	
