              x	              y	              z	           time	in	                 pH	                 Ca	                 Mg	                 Na	                 Cl	               C(4)	                SO4	                 As	
          42000	          12000	            200	          12000	 1	   8.0325877754e+00	   5.3013663127e+00	   2.3112657883e+00	   4.9040488121e+02	   2.3181725882e+02	   7.0159042434e+02	   2.2982639032e+01	   9.2219486124e+00	
          48000	          12000	            200	          12000	 1	   8.3291159028e+00	   2.8740683686e+00	   1.2382614695e+00	   3.3613171194e+02	   8.5546721426e+01	   6.1671996222e+02	   2.2714891623e+01	   3.0224106408e+01	
          54000	          12000	            200	          12000	 1	   8.5284775549e+00	   1.9647951913e+00	   8.3486504453e-01	   2.6102428890e+02	   2.7971876552e+01	   5.6435857513e+02	   2.2609499196e+01	   6.8439817093e+01	
          60000	          12000	            200	          12000	 1	   8.6069926333e+00	   1.6928620942e+00	   7.1386641090e-01	   2.4230542548e+02	   1.2775242902e+01	   5.5191884991e+02	   2.2581681360e+01	   9.4794693760e+01	
          66000	          12000	            200	          12000	 1	   8.6178010361e+00	   1.6614175341e+00	   6.9988846618e-01	   2.3915150742e+02	   1.1162112091e+01	   5.4904418600e+02	   2.2578728576e+01	   9.9133381064e+01	
          72000	          12000	            200	          12000	 1	   8.6258802329e+00	   1.6409038265e+00	   6.9079536762e-01	   2.3577080028e+02	   1.0042722232e+01	   5.4547203308e+02	   2.2576679612e+01	   1.0248451818e+02	
          78000	          12000	            200	          12000	 1	   8.6334311574e+00	   1.6237783696e+00	   6.8322523716e-01	   2.3184671415e+02	   8.9990436130e+00	   5.4112302179e+02	   2.2574769240e+01	   1.0570192162e+02	
          84000	          12000	            200	          12000	 1	   8.6375993504e+00	   1.6183607475e+00	   6.8088911099e-01	   2.2763361901e+02	   8.0958595529e+00	   5.3630059329e+02	   2.2573115945e+01	   1.0747331370e+02	
          90000	          12000	            200	          12000	 1	   8.6525097057e+00	   1.5794826830e+00	   6.6360339128e-01	   2.2357175259e+02	   7.0123036796e+00	   5.3174576996e+02	   2.2571132855e+01	   1.1432480299e+02	
              0	          18000	            200	          12000	 1	   5.8511457640e+00	   1.7094231847e+04	   3.7670178763e+03	   1.1644513974e+05	   2.2022510896e+05	   2.7283062497e+02	   4.2574129787e+02	   8.5165432581e-01	
           6000	          18000	            200	          12000	 1	   5.7298020823e+00	   1.3451245860e+04	   3.2898613574e+03	   9.6714441672e+04	   1.8188581365e+05	   4.1762759637e+02	   3.5555043657e+02	   1.2353660260e+00	
          12000	          18000	            200	          12000	 1	   5.6062954642e+00	   8.1039536492e+03	   2.3565123467e+03	   6.4438073667e+04	   1.1942045295e+05	   9.8559018453e+02	   2.4118883414e+02	   1.5581466483e+00	
          18000	          18000	            200	          12000	 1	   5.7652778853e+00	   3.8587426450e+03	   1.3159222884e+03	   3.5185395620e+04	   6.3247862777e+04	   1.5466659107e+03	   1.3834687447e+02	   7.4969077069e-01	
          24000	          18000	            200	          12000	 1	   6.0949410801e+00	   1.3128106354e+03	   5.0647100241e+02	   1.5115309465e+04	   2.5508765665e+04	   1.5599178887e+03	   6.9254959415e+01	   2.6268491773e-01	
          30000	          18000	            200	          12000	 1	   7.0811588955e+00	   5.6248166687e+01	   2.4365517740e+01	   1.9112908601e+03	   2.2227677926e+03	   1.0023398635e+03	   2.6626916394e+01	   3.7589272171e-01	
          36000	          18000	            200	          12000	 1	   7.6161269640e+00	   1.3851568611e+01	   6.0668316563e+00	   8.2934215597e+02	   6.4699616556e+02	   8.1557254537e+02	   2.3742595343e+01	   1.9220104220e+00	
          42000	          18000	            200	          12000	 1	   8.0951794192e+00	   4.5515508424e+00	   1.9798418523e+00	   4.5635556616e+02	   1.8115908314e+02	   6.9813624447e+02	   2.2889905439e+01	   1.1805769875e+01	
          48000	          18000	            200	          12000	 1	   8.3417090238e+00	   2.7745473478e+00	   1.1939539987e+00	   3.3455976739e+02	   7.6926154487e+01	   6.2180431668e+02	   2.2699110039e+01	   3.1836231730e+01	
          54000	          18000	            200	          12000	 1	   8.5334792276e+00	   1.9372421602e+00	   8.2251210503e-01	   2.6340796565e+02	   2.7320444083e+01	   5.6800819035e+02	   2.2608306747e+01	   6.9930367007e+01	
          60000	          18000	            200	          12000	 1	   8.5942212439e+00	   1.7317401156e+00	   7.3114465870e-01	   2.4634574690e+02	   1.5327640594e+01	   5.5517884254e+02	   2.2586353639e+01	   8.9920024172e+01	
          66000	          18000	            200	          12000	 1	   8.6040671243e+00	   1.7072477587e+00	   7.2033379961e-01	   2.4015736227e+02	   1.2638892432e+01	   5.4922599513e+02	   2.2581431644e+01	   9.3593190748e+01	
          72000	          18000	            200	          12000	 1	   8.6209974636e+00	   1.6601585271e+00	   6.9942354597e-01	   2.3432629337e+02	   1.0217255580e+01	   5.4345698309e+02	   2.2576998968e+01	   1.0037190078e+02	
          78000	          18000	            200	          12000	 1	   8.6292456366e+00	   1.6416382720e+00	   6.9124747913e-01	   2.2955839744e+02	   8.7681226517e+00	   5.3833489323e+02	   2.2574346337e+01	   1.0380710734e+02	
          84000	          18000	            200	          12000	 1	   8.6301879933e+00	   1.6433757554e+00	   6.9207673851e-01	   2.2689714367e+02	   8.1335503204e+00	   5.3535760986e+02	   2.2573184652e+01	   1.0415853328e+02	
          90000	          18000	            200	          12000	 1	   8.6466272695e+00	   1.5992571857e+00	   6.7245446841e-01	   2.2266160040e+02	   6.9442057012e+00	   5.3064983548e+02	   2.2571007959e+01	   1.1151004478e+02	
              0	          24000	            200	          12000	 1	   5.8205116612e+00	   1.6145909827e+04	   3.6533796457e+03	   1.1139870584e+05	   2.1042486215e+05	   3.0087461235e+02	   4.0779920422e+02	   9.4254428708e-01	
           6000	          24000	            200	          12000	 1	   5.6389156684e+00	   1.0955131012e+04	   2.8975093271e+03	   8.2089060309e+04	   1.5359119167e+05	   6.3158635298e+02	   3.0374887909e+02	   1.5380648504e+00	
          12000	          24000	            200	          12000	 1	   5.7027631178e+00	   4.8227318654e+03	   1.5820798700e+03	   4.2106881535e+04	   7.6494362203e+04	   1.4407270942e+03	   1.6259877610e+02	   9.7487755012e-01	
          18000	          24000	            200	          12000	 1	   6.0703495788e+00	   1.3776204532e+03	   5.2914668160e+02	   1.5824224602e+04	   2.6706268027e+04	   1.6232014435e+03	   7.1447058221e+01	   2.7343383154e-01	
          24000	          24000	            200	          12000	 1	   6.5859689413e+00	   2.4760152477e+02	   1.0395917506e+02	   4.7362927876e+03	   6.8372591474e+03	   1.2614521791e+03	   3.5073623357e+01	   1.7049803364e-01	
          30000	          24000	            200	          12000	 1	   7.2901561884e+00	   3.2897315259e+01	   1.4354195127e+01	   1.3042104509e+03	   1.3611323971e+03	   8.7943257672e+02	   2.5049775862e+01	   6.5612131790e-01	
          36000	          24000	            200	          12000	 1	   7.7584855116e+00	   9.7376804341e+00	   4.2634657758e+00	   6.8814064009e+02	   4.5255833945e+02	   7.8516053762e+02	   2.3386687110e+01	   3.2216239377e+00	
          42000	          24000	            200	          12000	 1	   8.0421683817e+00	   5.0405765376e+00	   2.1955093801e+00	   4.8771492986e+02	   2.0314316617e+02	   7.2205498817e+02	   2.2930142643e+01	   9.5697931071e+00	
          48000	          24000	            200	          12000	 1	   8.2670104338e+00	   3.1980331582e+00	   1.3814667683e+00	   3.6724639946e+02	   9.9396883152e+01	   6.4689325323e+02	   2.2740241215e+01	   2.3499490487e+01	
          54000	          24000	            200	          12000	 1	   8.5780904141e+00	   1.7831168852e+00	   7.5398634278e-01	   2.5099210392e+02	   1.8390573160e+01	   5.5883535472e+02	   2.2591960418e+01	   8.4112751650e+01	
          60000	          24000	            200	          12000	 1	   8.5884755268e+00	   1.7566524932e+00	   7.4231916758e-01	   2.4380455428e+02	   1.5014387369e+01	   5.5214499648e+02	   2.2585779924e+01	   8.7725024025e+01	
