x	y	p4f	X1	X2	X3	X4	X5	C1	C2	C3	C4	C5	C6	C7	S	CS1	CS2	TOT_{X1}	TOT_{X2}	TOT_{X3}	TOT_{X4}	TOT_{X5}	TOT_S	CC	X5_{DEC}	CP1	CP2	totmolS	solnVol	cellNo	p4f	H*	O*	Charge	[X1]	[X3]	[X4]	[X5]	
1.6	0	-99999	0.299147	0.125852	1.42723e-011	0.010039	0	7.89893e-012	1.80152e-012	0.0795322	5.73898e-015	0.000747494	3.00266e-010	0.156855	0.617822	1.7786e-008	0.191089	0.299147	-1.7788	0.0022425	0.595118	0	1	16.7435	100	0	0	0.25	0.25	25	1.00522	-0.00553887	-0.207913	-0.0001987	0.299153	0.0021519	0.404031	-6.79241e-007	
1.43	0.3	-99999	0.169052	1.48916	2.70815e-012	0.0608035	0.00038803	6.67555e-013	4.04482e-012	0.0407101	1.23427e-017	0.606336	0.110373	1.49736e-008	0.996357	9.01685e-006	0.00181691	0.169052	4.97209	2.15013	0.709666	0.00038803	1	0	99.8973	0	0	0.25	0.25	26	1.08711	7.60812	-0.207896	0.671083	0.164896	2.2087	0.726347	0.000402913	
1.77246	0.3	-99999	0.156778	1.54583	2.75336e-012	0.0499912	0.000489137	6.43082e-013	4.26885e-012	0.0322438	6.00636e-018	0.608322	0.168516	7.50742e-009	0.997314	1.02642e-005	0.00133804	0.156778	5.62805	2.33052	0.691895	0.000489137	1	0	99.8502	0	0	0.25	0.25	27	1.23197	8.21922	-0.207885	0.73411	0.152291	2.39608	0.712193	0.000508629	
0.643247	0.3375	-99999	0.000998321	2.15157	1.24022e-012	0.24365	0.00415699	4.62032e-013	2.67633e-012	0.112908	8.34618e-017	1.01692	0.420229	1.26614e-008	0.995171	1.24396e-005	0.0024082	0.000998321	14.8823	4.31146	1.37589	0.00415699	1	0	97.769	1.53148	0	0.25	0.25	28	1	15.3809	-0.207908	1.49109	0.000893851	4.30952	1.37262	0.00439695	
1.1	0.1	1	0.299116	0.125838	1.46434e-011	0.0100264	0	7.8998e-012	1.84816e-012	0.0794417	5.86877e-015	0.000805976	3.2395e-010	0.156601	2.7012	7.97588e-008	3.6494	0.299116	-12.1514	0.00241801	4.05288	0	10	22.096	100	0	0	3.75	0.375	29	1.00013	-0.0051271	-0.207913	-1.5142e-005	0.299116	0.00241065	0.403483	-5.10715e-008	
0.130053	0.35	-99999	4.23642e-011	0.239131	5.3434e-012	0.170565	0.127216	4.15712e-012	1.28156e-012	0.71116	8.08456e-013	0.00868736	9.66592e-009	0.266496	0.464641	3.43548e-008	0.267679	4.23642e-011	-3.37228	0.0260621	1.69108	0.127216	1	1.31074	53.94	0	0	0.25	0.25	30	1	2.71017	-0.207912	1.49556	3.58912e-011	0.019453	1.43838	0.133701	
1.0625	0.9	1	0.114959	1.75883	1.85471e-012	0.122948	0.000814756	5.65204e-013	3.27179e-012	0.0696967	3.5914e-017	0.766381	0.18728	1.6168e-008	9.587	9.78976e-005	0.206451	0.114959	6.00839	2.86108	1.16548	0.000814756	10	0	99.7331	0	0	3.75	0.375	31	0.999048	10.1603	-0.207904	0.932214	0.11267	2.89091	0.970287	0.00085762	
1.15083	0.931206	-99999	0.0190714	2.0969	1.31513e-012	0.213869	0.00861992	4.74078e-013	2.76587e-012	0.101691	6.63461e-017	0.960211	0.387361	1.19859e-008	0.995418	1.22138e-005	0.00228467	0.0190714	9.70285	4.04273	1.27806	0.00861992	1	0	92.61	0	0	0.25	0.25	32	1.65355	14.4055	-0.207809	1.40278	0.018558	4.04433	1.27645	0.00910307	
1.1	0.775	1	0.154415	1.19696	2.54434e-012	0.215933	0.000579576	8.30515e-013	3.05451e-012	0.179867	1.2443e-015	0.745364	0.010303	1.08391e-006	8.28266	3.65705e-005	0.858649	0.154415	1.52573	2.26704	1.99982	0.000579576	10	0	99.8063	0	0	3.92857	0.392857	33	1.01371	8.29746	-0.207899	0.734462	0.152221	2.29657	1.0885	0.000608676	
1.09219	0.942092	-99999	0.0236339	2.08542	1.3304e-012	0.210528	0.00598175	4.76689e-013	2.78266e-012	0.100654	6.54412e-017	0.957255	0.379582	1.21359e-008	0.995415	1.21537e-005	0.00228632	0.0236339	9.60278	4.01052	1.27072	0.00598175	1	0	95.0621	0	0	0.25	0.25	34	1.51555	14.289	-0.207792	1.38067	0.0229791	4.01586	1.27027	0.00629172	
1.08438	0.9	1	0.10627	1.79633	1.77956e-012	0.13155	0.000907895	5.53402e-013	3.20615e-012	0.0730158	3.87925e-017	0.788088	0.204285	1.56344e-008	9.58535	0.000100052	0.207273	0.10627	6.297	2.97722	1.19993	0.000907895	10	0	99.6785	0	0	3.75	0.375	35	1.00825	10.5785	-0.207898	0.975058	0.104101	3.00506	1.00311	0.000955939	
