x	y	p4f	X1	X2	X3	X4	X5	C1	C2	C3	C4	C5	C6	C7	S	CS1	CS2	TOT_{X1}	TOT_{X2}	TOT_{X3}	TOT_{X4}	TOT_{X5}	TOT_S	CC	X5_{DEC}	CP1	CP2	totmolS	solnVol	cellNo	pe	pH	p4f	H*	O*	Charge	[X1]	[X3]	[X4]	[X5]	
1.43	0.3	-99999	0.299113	0.118269	7.46715e-009	0	0.141368	8.40538e-012	8.8575e-010	0	0	0	0.0230994	0	0.999988	1.24998e-005	0	0.299113	28.9056	0.0693106	0	0.141368	1	0	84.6779	9.54701	0	0.25	0.25	26	19.0246	0.925844	1.61595	-0.0618497	-0.207913	1.53359e-009	0.299113	0.0685005	-2.6709e-068	0.148476	
1.77246	0.3	-99999	0.299113	0.11639	7.83458e-009	0	0.139123	8.54105e-012	9.14573e-010	0	0	0	0.0227325	0	0.999988	1.24998e-005	0	0.299113	37.34	0.0682099	0	0.139123	1	0	84.8957	12.3686	0	0.25	0.25	27	19.0176	0.932797	1.62606	-0.0620977	-0.207913	1.53272e-009	0.299113	0.0692046	-2.72808e-068	0.146116	
0.643247	0.3375	-99999	0.299113	0.178218	1.8859e-009	0	0.200683	5.57796e-012	3.37098e-010	0	0	0	0.0224651	0	0.999989	1.08023e-005	0	0.299113	0.402902	0.0674062	0	0.200683	1	0	78.743	0	0	0.25	0.25	28	19.2046	0.747762	1.34162	-0.032913	-0.20791	1.48938e-009	0.299113	0.0573772	-1.14549e-068	0.210777	
1.1	0.1	1	0.299113	0.103467	1.11523e-008	0	0.123675	9.60788e-012	1.15731e-009	0	0	0	0.0202083	0	9.99988	0.000124998	0	0.299113	44.0842	0.06075	0	0.123675	10	0	86.4127	14.636	0	3.75	0.375	29	18.966	0.983913	1.50388	-0.0941184	-0.207913	1.56033e-009	0.299113	0.0639125	-3.16408e-068	0.129972	
0.130053	0.35	-99999	0.299113	0.220723	5.39536e-010	0	0.22519	4.5038e-012	1.19441e-010	0	0	0	0.00446663	0	0.999994	5.87094e-006	0	0.299113	9.63476	0.0134058	0	0.22519	1	0	0	0	9.39714	0.25	0.25	30	19.2983	0.654865	1.07649	-0.0959534	-0.207896	1.30705e-009	0.299113	0.0134724	-2.21044e-069	0.279423	
1.0625	0.9	1	0.299113	0.156868	2.90404e-009	0	0.179765	6.33715e-012	4.56901e-010	0	0	0	0.022897	0	9.99989	0.000113434	0	0.299113	0.386178	0.0688045	0	0.179765	10	0	80.9336	0	0	3.75	0.375	31	19.1485	0.80318	1.62848	-0.0482178	-0.20791	1.48686e-009	0.299113	0.059592	-1.75216e-068	0.188828	
1.15083	0.931206	-99999	0.299113	0.155916	2.95758e-009	0	0.178674	6.37585e-012	4.625e-010	0	0	0	0.0227582	0	0.999989	1.13434e-005	0	0.299113	0.383532	0.068286	0	0.178674	1	0	81.0495	0	0	0.25	0.25	32	19.1458	0.805824	1.64615	-0.0505045	-0.20791	1.48412e-009	0.299113	0.0592101	-1.79686e-068	0.187687	
1.1	0.775	1	0.299113	0.148401	3.54328e-009	0	0.172279	6.69872e-012	5.27385e-010	0	0	0	0.0238787	0	9.99988	0.00011718	0	0.299113	0.387539	0.0717533	0	0.172279	10	0	81.6717	0	0	3.92857	0.392857	33	19.1242	0.827278	1.6175	-0.0460845	-0.207911	1.50212e-009	0.299113	0.0629326	-1.90387e-068	0.180941	
1.09219	0.942092	-99999	0.299113	0.159306	2.7397e-009	0	0.181737	6.24017e-012	4.37745e-010	0	0	0	0.0224314	0	0.999989	1.12082e-005	0	0.299113	0.383653	0.0673053	0	0.181737	1	0	80.7512	0	0	0.25	0.25	34	19.1553	0.796483	1.64518	-0.0506776	-0.20791	1.47977e-009	0.299113	0.0580775	-1.72839e-068	0.190911	
1.08438	0.9	1	0.299113	0.156188	2.9487e-009	0	0.179139	6.36474e-012	4.61916e-010	0	0	0	0.0229507	0	9.99989	0.000113687	0	0.299113	0.386036	0.0689658	0	0.179139	10	0	80.9983	0	0	3.75	0.375	35	19.1466	0.805067	1.62926	-0.0483007	-0.20791	1.48767e-009	0.299113	0.0597841	-1.76699e-068	0.188169	
