              x	              y	              z	           time	in	        Na(mol/kgw)	        Cl(mol/kgw)	
            0.5	            0.2	            0.3	          10000	 1	   1.0000000000e-03	   1.0000000000e-03	
            0.6	            0.2	            0.3	          10000	 1	   1.0000000000e-03	   1.0000000000e-03	
            0.7	            0.2	            0.3	          10000	 1	   1.0000000000e-03	   1.0000000000e-03	
            0.8	            0.2	            0.3	          10000	 1	   1.0000000000e-03	   1.0000000000e-03	
            0.9	            0.2	            0.3	          10000	 1	   1.0000000000e-03	   1.0000000000e-03	
              1	            0.2	            0.3	          10000	 1	   1.0000000000e-03	   1.0000000000e-03	
              0	            0.3	            0.3	          10000	 1	   1.0000000000e-03	   1.0000000000e-03	
            0.1	            0.3	            0.3	          10000	 1	   1.0000000000e-03	   1.0000000000e-03	
            0.2	            0.3	            0.3	          10000	 1	   1.0000000000e-03	   1.0000000000e-03	
            0.3	            0.3	            0.3	          10000	 1	   1.0000000000e-03	   1.0000000000e-03	
            0.4	            0.3	            0.3	          10000	 1	   1.0000000000e-03	   1.0000000000e-03	
            0.5	            0.3	            0.3	          10000	 1	   1.0000000000e-03	   1.0000000000e-03	
            0.6	            0.3	            0.3	          10000	 1	   1.0000000000e-03	   1.0000000000e-03	
            0.7	            0.3	            0.3	          10000	 1	   1.0000000000e-03	   1.0000000000e-03	
            0.8	            0.3	            0.3	          10000	 1	   1.0000000000e-03	   1.0000000000e-03	
            0.9	            0.3	            0.3	          10000	 1	   1.0000000000e-03	   1.0000000000e-03	
              1	            0.3	            0.3	          10000	 1	   1.0000000000e-03	   1.0000000000e-03	
              0	            0.4	            0.3	          10000	 1	   1.0000000000e-03	   1.0000000000e-03	
            0.1	            0.4	            0.3	          10000	 1	   1.0000000000e-03	   1.0000000000e-03	
            0.2	            0.4	            0.3	          10000	 1	   1.0000000000e-03	   1.0000000000e-03	
            0.3	            0.4	            0.3	          10000	 1	   1.0000000000e-03	   1.0000000000e-03	
            0.4	            0.4	            0.3	          10000	 1	   1.0000000000e-03	   1.0000000000e-03	
            0.5	            0.4	            0.3	          10000	 1	   1.0000000000e-03	   1.0000000000e-03	
            0.6	            0.4	            0.3	          10000	 1	   1.0000000000e-03	   1.0000000000e-03	
            0.7	            0.4	            0.3	          10000	 1	   1.0000000000e-03	   1.0000000000e-03	
            0.8	            0.4	            0.3	          10000	 1	   1.0000000000e-03	   1.0000000000e-03	
            0.9	            0.4	            0.3	          10000	 1	   1.0000000000e-03	   1.0000000000e-03	
              1	            0.4	            0.3	          10000	 1	   1.0000000000e-03	   1.0000000000e-03	
              0	            0.5	            0.3	          10000	 1	   1.0000000000e-03	   1.0000000000e-03	
            0.1	            0.5	            0.3	          10000	 1	   1.0000000000e-03	   1.0000000000e-03	
            0.2	            0.5	            0.3	          10000	 1	   1.0000000000e-03	   1.0000000000e-03	
            0.3	            0.5	            0.3	          10000	 1	   1.0000000000e-03	   1.0000000000e-03	
            0.4	            0.5	            0.3	          10000	 1	   1.0000000000e-03	   1.0000000000e-03	
            0.5	            0.5	            0.3	          10000	 1	   1.0000000000e-03	   1.0000000000e-03	
