              x	              y	              z	           time	in	           A	
             28	           12.5	              0             40	 1	  8.6739e-10	
             32	           12.5	              0             40	 1	  4.0439e-10	
             36	           12.5	              0             40	 1	  1.7088e-10	
             40	           12.5	              0             40	 1	  6.3877e-11	
             44	           12.5	              0             40	 1	  2.1362e-11	
             48	           12.5	              0             40	 1	  0 
             52	           12.5	              0             40	 1	  0 
             56	           12.5	              0             40	 1	  0 
             60	           12.5	              0             40	 1	  0 
             64	           12.5	              0             40	 1	  0 
             68	           12.5	              0             40	 1	  0 
             72	           12.5	              0             40	 1	  0 
             76	           12.5	              0             40	 1	  0 
             80	           12.5	              0             40	 1	  0 
             84	           12.5	              0             40	 1	  0 
             88	           12.5	              0             40	 1	  0 
             92	           12.5	              0             40	 1	  0 
             96	           12.5	              0             40	 1	  0 
            100	           12.5	              0             40	 1	  0 
              0           13.5	              0             40	 1	  0 
              4	           13.5	              0             40	 1	  1.9770e-09	
              8	           13.5	              0             40	 1	  5.0540e-09	
             12	           13.5	              0             40	 1	  6.4931e-09	
             16	           13.5	              0             40	 1	  5.7821e-09	
             20	           13.5	              0             40	 1	  4.0467e-09	
             24	           13.5	              0             40	 1	  2.3783e-09	
             28	           13.5	              0             40	 1	  1.2223e-09	
             32	           13.5	              0             40	 1	  5.6314e-10	
             36	           13.5	              0             40	 1	  2.3632e-10	
             40	           13.5	              0             40	 1	  9.2436e-11	
             44	           13.5	              0             40	 1	  3.0028e-11	
             48	           13.5	              0             40	 1	  0 
             52	           13.5	              0             40	 1	  0 
             56	           13.5	              0             40	 1	  0 
             60	           13.5	              0             40	 1	  0 
             64	           13.5	              0             40	 1	  0 
             68	           13.5	              0             40	 1	  0 
             72	           13.5	              0             40	 1	  0 
             76	           13.5	              0             40	 1	  0 
             80	           13.5	              0             40	 1	  0 
             84	           13.5	              0             40	 1	  0 
             88	           13.5	              0             40	 1	  0 
             92	           13.5	              0             40	 1	  0 
             96	           13.5	              0             40	 1	  0 
            100	           13.5	              0             40	 1	  0 
              0           14.5	              0             40	 1	  0 
              4	           14.5	              0             40	 1	  2.8482e-09	
              8	           14.5	              0             40	 1	  7.1396e-09	
             12	           14.5	              0             40	 1	  9.0309e-09	
             16	           14.5	              0             40	 1	  7.9326e-09	
             20	           14.5	              0             40	 1	  5.4861e-09	
             24	           14.5	              0             40	 1	  3.1901e-09	
             28	           14.5	              0             40	 1	  1.6236e-09	
             32	           14.5	              0             40	 1	  7.4243e-10	
             36	           14.5	              0             40	 1	  3.0950e-10	
             40	           14.5	              0             40	 1	  1.1801e-10	
             44	           14.5	              0             40	 1	  3.9713e-11	
             48	           14.5	              0             40	 1	  1.2017e-11	
             52	           14.5	              0             40	 1	  0 
             56	           14.5	              0             40	 1	  0 
             60	           14.5	              0             40	 1	  0 
             64	           14.5	              0             40	 1	  0 
             68	           14.5	              0             40	 1	  0 
             72	           14.5	              0             40	 1	  0 
             76	           14.5	              0             40	 1	  0 
             80	           14.5	              0             40	 1	  0 
             84	           14.5	              0             40	 1	  0 
             88	           14.5	              0             40	 1	  0 
             92	           14.5	              0             40	 1	  0 
             96	           14.5	              0             40	 1	  0 
            100	           14.5	              0             40	 1	  0 
              0           15.5	              0             40	 1	  0 
              4	           15.5	              0             40	 1	  3.7810e-09	
              8	           15.5	              0             40	 1	  9.3536e-09	
             12	           15.5	              0             40	 1	  1.1710e-08	
             16	           15.5	              0             40	 1	  1.0195e-08	
             20	           15.5	              0             40	 1	  6.9930e-09	
             24	           15.5	              0             40	 1	  4.0366e-09	
             28	           15.5	              0             40	 1	  2.0408e-09	
             32	           15.5	              0             40	 1	  9.2638e-10	
             36	           15.5	              0             40	 1	  3.8508e-10	
             40	           15.5	              0             40	 1	  1.4739e-10	
             44	           15.5	              0             40	 1	  4.9210e-11	
             48	           15.5	              0             40	 1	  1.4803e-11	
             52	           15.5	              0             40	 1	  0 
             56	           15.5	              0             40	 1	  0 
             60	           15.5	              0             40	 1	  0 
             64	           15.5	              0             40	 1	  0 
             68	           15.5	              0             40	 1	  0 
             72	           15.5	              0             40	 1	  0 
             76	           15.5	              0             40	 1	  0 
             80	           15.5	              0             40	 1	  0 
             84	           15.5	              0             40	 1	  0 
             88	           15.5	              0             40	 1	  0 
             92	           15.5	              0             40	 1	  0 
             96	           15.5	              0             40	 1	  0 
            100	           15.5	              0             40	 1	  0 
              0           16.5	              0             40	 1	  0 
              4	           16.5	              0             40	 1	  4.6482e-09	
              8	           16.5	              0             40	 1	  1.1425e-08	
             12	           16.5	              0             40	 1	  1.4225e-08	
             16	           16.5	              0             40	 1	  1.2323e-08	
             20	           16.5	              0             40	 1	  8.4137e-09	
             24	           16.5	              0             40	 1	  4.8359e-09	
             28	           16.5	              0             40	 1	  2.4349e-09	
             32	           16.5	              0             40	 1	  1.1017e-09	
             36	           16.5	              0             40	 1	  4.5664e-10	
             40	           16.5	              0             40	 1	  1.7439e-10	
             44	           16.5	              0             40	 1	  5.8044e-11	
             48	           16.5	              0             40	 1	  1.7459e-11	
             52	           16.5	              0             40	 1	  0 
             56	           16.5	              0             40	 1	  0 
             60	           16.5	              0             40	 1	  0 
             64	           16.5	              0             40	 1	  0 
             68	           16.5	              0             40	 1	  0 
             72	           16.5	              0             40	 1	  0 
             76	           16.5	              0             40	 1	  0 
             80	           16.5	              0             40	 1	  0 
             84	           16.5	              0             40	 1	  0 
             88	           16.5	              0             40	 1	  0 
             92	           16.5	              0             40	 1	  0 
             96	           16.5	              0             40	 1	  0 
            100	           16.5	              0             40	 1	  0 
              0           17.5	              0             40	 1	  0 
              4	           17.5	              0             40	 1	  5.3503e-09	
              8	           17.5	              0             40	 1	  1.3127e-08	
             12	           17.5	              0             40	 1	  1.6313e-08	
             16	           17.5	              0             40	 1	  1.4105e-08	
             20	           17.5	              0             40	 1	  9.6124e-09	
             24	           17.5	              0             40	 1	  5.5141e-09	
             28	           17.5	              0             40	 1	  2.7709e-09	
             32	           17.5	              0             40	 1	  1.2512e-09	
             36	           17.5	              0             40	 1	  5.1802e-10	
             40	           17.5	              0             40	 1	  1.9748e-10	
             44	           17.5	              0             40	 1	  6.5620e-11	
             48	           17.5	              0             40	 1	  1.9875e-11	
             52	           17.5	              0             40	 1	  0 
             56	           17.5	              0             40	 1	  0 
             60	           17.5	              0             40	 1	  0 
             64	           17.5	              0             40	 1	  0 
             68	           17.5	              0             40	 1	  0 
             72	           17.5	              0             40	 1	  0 
             76	           17.5	              0             40	 1	  0 
             80	           17.5	              0             40	 1	  0 
             84	           17.5	              0             40	 1	  0 
             88	           17.5	              0             40	 1	  0 
             92	           17.5	              0             40	 1	  0 
             96	           17.5	              0             40	 1	  0 
            100	           17.5	              0             40	 1	  0 
              0           18.5	              0             40	 1	  0 
              4	           18.5	              0             40	 1	  5.8418e-09	
              8	           18.5	              0             40	 1	  1.4342e-08	
             12	           18.5	              0             40	 1	  1.7828e-08	
             16	           18.5	              0             40	 1	  1.5413e-08	
             20	           18.5	              0             40	 1	  1.0501e-08	
             24	           18.5	              0             40	 1	  6.0202e-09	
             28	           18.5	              0             40	 1	  3.0234e-09	
             32	           18.5	              0             40	 1	  1.3663e-09	
             36	           18.5	              0             40	 1	  5.6433e-10	
             40	           18.5	              0             40	 1	  2.1504e-10	
             44	           18.5	              0             40	 1	  7.1391e-11	
             48	           18.5	              0             40	 1	  2.1962e-11	
             52	           18.5	              0             40	 1	  0 
             56	           18.5	              0             40	 1	  0 
             60	           18.5	              0             40	 1	  0 
             64	           18.5	              0             40	 1	  0 
             68	           18.5	              0             40	 1	  0 
             72	           18.5	              0             40	 1	  0 
             76	           18.5	              0             40	 1	  0 
             80	           18.5	              0             40	 1	  0 
             84	           18.5	              0             40	 1	  0 
             88	           18.5	              0             40	 1	  0 
             92	           18.5	              0             40	 1	  0 
             96	           18.5	              0             40	 1	  0 
            100	           18.5	              0             40	 1	  0 
              0           19.5	              0             40	 1	  0 
              4	           19.5	              0             40	 1	  6.1238e-09	
              8	           19.5	              0             40	 1	  1.5053e-08	
             12	           19.5	              0             40	 1	  1.8726e-08	
             16	           19.5	              0             40	 1	  1.6198e-08	
             20	           19.5	              0             40	 1	  1.1039e-08	
             24	           19.5	              0             40	 1	  6.3292e-09	
             28	           19.5	              0             40	 1	  3.1784e-09	
             32	           19.5	              0             40	 1	  1.4358e-09	
             36	           19.5	              0             40	 1	  5.9323e-10	
             40	           19.5	              0             40	 1	  2.2598e-10	
             44	           19.5	              0             40	 1	  7.4988e-11	
             48	           19.5	              0             40	 1	  2.3225e-11	
             52	           19.5	              0             40	 1	  0 
             56	           19.5	              0             40	 1	  0 
             60	           19.5	              0             40	 1	  0 
             64	           19.5	              0             40	 1	  0 
             68	           19.5	              0             40	 1	  0 
             72	           19.5	              0             40	 1	  0 
             76	           19.5	              0             40	 1	  0 
             80	           19.5	              0             40	 1	  0 
             84	           19.5	              0             40	 1	  0 
             88	           19.5	              0             40	 1	  0 
             92	           19.5	              0             40	 1	  0 
             96	           19.5	              0             40	 1	  0 
            100	           19.5	              0             40	 1	  0 
              0           20.5	              0             40	 1	  0 
              4	           20.5	              0             40	 1	  6.2146e-09	
              8	           20.5	              0             40	 1	  1.5285e-08	
             12	           20.5	              0             40	 1	  1.9021e-08	
             16	           20.5	              0             40	 1	  1.6458e-08	
             20	           20.5	              0             40	 1	  1.1218e-08	
             24	           20.5	              0             40	 1	  6.4326e-09	
             28	           20.5	              0             40	 1	  3.2305e-09	
             32	           20.5	              0             40	 1	  1.4594e-09	
             36	           20.5	              0             40	 1	  6.0302e-10	
             40	           20.5	              0             40	 1	  2.2969e-10	
             44	           20.5	              0             40	 1	  7.6208e-11	
             48	           20.5	              0             40	 1	  2.3641e-11	
             52	           20.5	              0             40	 1	  0 
             56	           20.5	              0             40	 1	  0 
             60	           20.5	              0             40	 1	  0 
             64	           20.5	              0             40	 1	  0 
             68	           20.5	              0             40	 1	  0 
             72	           20.5	              0             40	 1	  0 
             76	           20.5	              0             40	 1	  0 
             80	           20.5	              0             40	 1	  0 
             84	           20.5	              0             40	 1	  0 
             88	           20.5	              0             40	 1	  0 
             92	           20.5	              0             40	 1	  0 
             96	           20.5	              0             40	 1	  0 
            100	           20.5	              0             40	 1	  0 
              0              0            0.5	             40	 1	  0 
              4	              0            0.5	             40	 1	  0 
              8	              0            0.5	             40	 1	  0 
             12	              0            0.5	             40	 1	  0 
             16	              0            0.5	             40	 1	  0 
             20	              0            0.5	             40	 1	  0 
             24	              0            0.5	             40	 1	  0 
             28	              0            0.5	             40	 1	  0 
             32	              0            0.5	             40	 1	  0 
             36	              0            0.5	             40	 1	  0 
             40	              0            0.5	             40	 1	  0 
             44	              0            0.5	             40	 1	  0 
             48	              0            0.5	             40	 1	  0 
             52	              0            0.5	             40	 1	  0 
             56	              0            0.5	             40	 1	  0 
             60	              0            0.5	             40	 1	  0 
             64	              0            0.5	             40	 1	  0 
             68	              0            0.5	             40	 1	  0 
             72	              0            0.5	             40	 1	  0 
             76	              0            0.5	             40	 1	  0 
             80	              0            0.5	             40	 1	  0 
             84	              0            0.5	             40	 1	  0 
             88	              0            0.5	             40	 1	  0 
             92	              0            0.5	             40	 1	  0 
             96	              0            0.5	             40	 1	  0 
            100	              0            0.5	             40	 1	  0 
              0            0.5	            0.5	             40	 1	  0 
              4	            0.5	            0.5	             40	 1	  0 
              8	            0.5	            0.5	             40	 1	  0 
             12	            0.5	            0.5	             40	 1	  0 
             16	            0.5	            0.5	             40	 1	  0 
             20	            0.5	            0.5	             40	 1	  0 
             24	            0.5	            0.5	             40	 1	  0 
             28	            0.5	            0.5	             40	 1	  0 
             32	            0.5	            0.5	             40	 1	  0 
             36	            0.5	            0.5	             40	 1	  0 
             40	            0.5	            0.5	             40	 1	  0 
             44	            0.5	            0.5	             40	 1	  0 
             48	            0.5	            0.5	             40	 1	  0 
             52	            0.5	            0.5	             40	 1	  0 
             56	            0.5	            0.5	             40	 1	  0 
             60	            0.5	            0.5	             40	 1	  0 
             64	            0.5	            0.5	             40	 1	  0 
             68	            0.5	            0.5	             40	 1	  0 
             72	            0.5	            0.5	             40	 1	  0 
             76	            0.5	            0.5	             40	 1	  0 
             80	            0.5	            0.5	             40	 1	  0 
             84	            0.5	            0.5	             40	 1	  0 
             88	            0.5	            0.5	             40	 1	  0 
             92	            0.5	            0.5	             40	 1	  0 
             96	            0.5	            0.5	             40	 1	  0 
            100	            0.5	            0.5	             40	 1	  0 
              0            1.5	            0.5	             40	 1	  0 
              4	            1.5	            0.5	             40	 1	  0 
              8	            1.5	            0.5	             40	 1	  0 
             12	            1.5	            0.5	             40	 1	  0 
