              x	              y	              z	           time	in	          Cl	
          0.001	          6e-05	              0              4	 1	  0 
              0          8e-05	              0              4	 1	  5.3544e-02	
          2e-05	          8e-05	              0              4	 1	  5.2189e-02	
          4e-05	          8e-05	              0              4	 1	  4.8329e-02	
          6e-05	          8e-05	              0              4	 1	  4.2528e-02	
          8e-05	          8e-05	              0              4	 1	  3.5575e-02	
         0.0001	          8e-05	              0              4	 1	  2.8302e-02	
        0.00012	          8e-05	              0              4	 1	  2.1426e-02	
        0.00014	          8e-05	              0              4	 1	  1.5446e-02	
        0.00016	          8e-05	              0              4	 1	  1.0612e-02	
        0.00018	          8e-05	              0              4	 1	  6.9539e-03	
         0.0002	          8e-05	              0              4	 1	  4.3507e-03	
        0.00022	          8e-05	              0              4	 1	  2.6013e-03	
        0.00024	          8e-05	              0              4	 1	  1.4880e-03	
        0.00026	          8e-05	              0              4	 1	  8.1520e-04	
        0.00028	          8e-05	              0              4	 1	  4.2819e-04	
         0.0003	          8e-05	              0              4	 1	  2.1589e-04	
        0.00032	          8e-05	              0              4	 1	  1.0460e-04	
        0.00034	          8e-05	              0              4	 1	  4.8755e-05	
        0.00036	          8e-05	              0              4	 1	  2.1888e-05	
        0.00038	          8e-05	              0              4	 1	  9.4751e-06	
         0.0004	          8e-05	              0              4	 1	  3.9593e-06	
        0.00042	          8e-05	              0              4	 1	  1.5989e-06	
        0.00044	          8e-05	              0              4	 1	  6.2461e-07	
        0.00046	          8e-05	              0              4	 1	  2.3631e-07	
        0.00048	          8e-05	              0              4	 1	  8.6670e-08	
         0.0005	          8e-05	              0              4	 1	  3.0847e-08	
        0.00052	          8e-05	              0              4	 1	  1.0665e-08	
        0.00054	          8e-05	              0              4	 1	  3.5849e-09	
        0.00056	          8e-05	              0              4	 1	  1.1727e-09	
        0.00058	          8e-05	              0              4	 1	  3.7368e-10	
         0.0006	          8e-05	              0              4	 1	  1.1608e-10	
        0.00062	          8e-05	              0              4	 1	  3.5180e-11	
        0.00064	          8e-05	              0              4	 1	  1.0407e-11	
        0.00066	          8e-05	              0              4	 1	  3.0033e-12	
        0.00068	          8e-05	              0              4	 1	  8.4213e-13	
         0.0007	          8e-05	              0              4	 1	  2.2517e-13	
        0.00072	          8e-05	              0              4	 1	  5.3113e-14	
        0.00074	          8e-05	              0              4	 1	  0 
        0.00076	          8e-05	              0              4	 1	  0 
        0.00078	          8e-05	              0              4	 1	  0 
         0.0008	          8e-05	              0              4	 1	  0 
        0.00082	          8e-05	              0              4	 1	  0 
        0.00084	          8e-05	              0              4	 1	  0 
        0.00086	          8e-05	              0              4	 1	  0 
        0.00088	          8e-05	              0              4	 1	  0 
         0.0009	          8e-05	              0              4	 1	  0 
        0.00092	          8e-05	              0              4	 1	  0 
        0.00094	          8e-05	              0              4	 1	  0 
        0.00096	          8e-05	              0              4	 1	  0 
        0.00098	          8e-05	              0              4	 1	  0 
          0.001	          8e-05	              0              4	 1	  0 
              0         0.0001	              0              4	 1	  4.2600e-02	
          2e-05	         0.0001	              0              4	 1	  4.1522e-02	
