x	y	p4f	X1	X2	X3	X4	X5	C1	C2	C3	C4	C5	C6	C7	S	CS1	CS2	TOT_{X1}	TOT_{X2}	TOT_{X3}	TOT_{X4}	TOT_{X5}	TOT_S	CC	X5_{DEC}	CP1	CP2	totmolS	solnVol	cellNo	pe	pH	p4f	H*	O*	Charge	[X1]	[X3]	[X4]	
0.130053	0.35	-99999	2.14128e-008	6.65926e-006	1.44213e-012	1.33183e-005	0	1.4928e-007	9.63203e-018	1.99406	1.72729e-007	8.01996e-027	0	0	1.05608e-005	4.55119e-027	0.499995	2.14128e-008	-3.49404	1.7273e-007	2.49407	0	1	0	0	0	0	0.25	0.25	30	14.5896	5.17529	1	5.56642	-0.207907	3.98816	1.90385e-008	1.78039e-007	1.99407	
1.0625	0.9	1	0.104059	1.99067	9.50377e-013	0.321751	0	4.99377e-013	1.8975e-012	0.161151	2.00988e-016	0.442801	0	0	9.29879	7.05449e-005	0.350567	0.104059	2.54923	1.32847	1.27627	0	9.99999	0	0	0	0	3.75	0.375	31	20.6303	-0.300286	0.966801	6.94327	-0.207866	2.4264	0.101856	1.3251	0.957323	
1.15083	0.931206	-99999	0.0172153	0.232836	8.10368e-012	0.310493	0	4.26951e-012	1.89242e-012	1.32959	8.22916e-012	0.0495792	0	0	0.361367	3.74044e-008	0.319306	0.0172153	-1.85635	0.148738	2.00897	0	0.999979	0	0	0	0	0.25	0.250005	32	19.9101	0.631665	1.64236	5.44838	-0.206681	3.73253	0.0166859	0.143025	1.7003	
1.1	0.775	1	0.153048	3.10223	3.688e-007	1.53987e-018	0	3.20445e-013	1.1475e-006	4.94907e-019	0	0.730389	0	0	0.823598	9.1764	3.47769e-021	0.153048	33.553	11.3676	0.730389	0	10	0	0	0	0	3.92857	0.392857	33	20.715	-0.49296	0.969402	8.35772	-0.20789	1.67824	0.150648	2.11725	0.743532	
1.09219	0.942092	-99999	0.0207372	0.313679	5.51668e-012	0.371922	0	3.16914e-012	1.7356e-012	1.18217	2.92283e-012	0.0617206	0	0	0.470244	8.10219e-008	0.264875	0.0207372	-1.41623	0.185162	1.88069	0	0.999995	0	0	0	0	0.25	0.250001	34	20.0497	0.502228	1.52972	5.42732	-0.207515	3.68041	0.0200824	0.177692	1.62905	
1.08438	0.9	1	0.0971485	1.92755	9.50437e-013	0.353704	0	5.15729e-013	1.83745e-012	0.182956	3.03762e-016	0.427992	0	0	9.17365	6.3187e-005	0.413146	0.0971485	2.21731	1.28404	1.3778	0	10	0	0	0	0	3.75	0.375	35	20.6598	-0.286292	0.987661	6.94631	-0.20791	2.53069	0.0950551	1.27758	0.998755	
1.1	0.8375	1	0.125853	3.72078	1.59191e-008	1.05293e-014	0	2.67174e-013	5.9407e-008	2.82148e-015	0	0.831171	0	0	5.46512	4.53487	6.06866e-016	0.125853	20.6501	7.02838	0.831171	0	10	0	0	0	0	3.75	0.375	36	20.8646	-0.57192	0.966703	8.33212	-0.207875	2.09446	0.123504	1.93652	0.843878	
1.1	0.86875	1	0.116277	2.59731	8.5425e-013	0.193603	0	3.8274e-013	2.22533e-012	0.0743195	1.35813e-017	0.560746	0	0	9.78933	0.00014827	0.105256	0.116277	4.45065	1.68239	0.933924	0	9.99999	0	0	0	0	3.75	0.375	37	20.7245	-0.41581	0.965383	7.74136	-0.207855	2.24033	0.113991	1.67597	0.888873	
1.07344	0.875	1	0.133509	3.52444	4.9142e-008	4.23487e-016	0	2.82058e-013	1.73712e-007	1.19802e-016	0	0.791699	0	0	3.14758	6.85241	9.52624e-018	0.133509	27.2485	9.22751	0.791699	0	9.99999	0	0	0	0	5	0.5	38	20.7917	-0.548376	0.960497	8.15259	-0.207862	1.97807	0.131094	1.92817	0.805755	
1.08231	0.853125	1	0.13983	3.39587	1.1809e-007	3.4701e-017	0	2.92736e-013	4.02209e-007	1.01884e-017	0	0.775878	0	0	1.76067	8.23933	2.73051e-019	0.13983	31.2174	10.567	0.775878	0	10	0	0	0	0	5	0.5	39	20.7779	-0.532237	0.964033	8.39959	-0.207894	1.88092	0.13743	2.04815	0.790011	
