x	y	p4f	X1	X2	X3	X4	X5	C1	C2	C3	C4	C5	C6	C7	S	CS1	CS2	TOT_{X1}	TOT_{X2}	TOT_{X3}	TOT_{X4}	TOT_{X5}	TOT_S	CC	X5_{DEC}	CP1	CP2	totmolS	solnVol	cellNo	p4f	H*	O*	Charge	[X1]	[X3]	[X4]	
1.03891	0.784227	1	5.64342e-012	1.5086	3.24943e-020	0.573733	0	6.58953e-013	4.91662e-020	0.379184	1.18129e-022	1.04094e-023	0	0	7.91747	8.93837e-013	1.04126	5.64342e-012	-1.99438	8.93837e-013	1.99418	0	10	0	0	0	0	5	0.5	56	5.10697e-011	4.52526	-0.207911	3.98816	7.58035e-012	-1.83156e-011	0.952917	
1.08112	0.773803	1	7.8496e-010	1.49644	1.95487e-017	0.575117	0	6.64306e-013	2.93402e-017	0.383186	7.39367e-020	2.19963e-015	0	0	7.88089	5.22415e-010	1.05956	7.8496e-010	-2.06542	5.22422e-010	2.01786	0	10	0	0	0	0	5	0.5	57	5.59701e-009	4.53113	-0.207911	3.98816	8.37014e-010	7.58513e-011	0.958786	
1.1	0.7125	1	0	1.35827	2.64419e-017	0.588592	0	7.31883e-013	3.60218e-017	0.432058	1.57945e-019	3.78129e-015	0	0	7.42535	4.97866e-010	1.28732	0	-2.93576	4.97877e-010	2.30798	0	10	0	0	0	0	3.75	0.375	58	-1.13525e-008	4.59346	-0.207911	3.98816	-1.6983e-009	-5.12611e-009	1.02112	
1.1	0.74375	1	0	1.33868	1.07354e-016	0.59014	0	7.42595e-013	1.44139e-016	0.439535	6.85006e-019	2.39396e-013	0	0	7.35466	1.9167e-009	1.32267	0	-3.06886	1.91742e-009	2.35234	0	10	0	0	0	0	3.57143	0.357143	59	-2.71874e-007	4.60403	-0.207911	3.98817	-4.06619e-008	-4.8564e-008	1.03168	
1.07735	0.750481	1	0	1.5148	4.09556e-018	0.573015	0	6.56254e-013	6.22236e-018	0.377158	1.45915e-020	2.11608e-017	0	0	7.93594	1.14321e-010	1.03203	0	-1.95844	1.14321e-010	1.9822	0	10	0	0	0	0	5	0.5	60	-2.71379e-008	4.52278	-0.207911	3.98816	-4.05867e-009	-6.47898e-009	0.950436	
1.1	0.68125	1	2.07628e-009	1.37292	5.53959e-017	0.587373	0	7.24072e-013	7.62798e-017	0.426562	3.15028e-019	3.62186e-014	0	0	7.4772	1.08467e-009	1.2614	2.07628e-009	-2.83784	1.08478e-009	2.27533	0	10	0	0	0	0	3.75	0.375	61	1.53353e-008	4.58592	-0.207911	3.98816	2.2934e-009	3.92489e-010	1.01358	
1.08303	0.728125	1	0	1.49917	7.43663e-018	0.574809	0	6.63098e-013	1.11818e-017	0.382285	2.78778e-020	1.21915e-016	0	0	7.88914	2.00033e-010	1.05543	0	-2.04941	2.00033e-010	2.01252	0	10	0	0	0	0	5	0.5	62	1.51781e-010	4.52995	-0.207911	3.98816	2.27105e-011	2.21354e-010	0.957614	
1	0.73125	1	4.63311e-012	1.1316	0	0.599843	0	8.78489e-013	0	0.528518	0	0	0	0	6.51106	0	1.74447	4.63311e-012	-4.63033	0	2.87283	0	10	0	0	0	0	3.75	0.375	63	4.1892e-011	4.70504	-0.207912	3.98816	6.22947e-012	-2.30003e-012	1.1327	
1.05667	0.682477	1	0	1.50832	7.27357e-020	0.573764	0	6.59075e-013	1.10034e-019	0.379275	2.64661e-022	1.16668e-022	0	0	7.91664	1.99946e-012	1.04168	0	-1.99599	1.99946e-012	1.99472	0	10	0	0	0	0	5	0.5	64	-8.10008e-012	4.5254	-0.207911	3.98816	-1.25275e-012	9.40624e-014	0.953056	
1.06606	0.735712	1	0	1.50908	6.51411e-020	0.573677	0	6.58743e-013	9.85946e-020	0.379026	2.36441e-022	8.39621e-023	0	0	7.91891	1.79391e-012	1.04054	0	-1.99158	1.79391e-012	1.99325	0	10	0	0	0	0	5	0.5	65	-2.00897e-010	4.52502	-0.207911	3.98816	-3.00643e-011	-1.14858e-010	0.95268	
1.0269	0.689646	1	0	1.52106	0	0.572283	0	6.53554e-013	0	0.375127	0	0	0	0	7.95442	0	1.02279	0	-1.92244	0	1.9702	0	10	0	0	0	0	5	0.5	66	-1.45287e-012	4.51943	-0.207911	3.98816	-2.28116e-013	-3.01035e-013	0.947094	
1.06767	0.716546	1	0	1.51601	3.47062e-019	0.572874	0	6.55732e-013	5.27709e-019	0.376766	1.23167e-021	1.29148e-020	0	0	7.93951	9.71514e-012	1.03024	0	-1.95149	9.71515e-012	1.97988	0	10	0	0	0	0	5	0.5	67	-1.5705e-009	4.52196	-0.207911	3.98816	-2.34903e-010	-2.5345e-010	0.949624	
1.055	0.701829	1	0	1.5086	4.44155e-020	0.573732	0	6.58952e-013	6.7204e-020	0.379183	1.61465e-022	2.65835e-023	0	0	7.91748	1.22177e-012	1.04126	0	-1.99436	1.22177e-012	1.99417	0	10	0	0	0	0	5	0.5	68	-9.07471e-011	4.52528	-0.207911	3.98816	-1.3595e-011	-1.65597e-011	0.952937	
1.04391	0.724195	1	0	1.50855	2.3803e-021	0.573739	0	6.58976e-013	3.60144e-021	0.379201	8.65474e-024	4.09113e-027	0	0	7.91732	6.54679e-014	1.04134	0	-1.99468	6.54679e-014	1.99428	0	10	0	0	0	0	5	0.5	69	-8.2412e-012	4.52528	-0.207911	3.98816	-1.25834e-012	-8.11352e-012	0.952941	
1.07872	0.694212	1	0	1.51197	1.15245e-018	0.573343	0	6.57482e-013	1.74764e-018	0.378081	4.14385e-021	4.68225e-019	0	0	7.92753	3.19547e-011	1.03623	0	-1.97481	3.19547e-011	1.98766	0	10	0	0	0	0	5	0.5	70	-7.199e-010	4.52407	-0.207911	3.98816	-1.07682e-010	9.20361e-012	0.951735	
