x	y	p4f	X1	X2	X3	X4	X5	C1	C2	C3	C4	C5	C6	C7	S	CS1	CS2	TOT_{X1}	TOT_{X2}	TOT_{X3}	TOT_{X4}	TOT_{X5}	TOT_S	CC	X5_{DEC}	CP1	CP2	totmolS	solnVol	cellNo	p4f	H*	O*	Charge	[X1]	[X3]	[X4]	
1.77246	0.3	-99999	0.299113	7.94725e-006	0.185805	7.81029e-015	0	1.25087e-007	1.48102e-006	9.79861e-010	2.21261e-024	0.0204037	0	0	0.429459	4.05297e-011	0.285271	0.299113	-0.774188	0.247018	0.305674	0	1	0	0	0	0	0.25	0.25	27	1.23197	-0.25374	-0.207913	-0.598217	0.299113	0.246705	0.0201913	
0.643247	0.3375	-99999	0.299113	0.24091	0.240905	6.49817e-040	0	4.12642e-012	0.0582083	2.68937e-039	0	3.12424e-009	0	0	0.000293306	0.999707	3.97438e-046	0.299113	3.29824	1.29882	3.12424e-009	0	1	0	0	0	0	0.25	0.25	28	1	-0.116709	-0.207912	-0.598221	0.299113	0.299113	2.99013e-009	
1.1	0.1	1	0.29903	1.42212e-005	0.185955	7.28042e-016	0	6.99025e-008	2.65235e-006	5.10429e-011	1.74925e-028	0.0195491	0	0	7.3105	3.95645e-009	1.34475	0.29903	-3.95604	0.244605	1.3643	0	10	0	0	0	0	3.75	0.375	29	0.999853	-0.259476	-0.207913	-0.596962	0.299031	0.244591	0.0195419	
0.130053	0.35	-99999	0.299113	0.240909	0.240905	0	0	4.12642e-012	0.0582083	0	0	0	0	0	0.000293306	0.999707	0	0.299113	3.29824	1.29882	0	0	1	0	0	0	0	0.25	0.25	30	1	-0.116709	-0.207912	-0.598221	0.299113	0.299113	5.08085e-016	
1.0625	0.9	1	0.299113	0.0133308	0.193034	5.88302e-028	0	7.45713e-011	0.00258093	4.40005e-026	0	0.0136436	0	0	6.83644	3.16356	1.15369e-021	0.299113	9.56117	3.40011	0.0136436	0	10	0	0	0	0	3.75	0.375	31	0.999048	-0.212383	-0.207912	-0.59822	0.299113	0.26268	0.0136216	
1.15083	0.931206	-99999	0.299113	0.231653	0.238947	2.48739e-034	0	4.29131e-012	0.055517	1.07058e-033	0	0.000997709	0	0	0.000332579	0.999667	2.19998e-040	0.299113	3.29016	1.29712	0.000997709	0	1	0	0	0	0	0.25	0.25	32	1.65355	-0.120666	-0.207913	-0.598217	0.299113	0.297461	0.000996168	
1.1	0.775	1	0.299113	1.17421e-005	0.183019	2.06627e-015	0	8.46611e-008	2.15539e-006	1.75451e-010	8.4683e-027	0.0245842	0	0	4.60927	1.38199e-009	2.69536	0.299113	-7.98774	0.256774	2.71995	0	10	0	0	0	0	3.92857	0.392857	33	1.01371	-0.220724	-0.207913	-0.598219	0.299113	0.256707	0.0232009	
1.09219	0.942092	-99999	0.299113	0.228999	0.238402	3.28397e-034	0	4.34105e-012	0.0547556	1.42981e-033	0	0.00124928	0	0	0.000345063	0.999655	3.23664e-040	0.299113	3.28772	1.29656	0.00124928	0	1	0	0	0	0	0.25	0.25	34	1.51555	-0.122073	-0.207912	-0.598217	0.299113	0.296907	0.00124806	
1.08438	0.9	1	0.299113	0.0170556	0.194009	2.10912e-028	0	5.82854e-011	0.00331876	1.23296e-026	0	0.0133058	0	0	5.06579	4.93421	1.0844e-022	0.299113	14.8762	5.17145	0.0133058	0	10	0	0	0	0	3.75	0.375	35	1.00825	-0.208421	-0.207912	-0.59822	0.299113	0.264112	0.0132889	
1.1	0.8375	1	0.299113	1.20925e-005	0.183062	1.83089e-015	0	8.22076e-008	2.22024e-006	1.50959e-010	5.23881e-027	0.0245202	0	0	4.95206	1.6221e-009	2.52397	0.299113	-7.47381	0.256625	2.54849	0	10	0	0	0	0	3.75	0.375	36	1.01072	-0.224437	-0.207913	-0.598219	0.299113	0.256443	0.0202796	
1.1	0.86875	1	0.299113	1.71692e-005	0.182471	4.71398e-016	0	5.79e-008	3.14217e-006	2.73749e-011	2.19318e-029	0.0254081	0	0	8.62312	8.05845e-009	0.68844	0.299113	-1.96367	0.258699	0.713848	0	10	0	0	0	0	3.75	0.375	37	1.00748	-0.221876	-0.207913	-0.59822	0.299113	0.258479	0.0167347	
1.07344	0.875	1	0.299113	1.08725e-005	0.184044	2.59125e-015	0	9.14318e-008	2.00696e-006	2.37626e-010	2.28478e-026	0.0230463	0	0	3.90087	9.33726e-010	3.04957	0.299113	-9.0565	0.253185	3.07261	0	10	0	0	0	0	5	0.5	38	1.00321	-0.228865	-0.207913	-0.598219	0.299113	0.253178	0.0256477	
1.08231	0.853125	1	0.299113	1.23492e-005	0.183477	1.62947e-015	0	8.04989e-008	2.27251e-006	1.31559e-010	3.40317e-027	0.0238972	0	0	5.25317	1.8368e-009	2.37341	0.299113	-7.02464	0.255171	2.39731	0	10	0	0	0	0	5	0.5	39	1.00676	-0.224176	-0.207913	-0.598219	0.299113	0.25515	0.0244199	
1	0.7875	1	0.299113	9.13855e-006	0.186409	4.2274e-015	0	1.0878e-007	1.70856e-006	4.61222e-010	2.01322e-025	0.0194977	0	0	2.59343	3.7335e-010	3.70329	0.299113	-11.0319	0.244904	3.72278	0	10	0	0	0	0	3.75	0.375	40	1.00061	-0.260073	-0.207912	-0.598217	0.299113	0.244717	0.0198199	
1.05666	0.80625	1	0.299113	1.39318e-005	0.184468	9.28198e-016	0	7.13543e-008	2.5776e-006	6.64273e-011	3.90415e-028	0.0224099	0	0	6.82308	3.44406e-009	1.58846	0.299113	-4.67572	0.251701	1.61087	0	10	0	0	0	0	5	0.5	41	1.00514	-0.236555	-0.207913	-0.598216	0.299113	0.251693	0.0224108	
1.07479	0.826783	1	0.299113	1.33509e-005	0.183664	1.17522e-015	0	7.44593e-008	2.45934e-006	8.77656e-011	9.35533e-028	0.0236173	0	0	6.21171	2.7473e-009	1.89414	0.299113	-5.58794	0.254518	1.91776	0	10	0	0	0	0	5	0.5	42	1.00746	-0.226901	-0.207913	-0.598218	0.299113	0.254505	0.02363	
1	0.84375	1	0.299113	8.62692e-006	0.185047	6.01199e-015	0	1.15232e-007	1.60112e-006	6.94827e-010	7.23813e-025	0.021542	0	0	2.06464	2.4822e-010	3.96768	0.299113	-11.8169	0.249674	3.98922	0	10	0	0	0	0	3.75	0.375	43	0.999614	-0.246664	-0.207913	-0.598218	0.299113	0.249468	0.0189771	
1.06229	0.857745	1	0.299113	1.40372e-005	0.18368	9.60441e-016	0	7.08184e-008	2.58601e-006	6.82185e-011	4.17888e-028	0.0235932	0	0	6.8041	3.49802e-009	1.59795	0.299113	-4.69946	0.254462	1.62154	0	10	0	0	0	0	5	0.5	44	1.00368	-0.226927	-0.207913	-0.598218	0.299113	0.254447	0.0237773	
1.03125	0.9	1	0.299113	0.013895	0.193639	4.66868e-028	0	7.15435e-011	0.00269859	3.35004e-026	0	0.0129004	0	0	6.55452	3.44548	7.43192e-022	0.299113	10.4046	3.68052	0.0129004	0	10	0	0	0	0	3.92857	0.392857	45	0.990949	-0.209036	-0.207911	-0.59822	0.299113	0.264047	0.0128674	
1.05904	0.838429	1	0.299113	1.40221e-005	0.184035	9.37351e-016	0	7.08949e-008	2.58821e-006	6.66505e-011	3.90905e-028	0.02306	0	0	6.8388	3.51127e-009	1.5806	0.299113	-4.64954	0.253218	1.60366	0	10	0	0	0	0	5	0.5	46	1.00454	-0.231354	-0.207913	-0.598217	0.299113	0.253205	0.0230756	
1.03183	0.85294	1	0.299113	1.32997e-005	0.184224	1.14044e-015	0	7.47454e-008	2.4574e-006	8.54953e-011	8.70768e-028	0.0227766	0	0	6.24333	2.73803e-009	1.87833	0.299113	-5.54388	0.252556	1.90111	0	10	0	0	0	0	5	0.5	47	1.00113	-0.233543	-0.207913	-0.598217	0.299113	0.252537	0.0228917	
1.04841	0.878942	1	0.299113	1.20069e-005	0.184112	1.73263e-015	0	8.2794e-008	2.21717e-006	1.43877e-010	4.59406e-027	0.0229443	0	0	5.00838	1.61515e-009	2.49581	0.299113	-7.39563	0.252947	2.51875	0	10	0	0	0	0	5	0.5	48	1.00004	-0.230014	-0.207913	-0.598218	0.299113	0.252914	0.0252889	
1.1	0.80625	1	0.299113	1.15307e-005	0.183093	2.20929e-015	0	8.62129e-008	2.11745e-006	1.91034e-010	1.11358e-026	0.0244734	0	0	4.41517	1.2541e-009	2.79241	0.299113	-8.27933	0.256515	2.81689	0	10	0	0	0	0	3.75	0.375	49	1.01223	-0.222808	-0.207913	-0.598219	0.299113	0.25639	0.0220678	
1.0628	0.769093	1	0.299113	1.3965e-005	0.18444	9.21557e-016	0	7.11848e-008	2.58334e-006	6.57954e-011	3.78419e-028	0.0224519	0	0	6.8466	3.48014e-009	1.5767	0.299113	-4.64027	0.251798	1.59915	0	10	0	0	0	0	5	0.5	50	1.00699	-0.236222	-0.207913	-0.598215	0.299113	0.25179	0.0224501	
1	0.871875	1	0.299113	1.13178e-005	0.183239	2.35344e-015	0	8.78346e-008	2.08001e-006	2.07327e-010	1.45142e-026	0.0242552	0	0	4.22875	1.13674e-009	2.88562	0.299113	-8.55984	0.256006	2.90988	0	10	0	0	0	0	3.92857	0.392857	51	0.998002	-0.230281	-0.207913	-0.598219	0.299113	0.255823	0.0162971	
1.03393	0.82411	1	0.299113	1.32126e-005	0.184903	1.10617e-015	0	7.52385e-008	2.45029e-006	8.34735e-011	8.18794e-028	0.0217575	0	0	6.26171	2.70237e-009	1.86915	0.299113	-5.52039	0.250178	1.8909	0	10	0	0	0	0	5	0.5	52	1.00225	-0.241826	-0.207913	-0.598217	0.299113	0.250155	0.0217528	
1.07833	0.805385	1	0.299113	1.31774e-005	0.18369	1.23573e-015	0	7.54395e-008	2.42773e-006	9.3499e-011	1.14617e-027	0.0235776	0	0	6.05877	2.57693e-009	1.97061	0.299113	-5.81752	0.254425	1.99419	0	10	0	0	0	0	5	0.5	53	1.00855	-0.227239	-0.207913	-0.598218	0.299113	0.254404	0.0235931	
1.06681	0.788844	1	0.299113	1.39744e-005	0.184251	9.33544e-016	0	7.11366e-008	2.58244e-006	6.66061e-011	3.91913e-028	0.0227356	0	0	6.82871	3.47454e-009	1.58564	0.299113	-4.66598	0.252461	1.60838	0	10	0	0	0	0	5	0.5	54	1.007	-0.233967	-0.207913	-0.598216	0.299113	0.252449	0.0227302	
1.08977	0.790625	1	0.299113	1.23592e-005	0.183343	1.6415e-015	0	8.04337e-008	2.27269e-006	1.32423e-010	3.46528e-027	0.0240987	0	0	5.24485	1.83701e-009	2.37757	0.299113	-7.03631	0.255641	2.40167	0	10	0	0	0	0	5	0.5	55	1.01118	-0.223061	-0.207913	-0.598218	0.299113	0.255609	0.0241558	
1.03891	0.784227	1	0.299113	1.34549e-005	0.185157	1.00645e-015	0	7.38835e-008	2.49865e-006	7.45809e-011	5.74268e-028	0.0213766	0	0	6.5142	2.97294e-009	1.7429	0.299113	-5.14318	0.249289	1.76428	0	10	0	0	0	0	5	0.5	56	1.00347	-0.244828	-0.207913	-0.598215	0.299113	0.249281	0.0213726	
1.08112	0.773803	1	0.299113	1.33111e-005	0.18369	1.18683e-015	0	7.46819e-008	2.45236e-006	8.88979e-011	9.75258e-028	0.0235776	0	0	6.17963	2.70913e-009	1.91018	0.299113	-5.63623	0.254425	1.93376	0	10	0	0	0	0	5	0.5	57	1.01038	-0.227249	-0.207913	-0.598217	0.299113	0.254404	0.0235824	
1.1	0.7125	1	0.299113	1.2167e-005	0.183312	1.75186e-015	0	8.17041e-008	2.23698e-006	1.43558e-010	4.484e-027	0.0241442	0	0	5.05635	1.68937e-009	2.47183	0.299113	-7.31889	0.255747	2.49597	0	10	0	0	0	0	3.75	0.375	58	1.01413	-0.223392	-0.207913	-0.598217	0.299113	0.25571	0.0235241	
1.1	0.74375	1	0.299113	1.19215e-005	0.183113	1.93055e-015	0	8.3387e-008	2.18945e-006	1.6146e-010	6.50365e-027	0.0244433	0	0	4.79396	1.50503e-009	2.60302	0.299113	-7.71128	0.256445	2.62747	0	10	0	0	0	0	3.57143	0.357143	59	1.01392	-0.221457	-0.207913	-0.598218	0.299113	0.256396	0.0234018	
1.07735	0.750481	1	0.299113	1.35972e-005	0.183897	1.07205e-015	0	7.31105e-008	2.50789e-006	7.86108e-011	6.60915e-028	0.0232667	0	0	6.46093	3.02244e-009	1.76954	0.299113	-5.21553	0.2537	1.7928	0	10	0	0	0	0	5	0.5	60	1.00993	-0.229735	-0.207913	-0.598216	0.299113	0.253684	0.0232572	
