x	y	p4f	X1	X2	X3	X4	X5	C1	C2	C3	C4	C5	C6	C7	S	CS1	CS2	TOT_{X1}	TOT_{X2}	TOT_{X3}	TOT_{X4}	TOT_{X5}	TOT_S	CC	X5_{DEC}	CP1	CP2	totmolS	solnVol	cellNo	pe	pH	p4f	H*	O*	Charge	[X1]	[X3]	[X4]	
1.6	0	-99999	1.80174e-005	0.056215	9.77404e-012	0.102199	0	1.76838e-011	5.51077e-013	1.81263	1.04165e-010	9.72932e-005	0	0	0.0892366	1.5679e-010	0.455382	1.80174e-005	-3.12217	0.00029188	2.37031	0	1	0	0	0	0	0.25	0.25	25	17.7497	1.24886	1.59877	5.49217	-0.207919	3.98791	1.63031e-005	0.000264109	1.91931	
1.43	0.3	-99999	1.57339e-005	0.0459211	1.30135e-011	0.0849163	0	2.16479e-011	5.99368e-013	1.84371	1.78663e-010	8.49627e-005	0	0	0.0729234	9.29914e-011	0.463538	1.57339e-005	-3.18806	0.000254888	2.39225	0	1	0	0	0	0	0.25	0.25	26	17.6463	1.3367	1.61557	5.50502	-0.207918	3.98794	1.42369e-005	0.000230637	1.93222	
1.77246	0.3	-99999	1.611e-005	0.0453818	1.33732e-011	0.0839942	0	2.19051e-011	6.087e-013	1.84536	1.86282e-010	8.69934e-005	0	0	0.0720679	9.11523e-011	0.463966	1.611e-005	-3.19153	0.00026098	2.39341	0	1	0	0	0	0	0.25	0.25	27	17.6438	1.34183	1.62522	5.50569	-0.207919	3.98794	1.45772e-005	0.000236149	1.93288	
0.643247	0.3375	-99999	6.77606e-006	0.020355	3.75926e-011	0.0392983	0	4.8838e-011	7.67464e-013	1.92494	1.32512e-009	3.65901e-005	0	0	0.0323199	1.03688e-011	0.48384	6.77606e-006	-3.35596	0.000109772	2.44812	0	1	0	0	0	0	0.25	0.25	28	17.197	1.69004	1.34153	5.5384	-0.207914	3.98807	6.13135e-006	9.93273e-005	1.96586	
1.1	0.1	1	1.82725e-005	0.0920091	4.40371e-012	0.15791	0	1.08043e-011	4.06383e-013	1.71117	2.41234e-011	9.86715e-005	0	0	0.485861	1.68643e-009	4.75707	1.82725e-005	-15.89	0.000296016	6.62625	0	10	0	0	0	0	3.75	0.375	29	17.9668	1.03488	1.50902	5.45794	-0.20792	3.98791	1.6534e-005	0.00026785	1.88507	
0.130053	0.35	-99999	1.30816e-006	0.00375061	3.60251e-010	0.00745209	0	2.65049e-010	1.35517e-012	1.98102	7.51181e-008	7.03888e-006	0	0	0.00594983	1.14435e-013	0.497025	1.30816e-006	-3.46832	2.11921e-005	2.48551	0	1	0	0	0	0	0.25	0.25	30	16.2578	2.42461	1.07614	5.56117	-0.207904	3.98814	1.1837e-006	1.91758e-005	1.98878	
1.0625	0.9	1	1.04508e-005	0.0319242	2.06503e-011	0.0604338	0	3.11392e-011	6.61199e-013	1.88744	4.37523e-010	5.64339e-005	0	0	0.163212	1.10964e-010	4.91839	1.04508e-005	-16.6105	0.000169302	6.86633	0	10	0	0	0	0	3.75	0.375	31	17.4421	1.49459	1.62378	5.52505	-0.207915	3.98802	9.45646e-006	0.000153194	1.95241	
1.15083	0.931206	-99999	1.0648e-005	0.0303289	2.26124e-011	0.0575689	0	3.27771e-011	6.87843e-013	1.89254	5.08388e-010	5.74986e-005	0	0	0.0481679	3.07482e-011	0.475916	1.0648e-005	-3.28973	0.000172496	2.42608	0	1	0	0	0	0	0.25	0.25	32	17.4219	1.51686	1.64484	5.52513	-0.207915	3.98801	9.63488e-006	0.000156084	1.95248	
1.1	0.775	1	1.11459e-005	0.0347128	1.83785e-011	0.0654046	0	2.86377e-011	6.39863e-013	1.87859	3.53094e-010	6.01871e-005	0	0	0.177755	1.38276e-010	4.91112	1.11459e-005	-16.577	0.000180562	6.85518	0	10	0	0	0	0	3.92857	0.392857	33	17.4858	1.45822	1.61506	5.52162	-0.207916	3.98801	1.00854e-005	0.000163382	1.94896	
1.09219	0.942092	-99999	1.02498e-005	0.0293467	2.35731e-011	0.0557972	0	3.38741e-011	6.93845e-013	1.89569	5.50466e-010	5.53484e-005	0	0	0.0466074	2.80993e-011	0.476696	1.02498e-005	-3.29621	0.000166046	2.42824	0	1	0	0	0	0	0.25	0.25	34	17.4032	1.53115	1.64406	5.52643	-0.207915	3.98802	9.27457e-006	0.000150247	1.95379	
1.08438	0.9	1	1.0509e-005	0.0320877	2.05151e-011	0.0607265	0	3.09806e-011	6.60233e-013	1.88692	4.32086e-010	5.67484e-005	0	0	0.164063	1.12524e-010	4.91797	1.0509e-005	-16.6085	0.000170246	6.86567	0	10	0	0	0	0	3.75	0.375	35	17.445	1.49238	1.62499	5.52485	-0.207915	3.98802	9.50916e-006	0.000154047	1.9522	
1.1	0.8375	1	1.07343e-005	0.0329999	1.97276e-011	0.0623569	0	3.01242e-011	6.52941e-013	1.88402	4.02153e-010	5.79648e-005	0	0	0.168817	1.21108e-010	4.91559	1.07343e-005	-16.5976	0.000173895	6.86203	0	10	0	0	0	0	3.75	0.375	36	17.4595	1.4802	1.62084	5.52372	-0.207916	3.98801	9.71299e-006	0.00015735	1.95107	
1.1	0.86875	1	1.05995e-005	0.0324745	2.01714e-011	0.0614185	0	3.06116e-011	6.56998e-013	1.88569	4.18965e-010	5.7237e-005	0	0	0.166078	1.16097e-010	4.91696	1.05995e-005	-16.6039	0.000171712	6.86413	0	10	0	0	0	0	3.75	0.375	37	17.4511	1.48717	1.62244	5.52437	-0.207916	3.98801	9.59104e-006	0.000155374	1.95172	
1.07344	0.875	1	1.05649e-005	0.0323897	2.02364e-011	0.0612669	0	3.06917e-011	6.57394e-013	1.88596	4.21596e-010	5.70498e-005	0	0	0.165637	1.15254e-010	4.91718	1.05649e-005	-16.6049	0.00017115	6.86447	0	10	0	0	0	0	5	0.5	38	17.4496	1.48831	1.62117	5.52448	-0.207916	3.98802	9.55967e-006	0.000154866	1.95183	
1.08231	0.853125	1	1.06696e-005	0.032778	1.99081e-011	0.0619607	0	3.03281e-011	6.54482e-013	1.88473	4.09039e-010	5.76152e-005	0	0	0.16766	1.18946e-010	4.91617	1.06696e-005	-16.6002	0.000172846	6.86291	0	10	0	0	0	0	5	0.5	39	17.4559	1.48313	1.62052	5.524	-0.207916	3.98801	9.65441e-006	0.0001564	1.95135	
1	0.7875	1	1.045e-005	0.0325084	2.00416e-011	0.0614791	0	3.05796e-011	6.53451e-013	1.88558	4.15763e-010	5.64294e-005	0	0	0.166255	1.15834e-010	4.91687	1.045e-005	-16.6035	0.000169289	6.86399	0	10	0	0	0	0	3.75	0.375	40	17.45	1.48672	1.60247	5.52434	-0.207916	3.98802	9.45572e-006	0.000153182	1.9517	
1.05666	0.80625	1	1.08085e-005	0.0335145	1.92751e-011	0.0632744	0	2.96616e-011	6.47912e-013	1.88239	3.8589e-010	5.83652e-005	0	0	0.1715	1.25923e-010	4.91425	1.08085e-005	-16.5914	0.000175096	6.85997	0	10	0	0	0	0	5	0.5	41	17.4671	1.47348	1.61194	5.52309	-0.207916	3.98801	9.78009e-006	0.000158436	1.95044	
1.07479	0.826783	1	1.08143e-005	0.0333746	1.9412e-011	0.0630251	0	2.9786e-011	6.49788e-013	1.88283	3.90535e-010	5.83968e-005	0	0	0.170771	1.24702e-010	4.91461	1.08143e-005	-16.5931	0.000175191	6.86053	0	10	0	0	0	0	5	0.5	42	17.4653	1.4753	1.61802	5.52326	-0.207916	3.98801	9.78538e-006	0.000158522	1.95061	
1	0.84375	1	1.03252e-005	0.031758	2.07449e-011	0.0601361	0	3.13022e-011	6.60772e-013	1.88797	4.42201e-010	5.57555e-005	0	0	0.162347	1.09159e-010	4.91883	1.03252e-005	-16.6125	0.000167267	6.86699	0	10	0	0	0	0	3.75	0.375	43	17.4385	1.49686	1.61332	5.52526	-0.207915	3.98802	9.34279e-006	0.000151352	1.95262	
1.06229	0.857745	1	1.06175e-005	0.0325811	2.0074e-011	0.0616091	0	3.05114e-011	6.55973e-013	1.88535	4.15353e-010	5.73341e-005	0	0	0.166634	1.17069e-010	4.91668	1.06175e-005	-16.6026	0.000172003	6.8637	0	10	0	0	0	0	5	0.5	44	17.4528	1.48575	1.61868	5.52424	-0.207916	3.98801	9.60731e-006	0.000155637	1.95159	
1.03125	0.9	1	1.03229e-005	0.0315406	2.09797e-011	0.0597465	0	3.15179e-011	6.63675e-013	1.88867	4.50782e-010	5.57433e-005	0	0	0.161215	1.07389e-010	4.91939	1.03229e-005	-16.6151	0.000167231	6.86786	0	10	0	0	0	0	3.92857	0.392857	45	17.4354	1.49984	1.62234	5.52553	-0.207915	3.98802	9.34075e-006	0.000151319	1.95289	
1.05904	0.838429	1	1.06995e-005	0.0329648	1.97409e-011	0.0622943	0	3.01562e-011	6.52685e-013	1.88413	4.02923e-010	5.7777e-005	0	0	0.168634	1.20673e-010	4.91568	1.06995e-005	-16.598	0.000173332	6.86217	0	10	0	0	0	0	5	0.5	46	17.4587	1.48066	1.61626	5.52377	-0.207916	3.98801	9.68152e-006	0.00015684	1.95112	
1.03183	0.85294	1	1.05048e-005	0.0322856	2.03054e-011	0.0610807	0	3.07907e-011	6.57517e-013	1.88629	4.24623e-010	5.67256e-005	0	0	0.165094	1.1416e-010	4.91745	1.05048e-005	-16.6061	0.000170177	6.86488	0	10	0	0	0	0	5	0.5	47	17.4476	1.48971	1.61496	5.52461	-0.207916	3.98802	9.50534e-006	0.000153986	1.95196	
1.04841	0.878942	1	1.04664e-005	0.0320573	2.05193e-011	0.0606722	0	3.10099e-011	6.59744e-013	1.88702	4.3265e-010	5.6518e-005	0	0	0.163905	1.1212e-010	4.91805	1.04664e-005	-16.6089	0.000169555	6.8658	0	10	0	0	0	0	5	0.5	48	17.4441	1.49279	1.62081	5.52489	-0.207915	3.98802	9.47056e-006	0.000153422	1.95224	
1.1	0.80625	1	1.0895e-005	0.0336521	1.91964e-011	0.0635194	0	2.95404e-011	6.47915e-013	1.88195	3.82477e-010	5.88323e-005	0	0	0.172218	1.27491e-010	4.91389	1.0895e-005	-16.5897	0.000176497	6.85942	0	10	0	0	0	0	3.75	0.375	49	17.4697	1.4717	1.61871	5.52292	-0.207916	3.98801	9.85835e-006	0.000159704	1.95026	
1.0628	0.769093	1	1.11382e-005	0.0349901	1.81351e-011	0.0658964	0	2.84107e-011	6.36431e-013	1.87772	3.45172e-010	6.01459e-005	0	0	0.179204	1.4088e-010	4.9104	1.11382e-005	-16.5737	0.000180438	6.85407	0	10	0	0	0	0	5	0.5	50	17.4892	1.45477	1.6063	5.52129	-0.207916	3.98801	1.00785e-005	0.00016327	1.94862	
1	0.871875	1	1.02784e-005	0.0314923	2.10025e-011	0.0596598	0	3.15663e-011	6.6338e-013	1.88882	4.52077e-010	5.55031e-005	0	0	0.160964	1.06846e-010	4.91952	1.02784e-005	-16.6157	0.00016651	6.86806	0	10	0	0	0	0	3.92857	0.392857	51	17.4343	1.50051	1.6175	5.52559	-0.207915	3.98802	9.30049e-006	0.000150667	1.95295	
1.03393	0.82411	1	1.05924e-005	0.032784	1.98539e-011	0.0619715	0	3.03225e-011	6.52822e-013	1.88471	4.07838e-010	5.71983e-005	0	0	0.167692	1.1871e-010	4.91615	1.05924e-005	-16.6002	0.000171595	6.86289	0	10	0	0	0	0	5	0.5	52	17.4552	1.48305	1.60973	5.524	-0.207916	3.98801	9.58455e-006	0.000155269	1.95135	
1.07833	0.805385	1	1.09017e-005	0.0337394	1.91185e-011	0.0636749	0	2.94639e-011	6.46961e-013	1.88167	3.79772e-010	5.88687e-005	0	0	0.172674	1.28303e-010	4.91366	1.09017e-005	-16.5887	0.000176606	6.85907	0	10	0	0	0	0	5	0.5	53	17.4709	1.47058	1.61674	5.52282	-0.207916	3.98801	9.86444e-006	0.000159803	1.95016	
1.06681	0.788844	1	1.09681e-005	0.0341678	1.87631e-011	0.0644368	0	2.90945e-011	6.42997e-013	1.88032	3.67243e-010	5.92274e-005	0	0	0.174909	1.32469e-010	4.91255	1.09681e-005	-16.5835	0.000177683	6.85736	0	10	0	0	0	0	5	0.5	54	17.4771	1.4651	1.6106	5.52229	-0.207916	3.98801	9.92455e-006	0.000160777	1.94963	
1.08977	0.790625	1	1.10209e-005	0.03422	1.8746e-011	0.0645296	0	2.90501e-011	6.4339e-013	1.88015	3.66251e-010	5.95121e-005	0	0	0.175182	1.33162e-010	4.91241	1.10209e-005	-16.5829	0.000178537	6.85715	0	10	0	0	0	0	5	0.5	55	17.4783	1.46443	1.61583	5.52223	-0.207916	3.98801	9.97227e-006	0.00016155	1.94957	
1.03891	0.784227	1	1.08074e-005	0.0337794	1.90261e-011	0.063746	0	2.94291e-011	6.44596e-013	1.88155	3.77413e-010	5.83594e-005	0	0	0.172882	1.28292e-010	4.91356	1.08074e-005	-16.5882	0.000175079	6.85891	0	10	0	0	0	0	5	0.5	56	17.4704	1.47006	1.60418	5.52277	-0.207916	3.98801	9.77911e-006	0.000158421	1.95012	
1.08112	0.773803	1	1.12424e-005	0.0352599	1.79628e-011	0.0663743	0	2.81934e-011	6.35244e-013	1.87686	3.38815e-010	6.07083e-005	0	0	0.180613	1.43917e-010	4.90969	1.12424e-005	-16.5704	0.000182125	6.85299	0	10	0	0	0	0	5	0.5	57	17.4936	1.45143	1.61049	5.52096	-0.207916	3.98801	1.01727e-005	0.000164797	1.94829	
1.1	0.7125	1	1.15564e-005	0.0365843	1.70606e-011	0.0687143	0	2.71727e-011	6.26003e-013	1.87269	3.08086e-010	6.24043e-005	0	0	0.18754	1.58532e-010	4.90623	1.15564e-005	-16.5545	0.000187213	6.8477	0	10	0	0	0	0	3.75	0.375	58	17.5128	1.43542	1.60786	5.51934	-0.207916	3.988	1.04569e-005	0.000169401	1.94666	
1.1	0.74375	1	1.13487e-005	0.0356247	1.77165e-011	0.0670198	0	2.79047e-011	6.33014e-013	1.87571	3.3014e-010	6.12828e-005	0	0	0.18252	1.47939e-010	4.90874	1.13487e-005	-16.5661	0.000183849	6.85153	0	10	0	0	0	0	3.57143	0.357143	59	17.4991	1.44696	1.61152	5.52051	-0.207916	3.988	1.0269e-005	0.000166356	1.94784	
1.07735	0.750481	1	1.13908e-005	0.0359605	1.74663e-011	0.0676135	0	2.7644e-011	6.29961e-013	1.87465	3.21893e-010	6.151e-005	0	0	0.184276	1.51459e-010	4.90786	1.13908e-005	-16.562	0.000184531	6.85019	0	10	0	0	0	0	5	0.5	60	17.5037	1.44289	1.60718	5.5201	-0.207916	3.988	1.0307e-005	0.000166973	1.94743	
1.1	0.68125	1	1.1754e-005	0.0375464	1.64397e-011	0.0704076	0	2.64764e-011	6.19082e-013	1.86967	2.87867e-010	6.3471e-005	0	0	0.192578	1.6957e-010	4.90371	1.1754e-005	-16.543	0.000190414	6.84385	0	10	0	0	0	0	3.75	0.375	61	17.526	1.42415	1.60396	5.51817	-0.207916	3.988	1.06356e-005	0.000172296	1.94549	
1.08303	0.728125	1	1.15013e-005	0.0364626	1.71272e-011	0.0684997	0	2.72634e-011	6.26353e-013	1.87307	3.10509e-010	6.21065e-005	0	0	0.186903	1.57032e-010	4.90655	1.15013e-005	-16.556	0.00018632	6.84818	0	10	0	0	0	0	5	0.5	62	17.5108	1.43687	1.60563	5.51949	-0.207916	3.988	1.0407e-005	0.000168592	1.94681	
1	0.73125	1	1.06879e-005	0.0338135	1.89242e-011	0.0638067	0	2.93993e-011	6.41792e-013	1.88144	3.74948e-010	5.77144e-005	0	0	0.17306	1.28124e-010	4.91347	1.06879e-005	-16.5878	0.000173144	6.85877	0	10	0	0	0	0	3.75	0.375	63	17.4697	1.46962	1.59017	5.52274	-0.207916	3.98801	9.67103e-006	0.00015667	1.95009	
1.05667	0.682477	1	1.15647e-005	0.0372819	1.65423e-011	0.0699426	0	2.66643e-011	6.18558e-013	1.8705	2.92108e-010	6.24489e-005	0	0	0.191192	1.65846e-010	4.9044	1.15647e-005	-16.5462	0.000187347	6.84491	0	10	0	0	0	0	5	0.5	64	17.5211	1.42722	1.5924	5.5185	-0.207916	3.988	1.04644e-005	0.000169522	1.94582	
1.06606	0.735712	1	1.1354e-005	0.0359965	1.74188e-011	0.0676771	0	2.76164e-011	6.28876e-013	1.87454	3.20638e-010	6.13113e-005	0	0	0.184465	1.51655e-010	4.90777	1.1354e-005	-16.5616	0.000183934	6.85005	0	10	0	0	0	0	5	0.5	65	17.5037	1.44245	1.60228	5.52006	-0.207916	3.988	1.02738e-005	0.000166434	1.94739	
1.0269	0.689646	1	1.12271e-005	0.0362335	1.71671e-011	0.0680955	0	2.74358e-011	6.2387e-013	1.8738	3.13564e-010	6.06256e-005	0	0	0.185704	1.5346e-010	4.90715	1.12271e-005	-16.5588	0.000181877	6.8491	0	10	0	0	0	0	5	0.5	66	17.5053	1.4396	1.58418	5.51978	-0.207916	3.98801	1.01588e-005	0.000164572	1.94712	
1.06767	0.716546	1	1.15746e-005	0.036999	1.67558e-011	0.0694447	0	2.68682e-011	6.21786e-013	1.87139	2.98565e-010	6.25022e-005	0	0	0.189711	1.62918e-010	4.90514	1.15746e-005	-16.5496	0.000187507	6.84604	0	10	0	0	0	0	5	0.5	67	17.5179	1.43052	1.60001	5.51884	-0.207916	3.988	1.04733e-005	0.000169667	1.94616	
