              x	              y	              z	           time	in	                  A	
             28	            6.5	              0	             40	 1	   3.7026290001e-11	
             32	            6.5	              0	             40	 1	   1.9366875317e-11	
             36	            6.5	              0	             40	 1	   9.1977048215e-12	
             40	            6.5	              0	             40	 1	   4.0260448013e-12	
             44	            6.5	              0	             40	 1	   1.6417951607e-12	
             48	            6.5	              0	             40	 1	   6.3031757152e-13	
             52	            6.5	              0	             40	 1	   2.2691023873e-13	
             56	            6.5	              0	             40	 1	   7.5692882035e-14	
             60	            6.5	              0	             40	 1	   2.2848838354e-14	
             64	            6.5	              0	             40	 1	   0.0000000000e+00	
             68	            6.5	              0	             40	 1	   0.0000000000e+00	
             72	            6.5	              0	             40	 1	   0.0000000000e+00	
             76	            6.5	              0	             40	 1	   0.0000000000e+00	
             80	            6.5	              0	             40	 1	   0.0000000000e+00	
             84	            6.5	              0	             40	 1	   0.0000000000e+00	
             88	            6.5	              0	             40	 1	   0.0000000000e+00	
             92	            6.5	              0	             40	 1	   0.0000000000e+00	
             96	            6.5	              0	             40	 1	   0.0000000000e+00	
            100	            6.5	              0	             40	 1	   0.0000000000e+00	
              0	            7.5	              0	             40	 1	   0.0000000000e+00	
              4	            7.5	              0	             40	 1	   4.6212298022e-11	
              8	            7.5	              0	             40	 1	   1.4712326190e-10	
             12	            7.5	              0	             40	 1	   2.2466254725e-10	
             16	            7.5	              0	             40	 1	   2.3222335892e-10	
             20	            7.5	              0	             40	 1	   1.8568278763e-10	
             24	            7.5	              0	             40	 1	   1.2317872910e-10	
             28	            7.5	              0	             40	 1	   7.0753625832e-11	
             32	            7.5	              0	             40	 1	   3.6210217811e-11	
             36	            7.5	              0	             40	 1	   1.6848778940e-11	
             40	            7.5	              0	             40	 1	   7.2366354068e-12	
             44	            7.5	              0	             40	 1	   2.9020722888e-12	
             48	            7.5	              0	             40	 1	   1.0960616222e-12	
             52	            7.5	              0	             40	 1	   3.9119924425e-13	
             56	            7.5	              0	             40	 1	   1.3413035968e-13	
             60	            7.5	              0	             40	 1	   3.9705629000e-14	
             64	            7.5	              0	             40	 1	   1.1349526144e-14	
             68	            7.5	              0	             40	 1	   0.0000000000e+00	
             72	            7.5	              0	             40	 1	   0.0000000000e+00	
             76	            7.5	              0	             40	 1	   0.0000000000e+00	
             80	            7.5	              0	             40	 1	   0.0000000000e+00	
             84	            7.5	              0	             40	 1	   0.0000000000e+00	
             88	            7.5	              0	             40	 1	   0.0000000000e+00	
             92	            7.5	              0	             40	 1	   0.0000000000e+00	
             96	            7.5	              0	             40	 1	   0.0000000000e+00	
            100	            7.5	              0	             40	 1	   0.0000000000e+00	
              0	            8.5	              0	             40	 1	   0.0000000000e+00	
              4	            8.5	              0	             40	 1	   1.0132366416e-10	
              8	            8.5	              0	             40	 1	   3.0869412977e-10	
             12	            8.5	              0	             40	 1	   4.5553878284e-10	
             16	            8.5	              0	             40	 1	   4.5708115535e-10	
             20	            8.5	              0	             40	 1	   3.5582200996e-10	
             24	            8.5	              0	             40	 1	   2.3033347807e-10	
             28	            8.5	              0	             40	 1	   1.2934534568e-10	
             32	            8.5	              0	             40	 1	   6.4820052436e-11	
             36	            8.5	              0	             40	 1	   2.9578634487e-11	
             40	            8.5	              0	             40	 1	   1.2475122918e-11	
             44	            8.5	              0	             40	 1	   4.9186191649e-12	
             48	            8.5	              0	             40	 1	   1.8273906047e-12	
             52	            8.5	              0	             40	 1	   6.4476809224e-13	
             56	            8.5	              0	             40	 1	   2.1477997384e-13	
             60	            8.5	              0	             40	 1	   6.5757325396e-14	
             64	            8.5	              0	             40	 1	   1.8497982665e-14	
             68	            8.5	              0	             40	 1	   0.0000000000e+00	
             72	            8.5	              0	             40	 1	   0.0000000000e+00	
             76	            8.5	              0	             40	 1	   0.0000000000e+00	
             80	            8.5	              0	             40	 1	   0.0000000000e+00	
             84	            8.5	              0	             40	 1	   0.0000000000e+00	
             88	            8.5	              0	             40	 1	   0.0000000000e+00	
             92	            8.5	              0	             40	 1	   0.0000000000e+00	
             96	            8.5	              0	             40	 1	   0.0000000000e+00	
            100	            8.5	              0	             40	 1	   0.0000000000e+00	
              0	            9.5	              0	             40	 1	   0.0000000000e+00	
              4	            9.5	              0	             40	 1	   2.1012029142e-10	
