              x	              y	              z	           time	in	          Cl	
              1	              6	              2	             10	 1	  9.8743e-01	
              2	              6	              2	             10	 1	  9.7124e-01	
              3	              6	              2	             10	 1	  9.5132e-01	
              4	              6	              2	             10	 1	  9.2787e-01	
              5	              6	              2	             10	 1	  9.0162e-01	
              6	              6	              2	             10	 1	  8.8117e-01	
              7	              6	              2	             10	 1	  8.6234e-01	
              8	              6	              2	             10	 1	  8.4662e-01	
              9	              6	              2	             10	 1	  8.3578e-01	
             10	              6	              2	             10	 1	  8.3181e-01	
              0	              7	              2	             10	 1	  1.0000e+00	
              1	              7	              2	             10	 1	  9.8703e-01	
              2	              7	              2	             10	 1	  9.7063e-01	
              3	              7	              2	             10	 1	  9.5081e-01	
              4	              7	              2	             10	 1	  9.2792e-01	
              5	              7	              2	             10	 1	  9.0273e-01	
              6	              7	              2	             10	 1	  8.8304e-01	
              7	              7	              2	             10	 1	  8.6499e-01	
              8	              7	              2	             10	 1	  8.5001e-01	
              9	              7	              2	             10	 1	  8.3975e-01	
             10	              7	              2	             10	 1	  8.3602e-01	
              0	              8	              2	             10	 1	  1.0000e+00	
              1	              8	              2	             10	 1	  9.8687e-01	
              2	              8	              2	             10	 1	  9.7038e-01	
              3	              8	              2	             10	 1	  9.5066e-01	
              4	              8	              2	             10	 1	  9.2811e-01	
              5	              8	              2	             10	 1	  9.0349e-01	
              6	              8	              2	             10	 1	  8.8430e-01	
              7	              8	              2	             10	 1	  8.6676e-01	
              8	              8	              2	             10	 1	  8.5224e-01	
              9	              8	              2	             10	 1	  8.4234e-01	
             10	              8	              2	             10	 1	  8.3874e-01	
              0	              9	              2	             10	 1	  1.0000e+00	
              1	              9	              2	             10	 1	  9.8682e-01	
              2	              9	              2	             10	 1	  9.7030e-01	
              3	              9	              2	             10	 1	  9.5064e-01	
              4	              9	              2	             10	 1	  9.2827e-01	
              5	              9	              2	             10	 1	  9.0395e-01	
              6	              9	              2	             10	 1	  8.8504e-01	
              7	              9	              2	             10	 1	  8.6777e-01	
              8	              9	              2	             10	 1	  8.5352e-01	
              9	              9	              2	             10	 1	  8.4380e-01	
             10	              9	              2	             10	 1	  8.4028e-01	
              0	             10	              2	             10	 1	  1.0000e+00	
              1	             10	              2	             10	 1	  9.8680e-01	
              2	             10	              2	             10	 1	  9.7029e-01	
              3	             10	              2	             10	 1	  9.5065e-01	
              4	             10	              2	             10	 1	  9.2834e-01	
              5	             10	              2	             10	 1	  9.0411e-01	
              6	             10	              2	             10	 1	  8.8528e-01	
              7	             10	              2	             10	 1	  8.6811e-01	
              8	             10	              2	             10	 1	  8.5393e-01	
              9	             10	              2	             10	 1	  8.4428e-01	
             10	             10	              2	             10	 1	  8.4078e-01	
              0	              0	              3	             10	 1	  1.0000e+00	
              1	              0	              3	             10	 1	  9.9190e-01	
              2	              0	              3	             10	 1	  9.7865e-01	
              3	              0	              3	             10	 1	  9.5914e-01	
              4	              0	              3	             10	 1	  9.3205e-01	
              5	              0	              3	             10	 1	  8.9562e-01	
              6	              0	              3	             10	 1	  8.7099e-01	
              7	              0	              3	             10	 1	  8.4723e-01	
              8	              0	              3	             10	 1	  8.2640e-01	
              9	              0	              3	             10	 1	  8.1128e-01	
             10	              0	              3	             10	 1	  8.0554e-01	
              0	              1	              3	             10	 1	  1.0000e+00	
              1	              1	              3	             10	 1	  9.9187e-01	
              2	              1	              3	             10	 1	  9.7860e-01	
              3	              1	              3	             10	 1	  9.5910e-01	
              4	              1	              3	             10	 1	  9.3209e-01	
              5	              1	              3	             10	 1	  8.9584e-01	
              6	              1	              3	             10	 1	  8.7137e-01	
              7	              1	              3	             10	 1	  8.4777e-01	
              8	              1	              3	             10	 1	  8.2711e-01	
              9	              1	              3	             10	 1	  8.1211e-01	
             10	              1	              3	             10	 1	  8.0642e-01	
              0	              2	              3	             10	 1	  1.0000e+00	
              1	              2	              3	             10	 1	  9.9176e-01	
              2	              2	              3	             10	 1	  9.7840e-01	
              3	              2	              3	             10	 1	  9.5892e-01	
              4	              2	              3	             10	 1	  9.3216e-01	
              5	              2	              3	             10	 1	  8.9650e-01	
              6	              2	              3	             10	 1	  8.7252e-01	
              7	              2	              3	             10	 1	  8.4945e-01	
              8	              2	              3	             10	 1	  8.2928e-01	
              9	              2	              3	             10	 1	  8.1466e-01	
             10	              2	              3	             10	 1	  8.0912e-01	
              0	              3	              3	             10	 1	  1.0000e+00	
              1	              3	              3	             10	 1	  9.9145e-01	
              2	              3	              3	             10	 1	  9.7780e-01	
              3	              3	              3	             10	 1	  9.5831e-01	
              4	              3	              3	             10	 1	  9.3205e-01	
              5	              3	              3	             10	 1	  8.9758e-01	
              6	              3	              3	             10	 1	  8.7451e-01	
              7	              3	              3	             10	 1	  8.5238e-01	
              8	              3	              3	             10	 1	  8.3310e-01	
              9	              3	              3	             10	 1	  8.1918e-01	
             10	              3	              3	             10	 1	  8.1391e-01	
              0	              4	              3	             10	 1	  1.0000e+00	
              1	              4	              3	             10	 1	  9.9060e-01	
              2	              4	              3	             10	 1	  9.7627e-01	
              3	              4	              3	             10	 1	  9.5668e-01	
              4	              4	              3	             10	 1	  9.3136e-01	
              5	              4	              3	             10	 1	  8.9923e-01	
              6	              4	              3	             10	 1	  8.7756e-01	
              7	              4	              3	             10	 1	  8.5684e-01	
              8	              4	              3	             10	 1	  8.3893e-01	
              9	              4	              3	             10	 1	  8.2612e-01	
             10	              4	              3	             10	 1	  8.2130e-01	
              0	              5	              3	             10	 1	  1.0000e+00	
              1	              5	              3	             10	 1	  9.8825e-01	
              2	              5	              3	             10	 1	  9.7256e-01	
              3	              5	              3	             10	 1	  9.5293e-01	
              4	              5	              3	             10	 1	  9.2946e-01	
              5	              5	              3	             10	 1	  9.0236e-01	
              6	              5	              3	             10	 1	  8.8212e-01	
              7	              5	              3	             10	 1	  8.6329e-01	
              8	              5	              3	             10	 1	  8.4742e-01	
              9	              5	              3	             10	 1	  8.3635e-01	
             10	              5	              3	             10	 1	  8.3227e-01	
              0	              6	              3	             10	 1	  1.0000e+00	
              1	              6	              3	             10	 1	  9.8737e-01	
              2	              6	              3	             10	 1	  9.7129e-01	
              3	              6	              3	             10	 1	  9.5176e-01	
              4	              6	              3	             10	 1	  9.2910e-01	
