 x	y	z_datum	Time	Well_no	H         	O         	As        	C         	Ca        	Cl        	Mg        	Na        	S         	Charge    	pH	Alkalinity	
   1.2000000E+04	  3.6000000E+04	  1.1000000E+02	  1.1000000E+05	  1	  1.5106931E-02	  4.8011565E-02	  2.8603681E-08	  1.5887880E-02	  9.5089679E-04	  4.5081704E-02	  6.7562041E-04	  6.5981224E-02	  2.6545325E-04	  9.2508724E-03	  7.2062521E+00	  1.4370642E-02	
   1.2000000E+04	  3.6000000E+04	  1.1000000E+02	  1.1200000E+05	  1	  1.4151466E-02	  4.5959263E-02	  3.3557049E-08	  1.5206211E-02	  7.7492416E-04	  3.8363310E-02	  5.5211405E-04	  5.8485298E-02	  2.6091130E-04	  8.2703346E-03	  7.2901826E+00	  1.3983843E-02	
   1.2000000E+04	  3.6000000E+04	  1.1000000E+02	  1.1400000E+05	  1	  1.3292587E-02	  4.4053321E-02	  3.9445732E-08	  1.4572905E-02	  6.3548461E-04	  3.2722743E-02	  4.5383779E-04	  5.2042512E-02	  2.5709802E-04	  7.3902194E-03	  7.3741694E+00	  1.3593985E-02	
   1.2000000E+04	  3.6000000E+04	  1.1000000E+02	  1.1600000E+05	  1	  1.2522616E-02	  4.2291727E-02	  4.6397914E-08	  1.3987370E-02	  5.2475373E-04	  2.7974150E-02	  3.7550249E-04	  4.6491687E-02	  2.5388775E-04	  6.6022137E-03	  7.4578274E+00	  1.3208083E-02	
   1.2000000E+04	  3.6000000E+04	  1.1000000E+02	  1.1800000E+05	  1	  1.1833919E-02	  4.0671534E-02	  5.4546123E-08	  1.3448685E-02	  4.3664080E-04	  2.3965945E-02	  3.1295854E-04	  4.1699581E-02	  2.5117801E-04	  5.8981611E-03	  7.5407497E+00	  1.2832366E-02	
   1.2000000E+04	  3.6000000E+04	  1.1000000E+02	  1.2000000E+05	  1	  1.1219082E-02	  3.9188693E-02	  6.4032432E-08	  1.2955551E-02	  3.6638580E-04	  2.0574130E-02	  2.6294011E-04	  3.7555407E-02	  2.4888499E-04	  5.2702151E-03	  7.6225166E+00	  1.2472006E-02	
   1.2000000E+04	  3.6000000E+04	  1.1000000E+02	  1.2200000E+05	  1	  1.0671019E-02	  3.7837975E-02	  7.5017053E-08	  1.2506265E-02	  3.1025587E-04	  1.7696966E-02	  2.2286990E-04	  3.3966439E-02	  2.4693989E-04	  4.7109314E-03	  7.7026986E+00	  1.2130982E-02	
   1.2000000E+04	  3.6000000E+04	  1.1000000E+02	  1.2400000E+05	  1	  1.0183036E-02	  3.6613002E-02	  8.7688301E-08	  1.2098734E-02	  2.6531576E-04	  1.5250721E-02	  1.9070984E-04	  3.0854543E-02	  2.4528612E-04	  4.2133208E-03	  7.7808567E+00	  1.1812050E-02	
   1.2000000E+04	  3.6000000E+04	  1.1000000E+02	  1.2600000E+05	  1	  9.7488739E-03	  3.5506406E-02	  1.0227106E-07	  1.1730527E-02	  2.2925317E-04	  1.3166275E-02	  1.6484625E-04	  2.8153457E-02	  2.4387694E-04	  3.7708755E-03	  7.8565419E+00	  1.1516815E-02	
   1.2000000E+04	  3.6000000E+04	  1.1000000E+02	  1.2800000E+05	  1	  9.3627265E-03	  3.4510061E-02	  1.1903061E-07	  1.1398960E-02	  2.0024449E-04	  1.1386398E-02	  1.4400069E-04	  2.5806670E-02	  2.4267366E-04	  3.3775828E-03	  7.9293049E+00	  1.1245884E-02	
