              x	              y	              z	           time	in	          pH	          Ca	          Mg	          Na	          Cl	        C(4)	         SO4	          As	
          42000	          24000	            100	          10000	 1	     6.48615	  3.3533e+02	  1.3884e+02	  5.5342e+03	  8.9584e+03	  1.3467e+03	  3.9942e+01	  1.1072e-01	
          48000	          24000	            100	          10000	 1	     6.54466	  2.6995e+02	  1.1261e+02	  4.8280e+03	  7.6667e+03	  1.3366e+03	  3.7911e+01	  1.1094e-01	
          54000	          24000	            100	          10000	 1	     6.67657	  1.7116e+02	  7.2356e+01	  3.6253e+03	  5.5068e+03	  1.2903e+03	  3.4590e+01	  1.1969e-01	
          60000	          24000	            100	          10000	 1	     6.71736	  1.5037e+02	  6.3779e+01	  3.3361e+03	  4.9996e+03	  1.2675e+03	  3.3803e+01	  1.2481e-01	
          66000	          24000	            100	          10000	 1	      6.7327	  1.4269e+02	  6.0598e+01	  3.2324e+03	  4.8149e+03	  1.2640e+03	  3.3531e+01	  1.2696e-01	
          72000	          24000	            100	          10000	 1	     6.75632	  1.3093e+02	  5.5706e+01	  3.0784e+03	  4.5360e+03	  1.2659e+03	  3.3151e+01	  1.3052e-01	
          78000	          24000	            100	          10000	 1	     6.79335	  1.1607e+02	  4.9510e+01	  2.8622e+03	  4.1558e+03	  1.2535e+03	  3.2602e+01	  1.3726e-01	
          84000	          24000	            100	          10000	 1	     6.81319	  1.0873e+02	  4.6439e+01	  2.7535e+03	  3.9642e+03	  1.2486e+03	  3.2332e+01	  1.4132e-01	
          90000	          24000	            100	          10000	 1	      6.8232	  1.0523e+02	  4.4973e+01	  2.7008e+03	  3.8715e+03	  1.2460e+03	  3.2201e+01	  1.4350e-01	
              0	          30000	            100	          10000	 1	     5.69853	  1.7976e+04	  3.8416e+03	  1.2056e+05	  2.2836e+05	  2.5701e+02	  4.4009e+02	  7.8881e-01	
           6000	          30000	            100	          10000	 1	      5.6482	  1.5813e+04	  3.5868e+03	  1.0847e+05	  2.0516e+05	  3.2498e+02	  3.9613e+02	  9.5108e-01	
          12000	          30000	            100	          10000	 1	     5.58547	  1.1213e+04	  2.9137e+03	  8.1311e+04	  1.5318e+05	  5.8339e+02	  2.9865e+02	  1.1687e+00	
          18000	          30000	            100	          10000	 1	     5.69829	  6.0605e+03	  1.8787e+03	  4.8157e+04	  8.9940e+04	  1.0288e+03	  1.8280e+02	  7.3215e-01	
          24000	          30000	            100	          10000	 1	     5.99017	  2.2662e+03	  8.2654e+02	  2.1315e+04	  3.8786e+04	  1.2977e+03	  9.1541e+01	  2.5323e-01	
          30000	          30000	            100	          10000	 1	     6.39132	  5.2275e+02	  2.1281e+02	  7.2055e+03	  1.2134e+04	  1.2635e+03	  4.5215e+01	  1.1852e-01	
          36000	          30000	            100	          10000	 1	     6.46865	  3.6838e+02	  1.5206e+02	  5.8236e+03	  9.5174e+03	  1.3159e+03	  4.0839e+01	  1.1199e-01	
          42000	          30000	            100	          10000	 1	      6.4814	  3.4257e+02	  1.4174e+02	  5.6036e+03	  9.0892e+03	  1.3432e+03	  4.0150e+01	  1.1091e-01	
          48000	          30000	            100	          10000	 1	     6.55703	  2.5927e+02	  1.0830e+02	  4.6987e+03	  7.4361e+03	  1.3283e+03	  3.7540e+01	  1.1138e-01	
          54000	          30000	            100	          10000	 1	     6.67946	  1.7163e+02	  7.2562e+01	  3.6130e+03	  5.4955e+03	  1.2744e+03	  3.4539e+01	  1.2027e-01	
          60000	          30000	            100	          10000	 1	     6.70431	  1.5746e+02	  6.6712e+01	  3.4290e+03	  5.1662e+03	  1.2690e+03	  3.4048e+01	  1.2315e-01	
          66000	          30000	            100	          10000	 1	     6.71766	  1.4845e+02	  6.2971e+01	  3.3271e+03	  4.9735e+03	  1.2818e+03	  3.3807e+01	  1.2463e-01	
          72000	          30000	            100	          10000	 1	     6.73668	  1.3798e+02	  5.8622e+01	  3.1940e+03	  4.7301e+03	  1.2874e+03	  3.3475e+01	  1.2715e-01	
          78000	          30000	            100	          10000	 1	      6.7962	  1.1432e+02	  4.8774e+01	  2.8436e+03	  4.1183e+03	  1.2598e+03	  3.2572e+01	  1.3772e-01	
          84000	          30000	            100	          10000	 1	     6.81251	  1.0867e+02	  4.6413e+01	  2.7560e+03	  3.9664e+03	  1.2521e+03	  3.2346e+01	  1.4112e-01	
          90000	          30000	            100	          10000	 1	     6.82035	  1.0600e+02	  4.5296e+01	  2.7149e+03	  3.8947e+03	  1.2492e+03	  3.2242e+01	  1.4283e-01	
              0	          36000	            100	          10000	 1	     5.70424	  1.8224e+04	  3.8686e+03	  1.2192e+05	  2.3096e+05	  2.5092e+02	  4.4504e+02	  7.7124e-01	
           6000	          36000	            100	          10000	 1	     5.67146	  1.6787e+04	  3.7058e+03	  1.1398e+05	  2.1571e+05	  2.9027e+02	  4.1606e+02	  8.7536e-01	
          12000	          36000	            100	          10000	 1	     5.60287	  1.3400e+04	  3.2577e+03	  9.4527e+04	  1.7843e+05	  4.3832e+02	  3.4569e+02	  1.1110e+00	
          18000	          36000	            100	          10000	 1	     5.60316	  8.9630e+03	  2.5048e+03	  6.7270e+04	  1.2636e+05	  7.7218e+02	  2.4893e+02	  1.0765e+00	
          24000	          36000	            100	          10000	 1	     5.77781	  4.5499e+03	  1.4963e+03	  3.7863e+04	  7.0284e+04	  1.1759e+03	  1.4730e+02	  5.2709e-01	
          30000	          36000	            100	          10000	 1	     6.40846	  4.8539e+02	  1.9824e+02	  6.8755e+03	  1.1511e+04	  1.2708e+03	  4.4169e+01	  1.1678e-01	
