         x         y         z         A         B         C         D
 108.00000  12.50000  -3.50000   0.00000   0.00000   0.00000   0.00001
 112.00000  12.50000  -3.50000   0.00000   0.00000   0.00000   0.00001
 116.00000  12.50000  -3.50000   0.00000   0.00000   0.00000   0.00000
 120.00000  12.50000  -3.50000   0.00000   0.00000   0.00000   0.00000
 124.00000  12.50000  -3.50000   0.00000   0.00000   0.00000   0.00000
 128.00000  12.50000  -3.50000   0.00000   0.00000   0.00000   0.00000
 132.00000  12.50000  -3.50000   0.00000   0.00000   0.00000   0.00000
 136.00000  12.50000  -3.50000   0.00000   0.00000   0.00000   0.00000
 140.00000  12.50000  -3.50000   0.00000   0.00000   0.00000   0.00000
 144.00000  12.50000  -3.50000   0.00000   0.00000   0.00000   0.00000
 148.00000  12.50000  -3.50000   0.00000   0.00000   0.00000   0.00000
 150.00000  12.50000  -3.50000   0.00000   0.00000   0.00000   0.00000
   0.00000  12.50000  -2.50000   0.00000   0.00000   0.00000   0.00000
   4.00000  12.50000  -2.50000   0.00000   0.00000   0.00000   0.00000
   8.00000  12.50000  -2.50000   0.00000   0.00000   0.00000   0.00000
  12.00000  12.50000  -2.50000   0.00000   0.00000   0.00000   0.00000
  16.00000  12.50000  -2.50000   0.00000   0.00000   0.00000   0.00000
  20.00000  12.50000  -2.50000   0.00000   0.00000   0.00000   0.00000
  24.00000  12.50000  -2.50000   0.00000   0.00000   0.00000   0.00000
  28.00000  12.50000  -2.50000   0.00000   0.00000   0.00000   0.00001
  32.00000  12.50000  -2.50000   0.00000   0.00000   0.00001   0.00002
  36.00000  12.50000  -2.50000   0.00000   0.00000   0.00001   0.00003
  40.00000  12.50000  -2.50000   0.00000   0.00000   0.00002   0.00005
  44.00000  12.50000  -2.50000   0.00000   0.00000   0.00002   0.00007
  48.00000  12.50000  -2.50000   0.00000   0.00000   0.00003   0.00010
  52.00000  12.50000  -2.50000   0.00000   0.00000   0.00004   0.00013
  56.00000  12.50000  -2.50000   0.00000   0.00000   0.00004   0.00016
  60.00000  12.50000  -2.50000   0.00000   0.00000   0.00005   0.00019
  64.00000  12.50000  -2.50000   0.00000   0.00000   0.00005   0.00021
  68.00000  12.50000  -2.50000   0.00000   0.00000   0.00005   0.00022
  72.00000  12.50000  -2.50000   0.00000   0.00000   0.00005   0.00022
  76.00000  12.50000  -2.50000   0.00000   0.00000   0.00004   0.00021
  80.00000  12.50000  -2.50000   0.00000   0.00000   0.00004   0.00019
  84.00000  12.50000  -2.50000   0.00000   0.00000   0.00003   0.00016
  88.00000  12.50000  -2.50000   0.00000   0.00000   0.00002   0.00013
  92.00000  12.50000  -2.50000   0.00000   0.00000   0.00002   0.00010
  96.00000  12.50000  -2.50000   0.00000   0.00000   0.00001   0.00007
 100.00000  12.50000  -2.50000   0.00000   0.00000   0.00001   0.00005
 104.00000  12.50000  -2.50000   0.00000   0.00000   0.00001   0.00003
 108.00000  12.50000  -2.50000   0.00000   0.00000   0.00000   0.00002
 112.00000  12.50000  -2.50000   0.00000   0.00000   0.00000   0.00001
 116.00000  12.50000  -2.50000   0.00000   0.00000   0.00000   0.00001
 120.00000  12.50000  -2.50000   0.00000   0.00000   0.00000   0.00000
 124.00000  12.50000  -2.50000   0.00000   0.00000   0.00000   0.00000
 128.00000  12.50000  -2.50000   0.00000   0.00000   0.00000   0.00000
 132.00000  12.50000  -2.50000   0.00000   0.00000   0.00000   0.00000
 136.00000  12.50000  -2.50000   0.00000   0.00000   0.00000   0.00000
 140.00000  12.50000  -2.50000   0.00000   0.00000   0.00000   0.00000
 144.00000  12.50000  -2.50000   0.00000   0.00000   0.00000   0.00000
 148.00000  12.50000  -2.50000   0.00000   0.00000   0.00000   0.00000
 150.00000  12.50000  -2.50000   0.00000   0.00000   0.00000   0.00000
   0.00000  12.50000  -1.50000   0.00000   0.00000   0.00000   0.00000
   4.00000  12.50000  -1.50000   0.00000   0.00000   0.00000   0.00000
   8.00000  12.50000  -1.50000   0.00000   0.00000   0.00000   0.00000
  12.00000  12.50000  -1.50000   0.00000   0.00000   0.00000   0.00000
  16.00000  12.50000  -1.50000   0.00000   0.00000   0.00000   0.00000
  20.00000  12.50000  -1.50000   0.00000   0.00000   0.00000   0.00001
  24.00000  12.50000  -1.50000   0.00000   0.00000   0.00001   0.00001
  28.00000  12.50000  -1.50000   0.00000   0.00000   0.00001   0.00003
  32.00000  12.50000  -1.50000   0.00000   0.00000   0.00002   0.00005
  36.00000  12.50000  -1.50000   0.00000   0.00000   0.00003   0.00008
  40.00000  12.50000  -1.50000   0.00000   0.00000   0.00005   0.00011
  44.00000  12.50000  -1.50000   0.00000   0.00000   0.00006   0.00016
  48.00000  12.50000  -1.50000   0.00000   0.00000   0.00007   0.00022
  52.00000  12.50000  -1.50000   0.00000   0.00000   0.00008   0.00028
  56.00000  12.50000  -1.50000   0.00000   0.00000   0.00009   0.00033
  60.00000  12.50000  -1.50000   0.00000   0.00000   0.00010   0.00038
  64.00000  12.50000  -1.50000   0.00000   0.00000   0.00010   0.00042
  68.00000  12.50000  -1.50000   0.00000   0.00000   0.00010   0.00044
  72.00000  12.50000  -1.50000   0.00000   0.00000   0.00009   0.00043
  76.00000  12.50000  -1.50000   0.00000   0.00000   0.00008   0.00041
  80.00000  12.50000  -1.50000   0.00000   0.00000   0.00007   0.00036
  84.00000  12.50000  -1.50000   0.00000   0.00000   0.00006   0.00031
  88.00000  12.50000  -1.50000   0.00000   0.00000   0.00005   0.00025
  92.00000  12.50000  -1.50000   0.00000   0.00000   0.00003   0.00019
  96.00000  12.50000  -1.50000   0.00000   0.00000   0.00002   0.00013
 100.00000  12.50000  -1.50000   0.00000   0.00000   0.00002   0.00009
 104.00000  12.50000  -1.50000   0.00000   0.00000   0.00001   0.00006
 108.00000  12.50000  -1.50000   0.00000   0.00000   0.00001   0.00003
 112.00000  12.50000  -1.50000   0.00000   0.00000   0.00000   0.00002
 116.00000  12.50000  -1.50000   0.00000   0.00000   0.00000   0.00001
 120.00000  12.50000  -1.50000   0.00000   0.00000   0.00000   0.00001
 124.00000  12.50000  -1.50000   0.00000   0.00000   0.00000   0.00000
 128.00000  12.50000  -1.50000   0.00000   0.00000   0.00000   0.00000
 132.00000  12.50000  -1.50000   0.00000   0.00000   0.00000   0.00000
 136.00000  12.50000  -1.50000   0.00000   0.00000   0.00000   0.00000
 140.00000  12.50000  -1.50000   0.00000   0.00000   0.00000   0.00000
 144.00000  12.50000  -1.50000   0.00000   0.00000   0.00000   0.00000
 148.00000  12.50000  -1.50000   0.00000   0.00000   0.00000   0.00000
 150.00000  12.50000  -1.50000   0.00000   0.00000   0.00000   0.00000
   0.00000  12.50000  -0.50000   0.00000   0.00000   0.00000   0.00000
   4.00000  12.50000  -0.50000   0.00000   0.00000   0.00000   0.00000
   8.00000  12.50000  -0.50000   0.00000   0.00000   0.00000   0.00000
  12.00000  12.50000  -0.50000   0.00000   0.00000   0.00000   0.00000
  16.00000  12.50000  -0.50000   0.00000   0.00000   0.00000   0.00001
  20.00000  12.50000  -0.50000   0.00000   0.00000   0.00001   0.00002
  24.00000  12.50000  -0.50000   0.00000   0.00000   0.00002   0.00003
  28.00000  12.50000  -0.50000   0.00000   0.00000   0.00004   0.00006
  32.00000  12.50000  -0.50000   0.00000   0.00001   0.00006   0.00011
  36.00000  12.50000  -0.50000   0.00000   0.00001   0.00008   0.00017
  40.00000  12.50000  -0.50000   0.00000   0.00001   0.00011   0.00026
  44.00000  12.50000  -0.50000   0.00000   0.00001   0.00014   0.00035
  48.00000  12.50000  -0.50000   0.00000   0.00001   0.00016   0.00046
  52.00000  12.50000  -0.50000   0.00000   0.00001   0.00018   0.00056
  56.00000  12.50000  -0.50000   0.00000   0.00001   0.00019   0.00066
  60.00000  12.50000  -0.50000   0.00000   0.00001   0.00020   0.00074
  64.00000  12.50000  -0.50000   0.00000   0.00001   0.00020   0.00080
  68.00000  12.50000  -0.50000   0.00000   0.00001   0.00019   0.00082
  72.00000  12.50000  -0.50000   0.00000   0.00001   0.00018   0.00080
  76.00000  12.50000  -0.50000   0.00000   0.00000   0.00016   0.00074
  80.00000  12.50000  -0.50000   0.00000   0.00000   0.00013   0.00065
  84.00000  12.50000  -0.50000   0.00000   0.00000   0.00011   0.00055
  88.00000  12.50000  -0.50000   0.00000   0.00000   0.00008   0.00044
  92.00000  12.50000  -0.50000   0.00000   0.00000   0.00006   0.00033
