         X         Y         Z         A         B         C         D
  90.80750   1.72888   0.00000   0.00000   0.00013   0.00540   0.02724
  92.83620   1.76151   0.00000   0.00000   0.00010   0.00440   0.02268
  94.92780   1.81088   0.00000   0.00000   0.00008   0.00352   0.01851
   8.11890   3.38569   0.00000   0.18010   0.37297   0.18453   0.03919
  10.12060   3.47461   0.00000   0.11437   0.33141   0.20905   0.05319
  12.18300   3.53314   0.00000   0.07186   0.28424   0.22419   0.06766
  14.25980   3.54973   0.00000   0.04543   0.23989   0.23203   0.08201
  16.32270   3.54089   0.00000   0.02902   0.20077   0.23394   0.09563
  18.36480   3.52734   0.00000   0.01870   0.16689   0.23083   0.10792
  20.39370   3.53390   0.00000   0.01206   0.13747   0.22315   0.11828
  22.42840   3.55814   0.00000   0.00776   0.11231   0.21222   0.12670
  24.47720   3.57355   0.00000   0.00500   0.09151   0.20000   0.13378
  26.53040   3.56844   0.00000   0.00324   0.07468   0.18760   0.13984
  28.57780   3.55384   0.00000   0.00211   0.06101   0.17508   0.14471
  30.61830   3.54191   0.00000   0.00138   0.04981   0.16244   0.14818
  32.65630   3.53616   0.00000   0.00090   0.04061   0.14985   0.15029
  34.69510   3.53491   0.00000   0.00059   0.03308   0.13758   0.15121
  36.73540   3.53526   0.00000   0.00038   0.02693   0.12586   0.15112
  38.77650   3.53566   0.00000   0.00025   0.02193   0.11481   0.15017
  40.81770   3.53606   0.00000   0.00016   0.01786   0.10448   0.14848
  42.85890   3.53666   0.00000   0.00011   0.01456   0.09487   0.14613
  44.90020   3.53698   0.00000   0.00007   0.01187   0.08600   0.14322
  46.94090   3.53659   0.00000   0.00005   0.00968   0.07783   0.13985
  48.98110   3.53590   0.00000   0.00003   0.00790   0.07034   0.13605
  51.02120   3.53551   0.00000   0.00002   0.00645   0.06348   0.13187
  53.06170   3.53564   0.00000   0.00001   0.00527   0.05721   0.12736
  55.10280   3.53626   0.00000   0.00001   0.00430   0.05148   0.12255
  57.14440   3.53722   0.00000   0.00001   0.00352   0.04625   0.11747
  59.18600   3.53816   0.00000   0.00000   0.00287   0.04149   0.11216
  61.22750   3.53866   0.00000   0.00000   0.00235   0.03715   0.10664
  63.26860   3.53836   0.00000   0.00000   0.00192   0.03321   0.10093
  65.30930   3.53703   0.00000   0.00000   0.00157   0.02961   0.09505
  67.34920   3.53504   0.00000   0.00000   0.00129   0.02633   0.08903
  69.38800   3.53386   0.00000   0.00000   0.00105   0.02334   0.08289
