ID	x	y	z		H*	O*	Charge	Ap	Bp	Cp	Dp	Nodal distribution 1	sim	state	soln	dist_x	time	step	pH	pe	mass_H2O	charge(eq)	k_R_1	dk_R_1	k_R_2	dk_R_2	k_R_3	dk_R_3	k_R_4	dk_R_4
61467	61.2245	0	1.98175e-014	0.319624	-0.415828	-0.207914	-2.12264e-018	3.14492e-006	0.00291091	0.0460891	0.133128	-99999	1	1e+030	61467	-99	864000	1	7.00041	12.2446	0.0997043	-2.1402e-019	10	-1.2371e-007	0.999144	-5.27248e-005	0.994005	-0.000438892	0.992344	-0.000651763
61468	63.2653	0	1.98175e-014	0.305065	-0.415828	-0.207914	-2.16806e-018	2.06977e-006	0.0023613	0.0409663	0.125526	-99999	1	1e+030	61468	-99	864000	1	7.00036	12.233	0.0997043	-2.18895e-019	10	-8.13803e-008	0.999339	-4.27475e-005	0.994981	-0.000389197	0.993242	-0.000611832
61469	65.3061	0	1.98175e-014	0.289938	-0.415828	-0.207914	-2.21523e-018	1.37573e-006	0.00191536	0.0363322	0.117783	-99999	1	1e+030	61469	-99	864000	1	7.00031	12.2247	0.0997043	-2.23974e-019	10	-5.40482e-008	0.99949	-3.46504e-005	0.995815	-0.000344221	0.994074	-0.000571241
61470	67.3469	0	1.98175e-014	0.274204	-0.415828	-0.207914	-2.26428e-018	9.25794e-007	0.00155329	0.0321393	0.109932	-99999	1	1e+030	61470	-99	864000	1	7.00027	12.2204	0.0997043	-2.29237e-019	10	-3.63225e-008	0.999608	-2.80743e-005	0.996527	-0.000303508	0.994838	-0.000530188
61471	69.3878	0	1.98175e-014	0.257859	-0.415829	-0.207914	-2.31519e-018	6.32115e-007	0.00125911	0.028345	0.10201	-99999	1	1e+030	61471	-99	864000	1	7.00022	12.2199	0.0997043	-2.34704e-019	10	-2.47609e-008	0.999699	-2.27295e-005	0.997133	-0.000266655	0.995535	-0.000488908
61472	71.4286	0	1.98175e-014	0.240948	-0.415829	-0.207914	-2.36786e-018	4.35095e-007	0.00101991	0.0249114	0.0940618	-99999	1	1e+030	61472	-99	864000	1	7.00018	12.2224	0.0997043	-2.40293e-019	10	-1.7066e-008	0.99977	-1.83825e-005	0.997645	-0.000233311	0.996167	-0.000447674
61473	73.4694	0	1.98175e-014	0.223553	-0.415829	-0.207914	-2.42202e-018	2.89881e-007	0.000825288	0.0218056	0.0861368	-99999	1	1e+030	61473	-99	864000	1	7.00014	12.2264	0.0997043	-2.46025e-019	10	-1.15158e-008	0.999825	-1.48446e-005	0.998076	-0.000203168	0.996734	-0.000406793
61474	75.5102	0	1.98175e-014	0.205799	-0.415829	-0.207914	-2.4773e-018	1.66736e-007	0.000666846	0.0189985	0.0782912	-99999	1	1e+030	61474	-99	864000	1	7.0001	12.231	0.0997043	-2.51759e-019	10	-6.93402e-009	0.999867	-1.19642e-005	0.998438	-0.000175965	0.99724	-0.0003666
61475	77.551	0	1.98175e-014	0.187848	-0.415829	-0.207914	-2.53323e-018	5.25478e-008	0.000537816	0.0164657	0.070587	-99999	1	1e+030	61475	-99	864000	1	7.00006	12.2354	0.0997043	-2.57572e-019	10	-2.78758e-009	0.999899	-9.61868e-006	0.99874	-0.000151479	0.997688	-0.000327454
61476	79.5918	0	1.98175e-014	0.169899	-0.415829	-0.207914	-2.5892e-018	-5.58973e-008	0.000432734	0.0141864	0.063092	-99999	1	1e+030	61476	-99	864000	1	7.00002	12.239	0.0997043	-2.63328e-019	10	-0	0.999924	-7.70961e-006	0.998991	-0.00012952	0.99808	-0.000289729
61477	81.6327	0	1.98175e-014	0.152171	-0.415829	-0.207914	-2.64447e-018	-1.58733e-007	0.000347182	0.0121428	0.0558756	-99999	1	1e+030	61477	-99	864000	1	6.99999	12.2415	0.0997043	-2.68913e-019	10	-0	0.999943	-6.15715e-006	0.999197	-0.000109924	0.99842	-0.000253792
61478	83.6735	0	1.98175e-014	0.134892	-0.415829	-0.207914	-2.69832e-018	-2.54159e-007	0.000277576	0.0103189	0.0490043	-99999	1	1e+030	61478	-99	864000	1	6.99996	12.2429	0.0997043	-2.74278e-019	10	-0	0.999958	-4.89616e-006	0.999367	-9.25397e-005	0.998712	-0.000219975
61479	85.7143	0	1.98175e-014	0.118282	-0.415829	-0.207914	-2.75005e-018	-3.38733e-007	0.000221013	0.00870034	0.0425387	-99999	1	1e+030	61479	-99	864000	1	6.99993	12.2431	0.0997043	-2.79294e-019	10	-0	0.999969	-3.87397e-006	0.999504	-7.72243e-005	0.998961	-0.000188562
61480	87.7551	0	1.98175e-014	0.102547	-0.415829	-0.207914	-2.79907e-018	-4.07641e-007	0.000175139	0.00727379	0.0365313	-99999	1	1e+030	61480	-99	864000	1	6.9999	12.2423	0.0997043	-2.84046e-019	10	-0	0.999977	-3.04775e-006	0.999615	-6.38418e-005	0.99917	-0.000159779
61481	89.7959	0	1.98175e-014	0.0878674	-0.415829	-0.207914	-2.84486e-018	-4.56204e-007	0.000138034	0.00602638	0.0310238	-99999	1	1e+030	61481	-99	864000	1	6.99988	12.2405	0.0997043	-2.88365e-019	10	-0	0.999983	-2.3824e-006	0.999704	-5.22555e-005	0.999345	-0.000133779
61482	91.8367	0	1.98175e-014	0.0743823	-0.415829	-0.207914	-2.88697e-018	-4.82478e-007	0.000108124	0.00494521	0.0260439	-99999	1	1e+030	61482	-99	864000	1	6.99986	12.2379	0.0997043	-2.92317e-019	10	-0	0.999988	-1.84903e-006	0.999775	-4.23248e-005	0.999488	-0.000110635
61483	93.8776	0	1.98175e-014	0.0621956	-0.415829	-0.207914	-2.92505e-018	-4.91195e-007	8.41291e-005	0.00401767	0.021607	-99999	1	1e+030	61483	-99	864000	1	6.99984	12.2347	0.0997043	-2.9582e-019	10	-0	0.999991	-1.42398e-006	0.99983	-3.39092e-005	0.999604	-9.03501e-005
61484	95.9184	0	1.98175e-014	0.051451	-0.415829	-0.207914	-2.95862e-018	-4.94767e-007	6.51149e-005	0.00323651	0.0177441	-99999	1	1e+030	61484	-99	864000	1	6.99983	12.2312	0.0997043	-2.98809e-019	10	-0	0.999994	-1.08975e-006	0.999873	-2.69142e-005	0.999697	-7.29828e-005
61485	97.9592	0	1.98175e-014	0.0428325	-0.415829	-0.207914	-2.98556e-018	-4.60414e-007	5.10912e-005	0.00263167	0.0146755	-99999	1	1e+030	61485	-99	864000	1	6.99982	12.2277	0.0997043	-3.01205e-019	10	-0	0.999995	-8.45054e-007	0.999904	-2.15608e-005	0.999766	-5.93821e-005
61486	100	0	1.98175e-014	0.0389684	-0.415829	-0.207914	-2.99763e-018	-3.41269e-007	4.49941e-005	0.00236371	0.0133039	-99999	1	1e+030	61486	-99	864000	1	6.99981	12.2256	0.0997043	-3.0227e-019	10	-0	0.999996	-7.38897e-007	0.999917	-1.91959e-005	0.999796	-5.33225e-005
61487	100	2.08333	1.98175e-014	0.0360219	-0.415829	-0.207914	-3.00682e-018	-1.2415e-006	4.13312e-005	0.00217995	0.0122904	-99999	1	1e+030	61487	-99	864000	1	6.99981	12.2293	0.0997043	-3.03046e-019	10	-0	0.999996	-6.77879e-007	0.999924	-1.76768e-005	0.999813	-4.91806e-005
61488	100	4.16667	1.98175e-014	0.0290978	-0.415829	-0.207914	-3.02853e-018	-4.70958e-006	3.28028e-005	0.00174966	0.00991161	-99999	1	1e+030	61488	-99	864000	1	6.9998	12.2376	0.0997043	-3.04808e-019	10	-0	0.999997	-5.36083e-007	0.99994	-1.41291e-005	0.999852	-3.94883e-005
61489	100	6.25	1.98175e-014	0.020579	-0.415829	-0.207914	-3.05529e-018	-1.10102e-005	2.2584e-005	0.00122562	0.00699361	-99999	1	1e+030	61489	-99	864000	1	6.99979	12.2466	0.0997043	-3.06919e-019	10	-0	0.999998	-3.67034e-007	0.999959	-9.83535e-006	0.999898	-2.76795e-005
61490	100	8.33333	1.98175e-014	0.0123333	-0.415829	-0.207914	-3.0812e-018	-1.85742e-005	1.28955e-005	0.000722509	0.00417603	-99999	1	1e+030	61490	-99	864000	1	6.99978	12.2532	0.0997043	-3.09025e-019	10	-0	0.999999	-2.07418e-007	0.999977	-5.73399e-006	0.999942	-1.63393e-005
61491	100	10.4167	1.98175e-014	0.00626081	-0.415829	-0.207914	-3.10031e-018	-2.35317e-005	5.89915e-006	0.000357829	0.00211048	-99999	1	1e+030	61491	-99	864000	1	6.99977	12.2562	0.0997043	-3.10481e-019	10	-0	1	-9.28749e-008	0.99999	-2.79276e-006	0.999972	-8.12028e-006
61492	100	12.5	1.98175e-014	0.00263563	-0.415829	-0.207914	-3.11181e-018	-2.30236e-005	1.22045e-006	0.000145058	0.000884677	-99999	1	1e+030	61492	-99	864000	1	6.99977	12.2576	0.0997043	-3.11422e-019	10	-0	1	-1.6698e-008	0.999996	-1.10375e-006	0.999989	-3.3237e-006
61493	100	14.5833	1.98175e-014	0.00085489	-0.415829	-0.207914	-3.11759e-018	-1.77606e-005	-2.04116e-006	4.40418e-005	0.000286445	-99999	1	1e+030	61493	-99	864000	1	6.99977	12.2613	0.0997043	-3.11854e-019	10	-0	1	-0	0.999999	-3.20604e-007	0.999997	-1.03452e-006
61494	100	16.6667	1.98175e-014	0.000182581	-0.415829	-0.207914	-3.11983e-018	-1.0842e-005	-3.47539e-006	8.04338e-006	6.21537e-005	-99999	1	1e+030	61494	-99	864000	1	6.99977	12.2715	0.0997043	-3.12014e-019	10	-0	1	-0	1	-5.45006e-008	1	-2.09884e-007
61495	100	18.75	1.98175e-014	9.923e-006	-0.415829	-0.207914	-3.1204e-018	-5.14463e-006	-2.95101e-006	-2.82968e-007	4.70127e-006	-99999	1	1e+030	61495	-99	864000	1	6.99977	12.2934	0.0997043	-3.12036e-019	10	-0	1	-0	1	-0	1	-8.78185e-009
61496	100	20.8333	1.98175e-014	-7.7311e-006	-0.415829	-0.207914	-3.12047e-018	-1.7304e-006	-1.55529e-006	-7.49867e-007	-1.66042e-006	-99999	1	1e+030	61496	-99	864000	1	6.99977	12.2886	0.0997043	-3.12057e-019	10	-0	1	-0	1	-0	1	-0
61497	100	22.9167	1.98175e-014	-1.11134e-006	-0.415829	-0.207914	-3.12045e-018	-3.68566e-007	-4.45753e-007	-1.89888e-007	-4.8027e-008	-99999	1	1e+030	61497	-99	864000	1	6.99977	12.28	0.0997043	-3.12077e-019	10	-0	1	-0	1	-0	1	-2.22232e-010
61498	100	25	1.98175e-014	2.98689e-007	-0.415829	-0.207914	-3.12043e-018	-1.65716e-007	-1.16116e-007	-2.60942e-008	1.93255e-007	-99999	1	1e+030	61498	-99	864000	1	6.99977	12.2778	0.0997043	-3.12016e-019	10	-0	1	-0	1	-0	1	-6.8791e-010
61499	97.9592	25	1.98175e-014	-1.43998e-007	-0.415829	-0.207914	-3.12045e-018	-2.09527e-007	-1.81928e-007	-6.4063e-008	9.09414e-008	-99999	1	1e+030	61499	-99	864000	1	6.99977	12.2779	0.0997043	-3.12077e-019	10	-0	1	-0	1	-0	1	-3.73026e-010
61500	95.9184	25	1.98175e-014	-3.50722e-007	-0.415829	-0.207914	-3.1205e-018	-2.54832e-007	-2.33601e-007	-9.33621e-008	6.02697e-008	-99999	1	1e+030	61500	-99	864000	1	6.99977	12.2776	0.0997043	-3.12037e-019	10	-0	1	-0	1	-0	1	-2.72506e-010
61501	93.8776	25	1.98175e-014	-5.42143e-007	-0.415829	-0.207914	-3.12056e-018	-2.98002e-007	-2.8433e-007	-1.25425e-007	3.52844e-008	-99999	1	1e+030	61501	-99	864000	1	6.99977	12.2773	0.0997043	-3.12057e-019	10	-0	1	-0	1	-0	1	-1.9381e-010
