         X         Y         Z         A         B         C         D
  46.93880   0.00000  14.60000   0.00000   0.00001   0.00010   0.00030
  48.97960   0.00000  14.60000   0.00000   0.00001   0.00011   0.00034
  51.02040   0.00000  14.60000   0.00000   0.00001   0.00012   0.00039
  53.06120   0.00000  14.60000   0.00000   0.00001   0.00013   0.00043
  55.10200   0.00000  14.60000   0.00000   0.00001   0.00014   0.00047
  57.14290   0.00000  14.60000   0.00000   0.00001   0.00014   0.00052
  59.18370   0.00000  14.60000   0.00000   0.00001   0.00015   0.00055
  61.22450   0.00000  14.60000   0.00000   0.00001   0.00015   0.00059
  63.26530   0.00000  14.60000   0.00000   0.00001   0.00015   0.00061
  65.30610   0.00000  14.60000   0.00000   0.00001   0.00015   0.00063
  67.34690   0.00000  14.60000   0.00000   0.00000   0.00015   0.00065
  69.38780   0.00000  14.60000   0.00000   0.00000   0.00015   0.00065
  71.42860   0.00000  14.60000   0.00000   0.00000   0.00014   0.00065
  73.46940   0.00000  14.60000   0.00000   0.00000   0.00014   0.00063
  75.51020   0.00000  14.60000   0.00000   0.00000   0.00013   0.00061
  77.55100   0.00000  14.60000   0.00000   0.00000   0.00012   0.00059
  79.59180   0.00000  14.60000   0.00000   0.00000   0.00011   0.00055
  81.63270   0.00000  14.60000   0.00000   0.00000   0.00010   0.00051
  83.67350   0.00000  14.60000   0.00000   0.00000   0.00009   0.00047
  85.71430   0.00000  14.60000   0.00000   0.00000   0.00008   0.00042
  87.75510   0.00000  14.60000   0.00000   0.00000   0.00007   0.00038
  89.79590   0.00000  14.60000   0.00000   0.00000   0.00006   0.00033
  91.83670   0.00000  14.60000   0.00000   0.00000   0.00005   0.00028
  93.87760   0.00000  14.60000   0.00000   0.00000   0.00004   0.00024
  95.91840   0.00000  14.60000   0.00000   0.00000   0.00004   0.00020
  97.95920   0.00000  14.60000   0.00000   0.00000   0.00003   0.00017
 100.00000   0.00000  14.60000   0.00000   0.00000   0.00002   0.00014
   1.02041   0.00000  14.60000   0.00000   0.00000   0.00000   0.00000
   3.06122   0.00000  14.60000   0.00000   0.00000   0.00000   0.00000
   5.10204   0.00000  14.60000   0.00000   0.00000   0.00000   0.00000
   7.14286   0.00000  14.60000   0.00000   0.00000   0.00000   0.00000
   0.00000   0.00000  14.40000   0.00000   0.00000   0.00000   0.00000
   2.04082   0.00000  14.40000   0.00000   0.00000   0.00000   0.00000
   4.08163   0.00000  14.40000   0.00000   0.00000   0.00000   0.00000
