              x	              y	              z	           time	in	                 pH	                 Ca	                 Mg	                 Na	                 Cl	               C(4)	                SO4	                 As	
          42000	          12000	            100	         100000	 1	   8.4079145262e+00	   2.6774125257e+00	   1.1549823553e+00	   1.9579706029e+02	   5.2613177495e+00	   4.9932735604e+02	   2.2567915647e+01	   4.0189441536e+01	
          48000	          12000	            100	         100000	 1	   8.3762463796e+00	   2.8646529774e+00	   1.2387357096e+00	   1.9426520186e+02	   4.8347141825e+00	   4.9815883208e+02	   2.2567132636e+01	   3.5089317614e+01	
          54000	          12000	            100	         100000	 1	   8.3424151208e+00	   3.0804996383e+00	   1.3352705579e+00	   1.9305427612e+02	   4.7479922545e+00	   4.9719849520e+02	   2.2566971586e+01	   3.0357120036e+01	
          60000	          12000	            100	         100000	 1	   8.3409992179e+00	   3.0899297860e+00	   1.3394883233e+00	   1.9299756072e+02	   4.7411755109e+00	   4.9715409596e+02	   2.2566959007e+01	   3.0169478380e+01	
          66000	          12000	            100	         100000	 1	   8.3348077207e+00	   3.1314597634e+00	   1.3580614796e+00	   1.9279364242e+02	   4.7405179672e+00	   4.9699405262e+02	   2.2566957367e+01	   2.9381378611e+01	
          72000	          12000	            100	         100000	 1	   8.3260602589e+00	   3.1911841307e+00	   1.3847715903e+00	   1.9250531991e+02	   4.7402887638e+00	   4.9676981775e+02	   2.2566956321e+01	   2.8303612734e+01	
          78000	          12000	            100	         100000	 1	   8.3163274498e+00	   3.2591124060e+00	   1.4151507306e+00	   1.9218298762e+02	   4.7402070580e+00	   4.9652204664e+02	   2.2566955461e+01	   2.7150692050e+01	
          84000	          12000	            100	         100000	 1	   8.3045100960e+00	   3.3437354552e+00	   1.4529962838e+00	   1.9178843740e+02	   4.7401763334e+00	   4.9622260484e+02	   2.2566954522e+01	   2.5814489601e+01	
          90000	          12000	            100	         100000	 1	   8.3013553795e+00	   3.3667304617e+00	   1.4632802359e+00	   1.9168278453e+02	   4.7401589829e+00	   4.9614331278e+02	   2.2566954251e+01	   2.5465966109e+01	
              0	          18000	            100	         100000	 1	   5.8214258592e+00	   2.4561601474e+03	   8.8803119380e+02	   2.6025690617e+04	   4.4745384349e+04	   2.1422081244e+03	   1.0447059158e+02	   5.0827261617e-01	
           6000	          18000	            100	         100000	 1	   6.2769016734e+00	   5.5023248086e+02	   2.2303866962e+02	   8.9949295805e+03	   1.3619698422e+04	   1.8211916409e+03	   4.7488454325e+01	   1.7469039419e-01	
          12000	          18000	            100	         100000	 1	   6.8391150184e+00	   1.0456766736e+02	   4.4721514496e+01	   3.0651282911e+03	   3.8823686132e+03	   1.2263467208e+03	   2.9664618745e+01	   2.3110895448e-01	
