              x	              y	              z	           time	in	          pH	          Ca	          Mg	          Na	          Cl	        C(4)	         SO4	          As	
          72000	          12000	            200	         100000	 1	     8.29049	  3.4711e+00	  1.5069e+00	  1.9003e+02	  4.7403e+00	  4.9217e+02	  2.2567e+01	  1.2756e+01	
          78000	          12000	            200	         100000	 1	     8.28058	  3.5469e+00	  1.5407e+00	  1.8969e+02	  4.7402e+00	  4.9192e+02	  2.2567e+01	  1.2226e+01	
          84000	          12000	            200	         100000	 1	     8.26913	  3.6369e+00	  1.5809e+00	  1.8929e+02	  4.7402e+00	  4.9163e+02	  2.2567e+01	  1.1642e+01	
          90000	          12000	            200	         100000	 1	     8.26447	  3.6742e+00	  1.5975e+00	  1.8913e+02	  4.7402e+00	  4.9151e+02	  2.2567e+01	  1.1411e+01	
              0	          18000	            200	         100000	 1	     5.75431	  2.8758e+03	  1.0064e+03	  2.8522e+04	  4.9552e+04	  2.2437e+03	  1.1327e+02	  3.8155e-01	
           6000	          18000	            200	         100000	 1	      6.2076	  6.7319e+02	  2.6879e+02	  9.9675e+03	  1.5350e+04	  1.9191e+03	  5.0656e+01	  1.0775e-01	
          12000	          18000	            200	         100000	 1	     6.75104	  1.3210e+02	  5.6125e+01	  3.3989e+03	  4.3993e+03	  1.2918e+03	  3.0610e+01	  1.0893e-01	
          18000	          18000	            200	         100000	 1	     7.40308	  2.4843e+01	  1.0826e+01	  1.2223e+03	  1.2304e+03	  8.6037e+02	  2.4810e+01	  5.1327e-01	
          24000	          18000	            200	         100000	 1	      8.0517	  5.7052e+00	  2.4872e+00	  4.8316e+02	  3.1441e+02	  6.1980e+02	  2.3134e+01	  5.2724e+00	
          30000	          18000	            200	         100000	 1	     8.46697	  2.3729e+00	  1.0162e+00	  2.1783e+02	  2.5321e+01	  5.0839e+02	  2.2604e+01	  2.7420e+01	
          36000	          18000	            200	         100000	 1	     8.37683	  2.8782e+00	  1.2421e+00	  1.9656e+02	  7.9720e+00	  4.9648e+02	  2.2573e+01	  1.8510e+01	
          42000	          18000	            200	         100000	 1	     8.37986	  2.8616e+00	  1.2349e+00	  1.9325e+02	  4.9379e+00	  4.9467e+02	  2.2567e+01	  1.8710e+01	
          48000	          18000	            200	         100000	 1	      8.3545	  3.0217e+00	  1.3063e+00	  1.9222e+02	  4.7692e+00	  4.9386e+02	  2.2567e+01	  1.6781e+01	
          54000	          18000	            200	         100000	 1	     8.32422	  3.2258e+00	  1.3974e+00	  1.9117e+02	  4.7422e+00	  4.9304e+02	  2.2567e+01	  1.4738e+01	
          60000	          18000	            200	         100000	 1	     8.31575	  3.2856e+00	  1.4241e+00	  1.9089e+02	  4.7408e+00	  4.9282e+02	  2.2567e+01	  1.4213e+01	
          66000	          18000	            200	         100000	 1	     8.30129	  3.3904e+00	  1.4709e+00	  1.9040e+02	  4.7405e+00	  4.9245e+02	  2.2567e+01	  1.3360e+01	
          72000	          18000	            200	         100000	 1	     8.29012	  3.4738e+00	  1.5081e+00	  1.9002e+02	  4.7403e+00	  4.9217e+02	  2.2567e+01	  1.2737e+01	
          78000	          18000	            200	         100000	 1	     8.27597	  3.5829e+00	  1.5568e+00	  1.8953e+02	  4.7402e+00	  4.9181e+02	  2.2567e+01	  1.1988e+01	
          84000	          18000	            200	         100000	 1	     8.26995	  3.6304e+00	  1.5780e+00	  1.8932e+02	  4.7402e+00	  4.9165e+02	  2.2567e+01	  1.1682e+01	
          90000	          18000	            200	         100000	 1	     8.27031	  3.6275e+00	  1.5767e+00	  1.8933e+02	  4.7402e+00	  4.9166e+02	  2.2567e+01	  1.1700e+01	
              0	          24000	            200	         100000	 1	     5.80819	  2.5799e+03	  9.1734e+02	  2.5975e+04	  4.5012e+04	  2.1053e+03	  1.0496e+02	  3.2287e-01	
           6000	          24000	            200	         100000	 1	     6.33472	  4.8346e+02	  1.9665e+02	  7.7477e+03	  1.1704e+04	  1.6494e+03	  4.3981e+01	  9.6407e-02	
          12000	          24000	            200	         100000	 1	     7.03762	  6.6223e+01	  2.8562e+01	  2.0977e+03	  2.5553e+03	  9.8655e+02	  2.7235e+01	  1.8611e-01	
          18000	          24000	            200	         100000	 1	      7.9023	  8.2596e+00	  3.6116e+00	  5.9115e+02	  4.7238e+02	  6.3353e+02	  2.3423e+01	  2.9684e+00	
          24000	          24000	            200	         100000	 1	     8.38983	  2.7939e+00	  1.2026e+00	  2.6730e+02	  8.0282e+01	  5.2772e+02	  2.2705e+01	  2.0139e+01	
          30000	          24000	            200	         100000	 1	     8.34681	  3.0688e+00	  1.3270e+00	  2.0294e+02	  1.5321e+01	  4.9911e+02	  2.2586e+01	  1.6343e+01	
          36000	          24000	            200	         100000	 1	      8.3798	  2.8611e+00	  1.2346e+00	  1.9481e+02	  6.3518e+00	  4.9552e+02	  2.2570e+01	  1.8726e+01	
          42000	          24000	            200	         100000	 1	     8.39103	  2.7942e+00	  1.2048e+00	  1.9356e+02	  4.8933e+00	  4.9493e+02	  2.2567e+01	  1.9625e+01	
          48000	          24000	            200	         100000	 1	      8.3674	  2.9392e+00	  1.2695e+00	  1.9262e+02	  4.7536e+00	  4.9419e+02	  2.2567e+01	  1.7734e+01	
