              x	              y	              z	           time	in	          pH	          Ca	          Mg	          Na	          Cl	        C(4)	         SO4	          As	
          66000	              0            100	          10000	 1	     7.28919	  3.8374e+01	  1.7087e+01	  8.9273e+01	  4.7401e+00	  4.5078e+02	  2.2567e+01	  2.0782e-01	
          72000	              0            100	          10000	 1	     7.27767	  3.9581e+01	  1.7626e+01	  8.6272e+01	  4.7401e+00	  4.4998e+02	  2.2567e+01	  1.9911e-01	
          78000	              0            100	          10000	 1	      7.2671	  4.0726e+01	  1.8137e+01	  8.3437e+01	  4.7401e+00	  4.4925e+02	  2.2567e+01	  1.9146e-01	
          84000	              0            100	          10000	 1	     7.25671	  4.1887e+01	  1.8655e+01	  8.0579e+01	  4.7401e+00	  4.4853e+02	  2.2567e+01	  1.8427e-01	
          90000	              0            100	          10000	 1	     7.24647	  4.3068e+01	  1.9182e+01	  7.7685e+01	  4.7401e+00	  4.4781e+02	  2.2567e+01	  1.7746e-01	
              0           6000	            100	          10000	 1	     7.05557	  4.3865e+01	  1.8942e+01	  2.0094e+03	  1.8700e+03	  1.4020e+03	  2.5981e+01	  1.8632e-01	
           6000	           6000	            100	          10000	 1	     8.09865	  4.5165e+00	  1.9571e+00	  5.5746e+02	  2.8920e+02	  7.3692e+02	  2.3088e+01	  6.5124e+00	
          12000	           6000	            100	          10000	 1	     8.62876	  1.6356e+00	  6.8638e-01	  2.8378e+02	  5.8036e+01	  5.6570e+02	  2.2664e+01	  5.5340e+01	
          18000	           6000	            100	          10000	 1	      8.6823	  1.5219e+00	  6.3676e-01	  2.2108e+02	  1.5354e+01	  5.1905e+02	  2.2586e+01	  6.8278e+01	
          24000	           6000	            100	          10000	 1	     8.35263	  3.0292e+00	  1.3096e+00	  1.9495e+02	  6.6716e+00	  4.9587e+02	  2.2570e+01	  1.6680e+01	
          30000	           6000	            100	          10000	 1	     7.46157	  2.4424e+01	  1.0860e+01	  1.2605e+02	  4.9906e+00	  4.6248e+02	  2.2567e+01	  4.0355e-01	
          36000	           6000	            100	          10000	 1	     7.41645	  2.7439e+01	  1.2206e+01	  1.1758e+02	  4.7859e+00	  4.5939e+02	  2.2567e+01	  3.3795e-01	
          42000	           6000	            100	          10000	 1	     7.40293	  2.8421e+01	  1.2645e+01	  1.1490e+02	  4.7598e+00	  4.5844e+02	  2.2567e+01	  3.2053e-01	
          48000	           6000	            100	          10000	 1	     7.31683	  3.5632e+01	  1.5863e+01	  9.6300e+01	  4.7429e+00	  4.5285e+02	  2.2567e+01	  2.3068e-01	
          54000	           6000	            100	          10000	 1	     7.24021	  4.3798e+01	  1.9508e+01	  7.6004e+01	  4.7403e+00	  4.4751e+02	  2.2566e+01	  1.7356e-01	
          60000	           6000	            100	          10000	 1	     7.23249	  4.4731e+01	  1.9925e+01	  7.3717e+01	  4.7401e+00	  4.4694e+02	  2.2566e+01	  1.6873e-01	
          66000	           6000	            100	          10000	 1	     7.22444	  4.5728e+01	  2.0369e+01	  7.1298e+01	  4.7401e+00	  4.4637e+02	  2.2566e+01	  1.6385e-01	
          72000	           6000	            100	          10000	 1	     7.21505	  4.6922e+01	  2.0902e+01	  6.8415e+01	  4.7401e+00	  4.4570e+02	  2.2566e+01	  1.5837e-01	
          78000	           6000	            100	          10000	 1	     7.20537	  4.8190e+01	  2.1468e+01	  6.5369e+01	  4.7401e+00	  4.4501e+02	  2.2566e+01	  1.5294e-01	
          84000	           6000	            100	          10000	 1	      7.1968	  4.9345e+01	  2.1983e+01	  6.2606e+01	  4.7401e+00	  4.4439e+02	  2.2566e+01	  1.4830e-01	
          90000	           6000	            100	          10000	 1	     7.19091	  5.0157e+01	  2.2345e+01	  6.0666e+01	  4.7401e+00	  4.4396e+02	  2.2566e+01	  1.4520e-01	
              0          12000	            100	          10000	 1	     7.12762	  3.7186e+01	  1.6092e+01	  1.8116e+03	  1.6395e+03	  1.3212e+03	  2.5559e+01	  2.2431e-01	
           6000	          12000	            100	          10000	 1	     8.13293	  4.2456e+00	  1.8383e+00	  5.2877e+02	  2.6855e+02	  7.1597e+02	  2.3050e+01	  7.4438e+00	
          12000	          12000	            100	          10000	 1	     8.60608	  1.7147e+00	  7.2161e-01	  2.8236e+02	  5.9134e+01	  5.6308e+02	  2.2666e+01	  5.0301e+01	
          18000	          12000	            100	          10000	 1	     8.63822	  1.6597e+00	  6.9821e-01	  2.2028e+02	  1.6277e+01	  5.1755e+02	  2.2588e+01	  5.6682e+01	
