              x	              y	              z	           time	in	        Cl(mol/kgw)	
              1	              1	              2	             10	 1	   9.9203809274e-01	
              2	              1	              2	             10	 1	   9.7865011170e-01	
              3	              1	              2	             10	 1	   9.5828862659e-01	
              4	              1	              2	             10	 1	   9.2922734099e-01	
              5	              1	              2	             10	 1	   8.8941504528e-01	
              6	              1	              2	             10	 1	   8.6241831882e-01	
              7	              1	              2	             10	 1	   8.3630996917e-01	
              8	              1	              2	             10	 1	   8.1336758623e-01	
              9	              1	              2	             10	 1	   7.9666230474e-01	
             10	              1	              2	             10	 1	   7.9030900969e-01	
              0	              2	              2	             10	 1	   1.0000000000e+00	
              1	              2	              2	             10	 1	   9.9190095554e-01	
              2	              2	              2	             10	 1	   9.7838386189e-01	
              3	              2	              2	             10	 1	   9.5803050153e-01	
              4	              2	              2	             10	 1	   9.2926377348e-01	
              5	              2	              2	             10	 1	   8.9015383222e-01	
              6	              2	              2	             10	 1	   8.6374042118e-01	
              7	              2	              2	             10	 1	   8.3826257649e-01	
              8	              2	              2	             10	 1	   8.1591957030e-01	
              9	              2	              2	             10	 1	   7.9967629305e-01	
             10	              2	              2	             10	 1	   7.9350404020e-01	
              0	              3	              2	             10	 1	   1.0000000000e+00	
              1	              3	              2	             10	 1	   9.9152005398e-01	
              2	              3	              2	             10	 1	   9.7764616289e-01	
              3	              3	              2	             10	 1	   9.5724753403e-01	
              4	              3	              2	             10	 1	   9.2905100059e-01	
              5	              3	              2	             10	 1	   8.9135752491e-01	
              6	              3	              2	             10	 1	   8.6603199226e-01	
              7	              3	              2	             10	 1	   8.4168310270e-01	
              8	              3	              2	             10	 1	   8.2040951306e-01	
              9	              3	              2	             10	 1	   8.0499806197e-01	
             10	              3	              2	             10	 1	   7.9915437622e-01	
              0	              4	              2	             10	 1	   1.0000000000e+00	
              1	              4	              2	             10	 1	   9.9052841921e-01	
              2	              4	              2	             10	 1	   9.7581979071e-01	
              3	              4	              2	             10	 1	   9.5527294727e-01	
              4	              4	              2	             10	 1	   9.2814138607e-01	
              5	              4	              2	             10	 1	   8.9317214392e-01	
              6	              4	              2	             10	 1	   8.6952927697e-01	
              7	              4	              2	             10	 1	   8.4687353603e-01	
              8	              4	              2	             10	 1	   8.2723998611e-01	
              9	              4	              2	             10	 1	   8.1314340911e-01	
             10	              4	              2	             10	 1	   8.0783011544e-01	
              0	              5	              2	             10	 1	   1.0000000000e+00	
              1	              5	              2	             10	 1	   9.8792714906e-01	
              2	              5	              2	             10	 1	   9.7161533933e-01	
              3	              5	              2	             10	 1	   9.5090961110e-01	
              4	              5	              2	             10	 1	   9.2582092496e-01	
              5	              5	              2	             10	 1	   8.9657134392e-01	
              6	              5	              2	             10	 1	   8.7468758285e-01	
              7	              5	              2	             10	 1	   8.5427868025e-01	
              8	              5	              2	             10	 1	   8.3702787689e-01	
              9	              5	              2	             10	 1	   8.2497078458e-01	
             10	              5	              2	             10	 1	   8.2051802589e-01	
              0	              6	              2	             10	 1	   1.0000000000e+00	
              1	              6	              2	             10	 1	   9.8695183645e-01	
              2	              6	              2	             10	 1	   9.7017049485e-01	
              3	              6	              2	             10	 1	   9.4955554582e-01	
              4	              6	              2	             10	 1	   9.2535353739e-01	
              5	              6	              2	             10	 1	   8.9832692591e-01	
              6	              6	              2	             10	 1	   8.7732247795e-01	
              7	              6	              2	             10	 1	   8.5802032379e-01	
              8	              6	              2	             10	 1	   8.4192811011e-01	
              9	              6	              2	             10	 1	   8.3084794156e-01	
             10	              6	              2	             10	 1	   8.2680285995e-01	
              0	              7	              2	             10	 1	   1.0000000000e+00	
              1	              7	              2	             10	 1	   9.8653813214e-01	
              2	              7	              2	             10	 1	   9.6952805266e-01	
              3	              7	              2	             10	 1	   9.4902269203e-01	
              4	              7	              2	             10	 1	   9.2539489566e-01	
              5	              7	              2	             10	 1	   8.9944977301e-01	
              6	              7	              2	             10	 1	   8.7921948718e-01	
              7	              7	              2	             10	 1	   8.6070487449e-01	
              8	              7	              2	             10	 1	   8.4536793637e-01	
              9	              7	              2	             10	 1	   8.3487846113e-01	
             10	              7	              2	             10	 1	   8.3106653974e-01	
              0	              8	              2	             10	 1	   1.0000000000e+00	
              1	              8	              2	             10	 1	   9.8637001519e-01	
              2	              8	              2	             10	 1	   9.6927353600e-01	
              3	              8	              2	             10	 1	   9.4886409823e-01	
              4	              8	              2	             10	 1	   9.2558074545e-01	
              5	              8	              2	             10	 1	   9.0022317937e-01	
              6	              8	              2	             10	 1	   8.8050195525e-01	
              7	              8	              2	             10	 1	   8.6250263053e-01	
              8	              8	              2	             10	 1	   8.4764088533e-01	
              9	              8	              2	             10	 1	   8.3750778815e-01	
             10	              8	              2	             10	 1	   8.3383250634e-01	
              0	              9	              2	             10	 1	   1.0000000000e+00	
              1	              9	              2	             10	 1	   9.8630859626e-01	
              2	              9	              2	             10	 1	   9.6918830402e-01	
              3	              9	              2	             10	 1	   9.4884326045e-01	
              4	              9	              2	             10	 1	   9.2574485390e-01	
              5	              9	              2	             10	 1	   9.0068966896e-01	
              6	              9	              2	             10	 1	   8.8124822762e-01	
              7	              9	              2	             10	 1	   8.6353634672e-01	
              8	              9	              2	             10	 1	   8.4893635152e-01	
              9	              9	              2	             10	 1	   8.3899579426e-01	
             10	              9	              2	             10	 1	   8.3539332790e-01	
              0	             10	              2	             10	 1	   1.0000000000e+00	
              1	             10	              2	             10	 1	   9.8629377443e-01	
              2	             10	              2	             10	 1	   9.6916983637e-01	
              3	             10	              2	             10	 1	   9.4884739535e-01	
              4	             10	              2	             10	 1	   9.2580756732e-01	
              5	             10	              2	             10	 1	   9.0084639068e-01	
              6	             10	              2	             10	 1	   8.8149372160e-01	
              7	             10	              2	             10	 1	   8.6387384217e-01	
              8	             10	              2	             10	 1	   8.4935736851e-01	
              9	             10	              2	             10	 1	   8.3947781573e-01	
             10	             10	              2	             10	 1	   8.3589829939e-01	
              0	              0	              3	             10	 1	   1.0000000000e+00	
              1	              0	              3	             10	 1	   9.9159250625e-01	
              2	              0	              3	             10	 1	   9.7786480181e-01	
              3	              0	              3	             10	 1	   9.5767722909e-01	
              4	              0	              3	             10	 1	   9.2970900701e-01	
              5	              0	              3	             10	 1	   8.9220924093e-01	
              6	              0	              3	             10	 1	   8.6693997705e-01	
              7	              0	              3	             10	 1	   8.4260626780e-01	
              8	              0	              3	             10	 1	   8.2133070795e-01	
              9	              0	              3	             10	 1	   8.0591182530e-01	
             10	              0	              3	             10	 1	   8.0006423190e-01	
              0	              1	              3	             10	 1	   1.0000000000e+00	
              1	              1	              3	             10	 1	   9.9156556042e-01	
              2	              1	              3	             10	 1	   9.7781464369e-01	
              3	              1	              3	             10	 1	   9.5763824430e-01	
              4	              1	              3	             10	 1	   9.2975199943e-01	
              5	              1	              3	             10	 1	   8.9243613910e-01	
              6	              1	              3	             10	 1	   8.6732201503e-01	
              7	              1	              3	             10	 1	   8.4315846836e-01	
              8	              1	              3	             10	 1	   8.2204493284e-01	
              9	              1	              3	             10	 1	   8.0675044508e-01	
             10	              1	              3	             10	 1	   8.0095142495e-01	
              0	              2	              3	             10	 1	   1.0000000000e+00	
              1	              2	              3	             10	 1	   9.9145199421e-01	
              2	              2	              3	             10	 1	   9.7759829055e-01	
              3	              2	              3	             10	 1	   9.5743927884e-01	
              4	              2	              3	             10	 1	   9.2981372570e-01	
              5	              2	              3	             10	 1	   8.9310138923e-01	
              6	              2	              3	             10	 1	   8.6848341941e-01	
              7	              2	              3	             10	 1	   8.4485256575e-01	
              8	              2	              3	             10	 1	   8.2424360603e-01	
              9	              2	              3	             10	 1	   8.0933724365e-01	
             10	              2	              3	             10	 1	   8.0369016519e-01	
              0	              3	              3	             10	 1	   1.0000000000e+00	
              1	              3	              3	             10	 1	   9.9112506784e-01	
              2	              3	              3	             10	 1	   9.7697528329e-01	
              3	              3	              3	             10	 1	   9.5679660701e-01	
              4	              3	              3	             10	 1	   9.2967886927e-01	
              5	              3	              3	             10	 1	   8.9419040700e-01	
              6	              3	              3	             10	 1	   8.7049846906e-01	
              7	              3	              3	             10	 1	   8.4782165746e-01	
              8	              3	              3	             10	 1	   8.2811431619e-01	
              9	              3	              3	             10	 1	   8.1390871101e-01	
             10	              3	              3	             10	 1	   8.0853836486e-01	
              0	              4	              3	             10	 1	   1.0000000000e+00	
              1	              4	              3	             10	 1	   9.9023774593e-01	
              2	              4	              3	             10	 1	   9.7537105132e-01	
              3	              4	              3	             10	 1	   9.5509959367e-01	
              4	              4	              3	             10	 1	   9.2894640138e-01	
              5	              4	              3	             10	 1	   8.9584966787e-01	
              6	              4	              3	             10	 1	   8.7359147741e-01	
              7	              4	              3	             10	 1	   8.5234955776e-01	
              8	              4	              3	             10	 1	   8.3403418117e-01	
              9	              4	              3	             10	 1	   8.2094674000e-01	
             10	              4	              3	             10	 1	   8.1602802439e-01	
              0	              5	              3	             10	 1	   1.0000000000e+00	
              1	              5	              3	             10	 1	   9.8779453682e-01	
              2	              5	              3	             10	 1	   9.7151570857e-01	
              3	              5	              3	             10	 1	   9.5118981017e-01	
              4	              5	              3	             10	 1	   9.2694725131e-01	
              5	              5	              3	             10	 1	   8.9902732341e-01	
              6	              5	              3	             10	 1	   8.7823002749e-01	
              7	              5	              3	             10	 1	   8.5891226047e-01	
              8	              5	              3	             10	 1	   8.4265823818e-01	
              9	              5	              3	             10	 1	   8.3134509131e-01	
             10	              5	              3	             10	 1	   8.2717754779e-01	
              0	              6	              3	             10	 1	   1.0000000000e+00	
              1	              6	              3	             10	 1	   9.8687862029e-01	
              2	              6	              3	             10	 1	   9.7019050610e-01	
              3	              6	              3	             10	 1	   9.4997804209e-01	
              4	              6	              3	             10	 1	   9.2656083845e-01	
              5	              6	              3	             10	 1	   9.0066609903e-01	
              6	              6	              3	             10	 1	   8.8061264029e-01	
              7	              6	              3	             10	 1	   8.6225353139e-01	
              8	              6	              3	             10	 1	   8.4701100904e-01	
              9	              6	              3	             10	 1	   8.3655475832e-01	
