              x	              y	              z	           time	in	          Cl	
              5	              9	              3	             10	 1	  9.0746e-01	
              6	              9	              3	             10	 1	  8.8955e-01	
              7	              9	              3	             10	 1	  8.7325e-01	
              8	              9	              3	             10	 1	  8.5983e-01	
              9	              9	              3	             10	 1	  8.5072e-01	
             10	              9	              3	             10	 1	  8.4742e-01	
              0	             10	              3	             10	 1	  1.0000e+00	
              1	             10	              3	             10	 1	  9.8701e-01	
              2	             10	              3	             10	 1	  9.7089e-01	
              3	             10	              3	             10	 1	  9.5193e-01	
              4	             10	              3	             10	 1	  9.3060e-01	
              5	             10	              3	             10	 1	  9.0760e-01	
              6	             10	              3	             10	 1	  8.8976e-01	
              7	             10	              3	             10	 1	  8.7354e-01	
              8	             10	              3	             10	 1	  8.6019e-01	
              9	             10	              3	             10	 1	  8.5113e-01	
             10	             10	              3	             10	 1	  8.4785e-01	
              0	              0	              4	             10	 1	  1.0000e+00	
              1	              0	              4	             10	 1	  9.9077e-01	
              2	              0	              4	             10	 1	  9.7684e-01	
              3	              0	              4	             10	 1	  9.5782e-01	
              4	              0	              4	             10	 1	  9.3310e-01	
              5	              0	              4	             10	 1	  9.0149e-01	
              6	              0	              4	             10	 1	  8.7996e-01	
              7	              0	              4	             10	 1	  8.5933e-01	
              8	              0	              4	             10	 1	  8.4148e-01	
              9	              0	              4	             10	 1	  8.2870e-01	
             10	              0	              4	             10	 1	  8.2390e-01	
              0	              1	              4	             10	 1	  1.0000e+00	
              1	              1	              4	             10	 1	  9.9076e-01	
              2	              1	              4	             10	 1	  9.7681e-01	
              3	              1	              4	             10	 1	  9.5781e-01	
              4	              1	              4	             10	 1	  9.3315e-01	
              5	              1	              4	             10	 1	  9.0168e-01	
              6	              1	              4	             10	 1	  8.8026e-01	
              7	              1	              4	             10	 1	  8.5975e-01	
              8	              1	              4	             10	 1	  8.4202e-01	
              9	              1	              4	             10	 1	  8.2933e-01	
             10	              1	              4	             10	 1	  8.2456e-01	
              0	              2	              4	             10	 1	  1.0000e+00	
              1	              2	              4	             10	 1	  9.9069e-01	
              2	              2	              4	             10	 1	  9.7669e-01	
              3	              2	              4	             10	 1	  9.5772e-01	
              4	              2	              4	             10	 1	  9.3327e-01	
              5	              2	              4	             10	 1	  9.0223e-01	
              6	              2	              4	             10	 1	  8.8117e-01	
              7	              2	              4	             10	 1	  8.6104e-01	
              8	              2	              4	             10	 1	  8.4368e-01	
              9	              2	              4	             10	 1	  8.3126e-01	
             10	              2	              4	             10	 1	  8.2660e-01	
              0	              3	              4	             10	 1	  1.0000e+00	
              1	              3	              4	             10	 1	  9.9048e-01	
              2	              3	              4	             10	 1	  9.7630e-01	
              3	              3	              4	             10	 1	  9.5736e-01	
              4	              3	              4	             10	 1	  9.3330e-01	
              5	              3	              4	             10	 1	  9.0313e-01	
              6	              3	              4	             10	 1	  8.8273e-01	
              7	              3	              4	             10	 1	  8.6328e-01	
              8	              3	              4	             10	 1	  8.4656e-01	
              9	              3	              4	             10	 1	  8.3464e-01	
             10	              3	              4	             10	 1	  8.3018e-01	
              0	              4	              4	             10	 1	  1.0000e+00	
              1	              4	              4	             10	 1	  9.8986e-01	
              2	              4	              4	             10	 1	  9.7523e-01	
              3	              4	              4	             10	 1	  9.5630e-01	
              4	              4	              4	             10	 1	  9.3296e-01	
              5	              4	              4	             10	 1	  9.0449e-01	
              6	              4	              4	             10	 1	  8.8510e-01	
              7	              4	              4	             10	 1	  8.6666e-01	
              8	              4	              4	             10	 1	  8.5092e-01	
              9	              4	              4	             10	 1	  8.3980e-01	
             10	              4	              4	             10	 1	  8.3565e-01	
              0	              5	              4	             10	 1	  1.0000e+00	
              1	              5	              4	             10	 1	  9.8797e-01	
              2	              5	              4	             10	 1	  9.7241e-01	
              3	              5	              4	             10	 1	  9.5358e-01	
              4	              5	              4	             10	 1	  9.3174e-01	
              5	              5	              4	             10	 1	  9.0712e-01	
              6	              5	              4	             10	 1	  8.8865e-01	
              7	              5	              4	             10	 1	  8.7157e-01	
              8	              5	              4	             10	 1	  8.5732e-01	
              9	              5	              4	             10	 1	  8.4749e-01	
             10	              5	              4	             10	 1	  8.4389e-01	
              0	              6	              4	             10	 1	  1.0000e+00	
              1	              6	              4	             10	 1	  9.8725e-01	
              2	              6	              4	             10	 1	  9.7142e-01	
              3	              6	              4	             10	 1	  9.5272e-01	
              4	              6	              4	             10	 1	  9.3154e-01	
              5	              6	              4	             10	 1	  9.0848e-01	
              6	              6	              4	             10	 1	  8.9052e-01	
