              x	              y	              z	           time	in	                  A	                  B	                  C	                  D	
             84	           -4.5	             -5	            400	 1	   1.3860091934e-13	   7.7079042916e-09	   4.3856113241e-07	   2.5369458430e-06	
             88	           -4.5	             -5	            400	 1	   9.4590144997e-14	   6.1753390416e-09	   3.6232243254e-07	   2.1263872255e-06	
             92	           -4.5	             -5	            400	 1	   6.4900532089e-14	   4.7392355042e-09	   2.8570026903e-07	   1.6981742579e-06	
             96	           -4.5	             -5	            400	 1	   0.0000000000e+00	   3.4892846188e-09	   2.1545858430e-07	   1.2951873115e-06	
            100	           -4.5	             -5	            400	 1	   0.0000000000e+00	   2.4681718122e-09	   1.5569415783e-07	   9.4537608176e-07	
            104	           -4.5	             -5	            400	 1	   0.0000000000e+00	   1.6796520679e-09	   1.0799206703e-07	   6.6165426678e-07	
            108	           -4.5	             -5	            400	 1	   0.0000000000e+00	   1.1011136616e-09	   7.2014908572e-08	   4.4481144588e-07	
            112	           -4.5	             -5	            400	 1	   0.0000000000e+00	   6.9622327140e-10	   4.6239557014e-08	   2.8770137879e-07	
            116	           -4.5	             -5	            400	 1	   0.0000000000e+00	   4.2508435108e-10	   2.8626589519e-08	   1.7929888006e-07	
            120	           -4.5	             -5	            400	 1	   0.0000000000e+00	   2.5089486138e-10	   1.7110108981e-08	   1.0781590046e-07	
            124	           -4.5	             -5	            400	 1	   0.0000000000e+00	   1.4330221824e-10	   9.8852577638e-09	   6.2634579422e-08	
            128	           -4.5	             -5	            400	 1	   0.0000000000e+00	   7.9284593823e-11	   5.5266994666e-09	   3.5195663351e-08	
            132	           -4.5	             -5	            400	 1	   0.0000000000e+00	   4.2531084643e-11	   2.9932687536e-09	   1.9150948366e-08	
            136	           -4.5	             -5	            400	 1	   0.0000000000e+00	   2.2140511068e-11	   1.5720149417e-09	   1.0101054692e-08	
            140	           -4.5	             -5	            400	 1	   0.0000000000e+00	   1.1195218190e-11	   8.0139846685e-10	   5.1699558621e-09	
            144	           -4.5	             -5	            400	 1	   0.0000000000e+00	   5.4849080415e-12	   3.9565738599e-10	   2.5619061019e-09	
            148	           -4.5	             -5	            400	 1	   0.0000000000e+00	   2.8555505911e-12	   2.0739032056e-10	   1.3470077806e-09	
            150	           -4.5	             -5	            400	 1	   0.0000000000e+00	   2.3662905027e-12	   1.7227970827e-10	   1.1201756873e-09	
              0	           -3.5	             -5	            400	 1	   0.0000000000e+00	   0.0000000000e+00	   0.0000000000e+00	   0.0000000000e+00	
              4	           -3.5	             -5	            400	 1	   0.0000000000e+00	   0.0000000000e+00	   0.0000000000e+00	   0.0000000000e+00	
              8	           -3.5	             -5	            400	 1	   0.0000000000e+00	   0.0000000000e+00	   0.0000000000e+00	   5.8797731740e-14	
             12	           -3.5	             -5	            400	 1	   0.0000000000e+00	   3.6648497765e-13	   7.5019209076e-15	   0.0000000000e+00	
             16	           -3.5	             -5	            400	 1	   0.0000000000e+00	   1.0160308218e-11	   4.6852142636e-11	   1.5747047989e-11	
             20	           -3.5	             -5	            400	 1	   9.9899294285e-14	   5.6737550335e-11	   4.7599772723e-10	   6.4686653002e-10	
             24	           -3.5	             -5	            400	 1	   2.3817611639e-13	   1.9389454294e-10	   2.2284494548e-09	   4.3402585206e-09	
             28	           -3.5	             -5	            400	 1	   4.2207712539e-13	   5.0138675114e-10	   7.2721043490e-09	   1.7676348447e-08	
             32	           -3.5	             -5	            400	 1	   6.3162499462e-13	   1.0718239753e-09	   1.8879686493e-08	   5.4094007250e-08	
             36	           -3.5	             -5	            400	 1	   8.3348951559e-13	   1.9864733984e-09	   4.1481514016e-08	   1.3541074657e-07	
             40	           -3.5	             -5	            400	 1	   9.9396726655e-13	   3.2859707122e-09	   7.9838094189e-08	   2.8981951290e-07	
             44	           -3.5	             -5	            400	 1	   1.0894224095e-12	   4.9445349118e-09	   1.3751044012e-07	   5.4479339501e-07	
             48	           -3.5	             -5	            400	 1	   1.1112664132e-12	   6.8565849673e-09	   2.1499815613e-07	   9.1578622509e-07	
             52	           -3.5	             -5	            400	 1	   1.0652627012e-12	   8.8425030251e-09	   3.0827088282e-07	   1.3946776906e-06	
             56	           -3.5	             -5	            400	 1	   9.6707427812e-13	   1.0675475770e-08	   4.0847812106e-07	   1.9435432158e-06	
             60	           -3.5	             -5	            400	 1	   8.3660531436e-13	   1.2124611454e-08	   5.0325621152e-07	   2.4980214242e-06	
             64	           -3.5	             -5	            400	 1	   6.9313407554e-13	   1.3003203648e-08	   5.7939241172e-07	   2.9806001192e-06	
             68	           -3.5	             -5	            400	 1	   5.5221505443e-13	   1.3208140122e-08	   6.2599323180e-07	   3.3196175794e-06	
             72	           -3.5	             -5	            400	 1	   4.2442548383e-13	   1.2738864794e-08	   6.3706706311e-07	   3.4671701002e-06	
             76	           -3.5	             -5	            400	 1	   3.1550632159e-13	   1.1691220899e-08	   6.1268295354e-07	   3.4097307385e-06	
             80	           -3.5	             -5	            400	 1	   2.2729470987e-13	   1.0229885076e-08	   5.5845332096e-07	   3.1685527652e-06	
             84	           -3.5	             -5	            400	 1	   1.5892632694e-13	   8.5493639915e-09	   4.8370419456e-07	   2.7909961829e-06	
             88	           -3.5	             -5	            400	 1	   1.0789916364e-13	   6.8354425796e-09	   3.9907331970e-07	   2.3368506650e-06	
             92	           -3.5	             -5	            400	 1	   7.3198860246e-14	   5.2365531291e-09	   3.1430792996e-07	   1.8645350494e-06	
             96	           -3.5	             -5	            400	 1	   0.0000000000e+00	   3.8495366631e-09	   2.3678899529e-07	   1.4209198634e-06	
            100	           -3.5	             -5	            400	 1	   0.0000000000e+00	   2.7193681716e-09	   1.7095346247e-07	   1.0364092190e-06	
            104	           -3.5	             -5	            400	 1	   0.0000000000e+00	   1.8484379400e-09	   1.1848171198e-07	   7.2490632751e-07	
            108	           -3.5	             -5	            400	 1	   0.0000000000e+00	   1.2105192287e-09	   7.8954084226e-08	   4.8705729476e-07	
