 x	y	z_datum	Time	Well_no	H         	O         	As        	C         	Ca        	Cl        	Mg        	Na        	S         	Charge    	pH	Alkalinity	
   1.2000000e+04	  3.6000000e+04	  1.1000000e+02	  8.2000000e+03	  1	  4.1531126e-03	  3.1059070e-02	  1.1267042e-08	  4.5070327e-03	  4.2987486e-01	  6.2240666e+00	  1.5447741e-01	  5.0688469e+00	  4.4427335e-03	  4.1335083e-04	  5.6828505e+00	  4.1860572e-03	
   2.4000000e+04	  3.6000000e+04	  1.1000000e+02	  8.2000000e+03	  2	  3.7602741e-03	  3.0661349e-02	  1.0000000e-08	  3.9600208e-03	  4.6539075e-01	  6.6415920e+00	  1.6100927e-01	  5.4020000e+00	  4.7250000e-03	 -4.3535469e-11	  5.7131113e+00	  3.7580569e-03	
   1.2000000e+04	  3.6000000e+04	  1.1000000e+02	  9.0000000e+03	  1	  4.2803046e-03	  3.1244272e-02	  1.1503284e-08	  4.6454594e-03	  4.2365154e-01	  6.1469266e+00	  1.5322425e-01	  5.0067857e+00	  4.3905833e-03	  5.4506733e-04	  5.6646340e+00	  4.2845082e-03	
   2.4000000e+04	  3.6000000e+04	  1.1000000e+02	  9.0000000e+03	  2	  3.7602741e-03	  3.0661349e-02	  1.0000000e-08	  3.9600208e-03	  4.6539075e-01	  6.6415920e+00	  1.6100927e-01	  5.4020000e+00	  4.7250000e-03	 -4.3535469e-11	  5.7131113e+00	  3.7580569e-03	
   1.2000000e+04	  3.6000000e+04	  1.1000000e+02	  1.0000000e+04	  1	  4.4057872e-03	  3.1412970e-02	  1.1781377e-08	  4.7903191e-03	  4.1630471e-01	  6.0574475e+00	  1.5179035e-01	  4.9349827e+00	  4.3300914e-03	  6.7380095e-04	  5.6579893e+00	  4.3913408e-03	
   2.4000000e+04	  3.6000000e+04	  1.1000000e+02	  1.0000000e+04	  2	  3.7602741e-03	  3.0661349e-02	  1.0000000e-08	  3.9600208e-03	  4.6539075e-01	  6.6415920e+00	  1.6100927e-01	  5.4020000e+00	  4.7250000e-03	 -4.3535469e-11	  5.7131113e+00	  3.7580569e-03	
   1.2000000e+04	  3.6000000e+04	  1.1000000e+02	  1.1000000e+04	  1	  4.5177978e-03	  3.1563612e-02	  1.2034498e-08	  4.9190786e-03	  4.0980356e-01	  5.9779229e+00	  1.5052870e-01	  4.8710856e+00	  4.2763291e-03	  7.8736921e-04	  5.6560362e+00	  4.4871626e-03	
   2.4000000e+04	  3.6000000e+04	  1.1000000e+02	  1.1000000e+04	  2	  3.7602741e-03	  3.0661349e-02	  1.0000000e-08	  3.9600208e-03	  4.6539075e-01	  6.6415920e+00	  1.6100927e-01	  5.4020000e+00	  4.7250000e-03	 -4.3535469e-11	  5.7131113e+00	  3.7580569e-03	
   1.2000000e+04	  3.6000000e+04	  1.1000000e+02	  1.2000000e+04	  1	  4.6202190e-03	  3.1703199e-02	  1.2249361e-08	  5.0321111e-03	  4.0436581e-01	  5.9102853e+00	  1.4947014e-01	  4.8165343e+00	  4.2306029e-03	  8.8930906e-04	  5.6545294e+00	  4.5703529e-03	
   2.4000000e+04	  3.6000000e+04	  1.1000000e+02	  1.2000000e+04	  2	  3.7602741e-03	  3.0661349e-02	  1.0000000e-08	  3.9600208e-03	  4.6539075e-01	  6.6415920e+00	  1.6100927e-01	  5.4020000e+00	  4.7250000e-03	 -4.3535469e-11	  5.7131113e+00	  3.7580569e-03	
   1.2000000e+04	  3.6000000e+04	  1.1000000e+02	  1.4000000e+04	  1	  4.7668693e-03	  3.1883869e-02	  1.2475680e-08	  5.1738865e-03	  3.9794026e-01	  5.8254033e+00	  1.4821484e-01	  4.7471314e+00	  4.1732187e-03	  1.0239111e-03	  5.6480797e+00	  4.6679289e-03	
   2.4000000e+04	  3.6000000e+04	  1.1000000e+02	  1.4000000e+04	  2	  6.0331865e-03	  2.1661184e-02	  0.0000000e+00	  7.1191704e-03	  1.8845206e-03	  1.3371123e-04	  1.3845769e-03	  1.2267464e-04	  2.3506632e-04	  2.1165358e-15	  7.0468777e+00	  6.0570259e-03	
   1.2000000e+04	  3.6000000e+04	  1.1000000e+02	  1.5000000e+04	  1	  4.8156169e-03	  3.1957382e-02	  1.2606224e-08	  5.2273924e-03	  3.9559450e-01	  5.7952898e+00	  1.4780365e-01	  4.7225799e+00	  4.1528606e-03	  1.0688035e-03	  5.6524811e+00	  4.7118233e-03	
   2.4000000e+04	  3.6000000e+04	  1.1000000e+02	  1.5000000e+04	  2	  6.0331865e-03	  2.1661184e-02	  0.0000000e+00	  7.1191704e-03	  1.8845206e-03	  1.3371123e-04	  1.3845769e-03	  1.2267464e-04	  2.3506632e-04	  2.1165358e-15	  7.0468777e+00	  6.0570259e-03	
