x	y	p4f	X1	X2	X3	X4	X5	C1	C2	C3	C4	C5	C6	C7	S	CS1	CS2	TOT_{X1}	TOT_{X2}	TOT_{X3}	TOT_{X4}	TOT_{X5}	TOT_S	CC	X5_{DEC}	CP1	CP2	totmolS	solnVol	cellNo	p4f	H*	O*	Charge	[X1]	[X3]	[X4]	
1.43	0.3	-99999	0.295172	0.000716693	0.196697	2.23864e-023	0	1.38706e-009	0.00014139	3.11433e-020	0	0.00458897	0.0281944	7.05176e-025	0.999927	7.32675e-005	6.04391e-015	0.295172	0.301378	0.295262	0.00458897	0	1	0	0	0	0	0.25	0.25	26	1.08711	-0.0934946	-0.207913	-0.567253	0.294688	0.294707	0.00546577	
1.77246	0.3	-99999	0.291998	0.000725882	0.187493	3.78213e-023	0	1.3695e-009	0.000136501	5.19499e-020	0	0.00706573	0.0277362	1.81778e-024	0.999928	7.25597e-005	9.82819e-015	0.291998	0.306705	0.292108	0.00706573	0	1	0	0	0	0	0.25	0.25	27	1.23197	-0.0744759	-0.207913	-0.540031	0.290799	0.290845	0.00884899	
0.643247	0.3375	-99999	0.115281	0.430756	6.29275e-012	0.0439222	0	2.30779e-012	2.71868e-012	0.101664	1.54411e-015	0.038471	5.67897e-006	0.000159409	0.909608	4.6295e-007	0.0451956	0.115281	0.346173	0.115431	0.229571	0	1	0	0	0	0	0.25	0.25	28	1	0.864513	-0.207913	0.745862	0.1071	0.107238	0.212764	
1.1	0.1	1	0.299113	0.0918781	1.52018e-010	0.00390102	0	1.08197e-011	1.40085e-011	0.0423331	1.26268e-014	0.0997039	1.5604e-008	0.293533	2.70164	3.22332e-007	3.64918	0.299113	-12.8474	0.299112	4.38218	0	10	0.275948	0	0	0	3.75	0.375	29	1.00013	0.584948	-0.207912	-0.598226	0.299113	0.299112	0.701665	
0.130053	0.35	-99999	2.47527e-007	0.232847	1.20265e-013	0.158355	0	4.2693e-012	2.80864e-014	0.678068	1.61979e-014	8.26671e-008	8.44424e-014	0.284242	0.463733	7.12467e-010	0.268133	2.47527e-007	-3.52356	2.48714e-007	1.67304	0	1	0.647964	0	0	0	0.25	0.25	30	1	2.50043	-0.207912	1.49556	2.02584e-007	2.02953e-007	1.42069	
1.0625	0.9	1	0.281837	0.000765112	0.166633	3.35424e-023	0	1.29928e-009	0.000127871	4.37102e-020	0	0.00542976	0.0329584	9.38395e-025	9.99924	0.000755175	7.44306e-013	0.281837	0.354462	0.282681	0.00542976	0	10	0	0	0	0	3.75	0.375	31	0.999048	-0.028966	-0.207911	-0.457272	0.278977	0.279074	0.00690963	
1.15083	0.931206	-99999	0.111158	0.210412	1.43591e-011	0.0625939	0	4.72451e-012	3.03028e-012	0.296603	1.79124e-013	0.0370849	5.21819e-008	0.0998837	0.56841	7.69387e-008	0.215795	0.111158	-1.3843	0.111255	0.811844	0	1	0.0416974	0	0	0	0.25	0.25	32	1.65355	1.25473	-0.207923	0.740411	0.107879	0.107982	0.606221	
1.1	0.775	1	0.290523	0.000732587	0.185998	2.70787e-023	0	1.35697e-009	0.000136664	3.68538e-020	0	0.00512379	0.0296857	8.65726e-025	9.99926	0.000739942	6.84517e-013	0.290523	0.320442	0.291303	0.00512379	0	10	0	0	0	0	3.92857	0.392857	33	1.01371	-0.0699081	-0.207913	-0.527225	0.28897	0.289017	0.00609459	
1.09219	0.942092	-99999	0.1463	0.195526	2.03669e-011	0.0387208	0	5.08422e-012	3.99406e-012	0.197449	8.06596e-014	0.0488132	7.14903e-008	0.0687472	0.613012	9.44387e-008	0.193494	0.1463	-0.937129	0.14644	0.615971	0	1	0.000596845	0	0	0	0.25	0.25	34	1.51555	0.94327	-0.207924	0.502526	0.141863	0.142009	0.430568	
1.08438	0.9	1	0.2777	0.00078064	0.153656	7.088e-023	0	1.27344e-009	0.000120306	9.05288e-020	0	0.0097494	0.0315928	3.56813e-024	9.99926	0.000739629	1.48083e-012	0.2777	0.358045	0.278543	0.0097494	0	10	0	0	0	0	3.75	0.375	35	1.00825	-0.00629411	-0.20791	-0.425764	0.274476	0.274586	0.0115352	
1.1	0.8375	1	0.284401	0.000754284	0.17077	4.31134e-023	0	1.31793e-009	0.000129191	5.6989e-020	0	0.00709564	0.0307624	1.73757e-024	9.99926	0.000741531	9.98483e-013	0.284401	0.339114	0.285215	0.00709564	0	10	0	0	0	0	3.75	0.375	36	1.01072	-0.0393152	-0.207911	-0.478115	0.281954	0.282035	0.00851971	
1.1	0.86875	1	0.281093	0.000767301	0.163219	4.81405e-023	0	1.29557e-009	0.00012561	6.25545e-020	0	0.00740778	0.0318715	1.88926e-024	9.99925	0.000746071	1.05912e-012	0.281093	0.351478	0.281929	0.00740778	0	10	0	0	0	0	3.75	0.375	37	1.00748	-0.0237273	-0.207911	-0.451795	0.278194	0.278292	0.00901504	
