x	y	p4f	X1	X2	X3	X4	X5	C1	C2	C3	C4	C5	C6	C7	S	CS1	CS2	TOT_{X1}	TOT_{X2}	TOT_{X3}	TOT_{X4}	TOT_{X5}	TOT_S	CC	X5_{DEC}	CP1	CP2	totmolS	solnVol	cellNo	pe	pH	p4f	H*	O*	Charge	[X1]	[X3]	[X4]	
1.1	0.1	1	0.142546	0.115372	6.68125e-011	0.0088075	0	8.61641e-012	7.73117e-012	0.0761141	2.56877e-014	0.0475153	1.29128e-008	0.242043	2.55527	2.65303e-007	3.72237	0.142546	-12.8741	0.142546	4.33889	0	10	4.23763	0	0	0	3.75	0.375	29	19.0315	0.936613	0.699865	0.344587	-0.207913	-0.288165	0.144082	0.144082	0.616334	
0.130053	0.35	-99999	0.288081	4.37759e-005	0.121079	8.3643e-017	0	2.27087e-008	5.31608e-006	1.90506e-012	1.92368e-033	0.0556654	4.75333e-015	0.0508128	0.999802	1.02763e-008	9.90716e-005	0.288081	-0.184089	0.288081	0.15739	0	1	0	0	0	0	0.25	0.25	30	15.6082	4.35748	1.01946	0.0290927	-0.207913	-0.576388	0.288194	0.288194	0.156727	
1.0625	0.9	1	0.212318	0.0987294	1.15273e-010	0.00476315	0	1.00689e-011	1.14146e-011	0.0481018	1.30719e-014	0.0707727	1.39663e-008	0.246157	2.72003	3.05341e-007	3.63998	0.212318	-12.5555	0.212318	4.25594	0	10	4.11466	0	0	0	3.75	0.375	31	18.9632	1.00427	1.17765	0.386896	-0.207913	-0.426365	0.213182	0.213182	0.589542	
1.15083	0.931206	-99999	0.210147	0.0991471	1.13637e-010	0.00483865	0	1.00265e-011	1.13002e-011	0.0486585	1.32827e-014	0.070049	1.39568e-008	0.245588	0.62027	6.95157e-008	0.189865	0.210147	-2.20362	0.210147	0.804588	0	1	4.13746	0	0	0	0.25	0.25	32	18.965	1.00243	1.1837	0.373467	-0.207913	-0.422062	0.211031	0.211031	0.578264	
1.1	0.775	1	0.204809	0.10017	1.09729e-010	0.00502713	0	9.92412e-012	1.10241e-011	0.0500378	1.38055e-014	0.0682697	1.39236e-008	0.244203	2.70802	3.02221e-007	3.64599	0.204809	-12.5684	0.204809	4.25773	0	10	4.52032	0	0	0	3.92857	0.392857	33	18.9694	0.997978	1.1279	0.392829	-0.207913	-0.411495	0.205747	0.205747	0.60291	
1.09219	0.942092	-99999	0.213518	0.0986518	1.15677e-010	0.00475496	0	1.00768e-011	1.14456e-011	0.0480569	1.30913e-014	0.0711726	1.40031e-008	0.246861	0.620684	6.97553e-008	0.189658	0.213518	-2.20858	0.213518	0.807364	0	1	3.83782	0	0	0	0.25	0.25	34	18.9629	1.00461	1.20037	0.372609	-0.207913	-0.428738	0.214369	0.214369	0.574068	
1.08438	0.9	1	0.211589	0.0988342	1.14838e-010	0.00478065	0	1.00582e-011	1.13835e-011	0.0482274	1.31109e-014	0.0705295	1.39559e-008	0.245875	2.71947	3.05095e-007	3.64026	0.211589	-12.5551	0.211589	4.25555	0	10	4.14658	0	0	0	3.75	0.375	35	18.9636	1.00381	1.17463	0.386322	-0.207913	-0.42492	0.212459	0.212459	0.589691	
1.1	0.8375	1	0.208713	0.0994215	1.12574e-010	0.00488871	0	9.99879e-012	1.12254e-011	0.0490261	1.34218e-014	0.069571	1.39491e-008	0.245212	2.71423	3.03857e-007	3.64288	0.208713	-12.5617	0.208713	4.25679	0	10	4.3588	0	0	0	3.75	0.375	36	18.9662	1.00123	1.15581	0.389735	-0.207913	-0.419225	0.209612	0.209612	0.59595	
1.1	0.86875	1	0.210338	0.0990891	1.13849e-010	0.0048273	0	1.00323e-011	1.13146e-011	0.0485727	1.3245e-014	0.0701125	1.39533e-008	0.245584	2.7172	3.04559e-007	3.6414	0.210338	-12.5579	0.210338	4.25608	0	10	4.24463	0	0	0	3.75	0.375	37	18.9647	1.00269	1.16661	0.387777	-0.207913	-0.422442	0.211221	0.211221	0.592385	
1.07344	0.875	1	0.21067	0.0992871	1.13246e-010	0.0048735	0	1.00123e-011	1.12772e-011	0.0489398	1.34489e-014	0.0702232	1.40097e-008	0.24634	2.71316	3.04312e-007	3.64342	0.21067	-12.5697	0.21067	4.26014	0	10	4.34186	0	0	0	5	0.5	38	18.9657	1.00182	1.16652	0.396062	-0.207913	-0.4231	0.21155	0.21155	0.60034	
1.08231	0.853125	1	0.209538	0.0994678	1.12525e-010	0.00490521	0	9.99414e-012	1.12258e-011	0.0491687	1.35271e-014	0.069846	1.39962e-008	0.245953	2.71198	3.03898e-007	3.64401	0.209538	-12.57	0.209538	4.25984	0	10	4.37158	0	0	0	5	0.5	39	18.9665	1.00103	1.1593	0.395802	-0.207913	-0.420859	0.210429	0.210429	0.601201	
1	0.7875	1	0.212897	0.0991701	1.13896e-010	0.00486408	0	1.00241e-011	1.13285e-011	0.0489028	1.35114e-014	0.0709656	1.40852e-008	0.247716	2.71132	3.04772e-007	3.64434	0.212897	-12.5806	0.212897	4.2645	0	10	4.38272	0	0	0	3.75	0.375	40	18.9653	1.00233	1.1541	0.404419	-0.207913	-0.427516	0.213758	0.213758	0.606489	
1.05666	0.80625	1	0.208958	0.0998376	1.11275e-010	0.00498381	0	9.95712e-012	1.11424e-011	0.0497715	1.38236e-014	0.0696527	1.40466e-008	0.246472	2.70653	3.03277e-007	3.64673	0.208958	-12.5833	0.208958	4.26408	0	10	4.41846	0	0	0	5	0.5	41	18.9681	0.99942	1.14627	0.404869	-0.207913	-0.419713	0.209856	0.209856	0.61084	
1.07479	0.826783	1	0.208641	0.0997075	1.1165e-010	0.00495208	0	9.97011e-012	1.11654e-011	0.0495192	1.36781e-014	0.0695468	1.40051e-008	0.245895	2.70936	3.03426e-007	3.64532	0.208641	-12.5747	0.208641	4.26113	0	10	4.41886	0	0	0	5	0.5	42	18.9675	0.999986	1.15104	0.398773	-0.207913	-0.419083	0.209541	0.209541	0.60506	
1	0.84375	1	0.214224	0.0987455	1.15452e-010	0.00478047	0	1.00672e-011	1.14342e-011	0.0482689	1.32269e-014	0.0714078	1.40543e-008	0.247628	2.71643	3.0556e-007	3.64178	0.214224	-12.5703	0.214224	4.2615	0	10	4.21972	0	0	0	3.75	0.375	43	18.9634	1.0042	1.17264	0.397772	-0.207913	-0.430141	0.21507	0.21507	0.59853	
