              x	              y	              z	           time	in	                 pH	                 Ca	                 Mg	                 Na	                 Cl	               C(4)	                SO4	                 As	                vol	                sat	                 pv	                por	      trans_cell_no	                 vx	                 vy	                 vz	
          87000	              0	              0	         500000	 1	   8.3690072247e+00	   2.9100351519e+00	   1.2590400777e+00	   1.9379879651e+02	   4.7401550093e+00	   4.9774186364e+02	   2.2566959048e+01	   3.5508010761e+01	   1.1250000000e+11	   1.0000000000e+00	   2.4750000000e+10	   2.2000000000e-01	   3.0000000000e+01	   7.6152010174e-02	   0.0000000000e+00	   0.0000000000e+00	
          90000	              0	              0	         500000	 1	   8.3762617802e+00	   2.8652215235e+00	   1.2389985515e+00	   1.9403207988e+02	   4.7401552586e+00	   4.9793273291e+02	   2.2566959525e+01	   3.6624205944e+01	   5.6250000000e+10	   1.0000000000e+00	   1.2375000000e+10	   2.2000000000e-01	   3.1000000000e+01	  -0.0000000000e+00	   0.0000000000e+00	   0.0000000000e+00	
              0	           3000	              0	         500000	 1	   7.7661294917e+00	   7.9486004471e+00	   3.4632204078e+00	   8.3415882271e+02	   4.1335313238e+02	   1.0078598043e+03	   2.3314877533e+01	   3.5748017637e+00	   1.1250000000e+11	   1.0000000000e+00	   2.4750000000e+10	   2.2000000000e-01	   3.2000000000e+01	   0.0000000000e+00	  -3.4736996978e-01	   0.0000000000e+00	
           3000	           3000	              0	         500000	 1	   8.4084209322e+00	   2.2820502100e+00	   9.7292152753e-01	   4.0870090552e+02	   1.0566106093e+02	   6.9404636589e+02	   2.2751721692e+01	   4.4811363411e+01	   2.2500000000e+11	   1.0000000000e+00	   4.9500000000e+10	   2.2000000000e-01	   3.3000000000e+01	  -4.6354338616e-02	  -3.5013907211e-01	   0.0000000000e+00	
           6000	           3000	              0	         500000	 1	   8.7225115393e+00	   1.3180603127e+00	   5.4591909750e-01	   2.8644031727e+02	   3.2376928615e+01	   5.9255579318e+02	   2.2617572609e+01	   1.6210778863e+02	   2.2500000000e+11	   1.0000000000e+00	   4.9500000000e+10	   2.2000000000e-01	   3.4000000000e+01	  -9.0412424509e-02	  -3.5825907288e-01	   0.0000000000e+00	
           9000	           3000	              0	         500000	 1	   8.8377074047e+00	   1.1049592641e+00	   4.5139378706e-01	   2.4371619298e+02	   1.3259011347e+01	   5.5181938129e+02	   2.2582575733e+01	   2.6008923800e+02	   2.2500000000e+11	   1.0000000000e+00	   4.9500000000e+10	   2.2000000000e-01	   3.5000000000e+01	  -1.3089057757e-01	  -3.7134438789e-01	   0.0000000000e+00	
          12000	           3000	              0	         500000	 1	   8.8640171445e+00	   1.0717011474e+00	   4.3675511311e-01	   2.2632817238e+02	   7.5865597896e+00	   5.3356405608e+02	   2.2572191468e+01	   2.8919235203e+02	   2.2500000000e+11	   1.0000000000e+00	   4.9500000000e+10	   2.2000000000e-01	   3.6000000000e+01	  -1.6664163689e-01	  -3.8887734699e-01	   0.0000000000e+00	
          15000	           3000	              0	         500000	 1	   8.8363931328e+00	   1.1359880162e+00	   4.6559800234e-01	   2.1670480785e+02	   5.7366005018e+00	   5.2256763077e+02	   2.2568803792e+01	   2.5725477281e+02	   2.2500000000e+11	   1.0000000000e+00	   4.9500000000e+10	   2.2000000000e-01	   3.7000000000e+01	  -1.9652059618e-01	  -4.1016409187e-01	   0.0000000000e+00	
          18000	           3000	              0	         500000	 1	   8.7808494385e+00	   1.2635656490e+00	   5.2269201572e-01	   2.1061266466e+02	   5.0946004967e+00	   5.1537976850e+02	   2.2567626744e+01	   2.0368786412e+02	   2.2500000000e+11	   1.0000000000e+00	   4.9500000000e+10	   2.2000000000e-01	   3.8000000000e+01	  -2.1948445354e-01	  -4.3435419672e-01	   0.0000000000e+00	
          21000	           3000	              0	         500000	 1	   8.6964988480e+00	   1.4865335267e+00	   6.2242171908e-01	   2.0567187097e+02	   4.8665227947e+00	   5.0961400937e+02	   2.2567206361e+01	   1.4280926102e+02	   2.2500000000e+11	   1.0000000000e+00	   4.9500000000e+10	   2.2000000000e-01	   3.9000000000e+01	  -2.3455160553e-01	  -4.6037995001e-01	   0.0000000000e+00	
